imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,dislikeCount_rc,like_ratio
6,8,25,25732,Ketchup Entertainment,23-Aug-13,2013,8,5361,1,11,0,5000000,37240,positive,subjective,0.77087754,1,46739662,-4962760,9159624,9575722,25617144,9899276,-4962760,-4962760,10.52513873,192.9766825,1,11
6.9,69,65,273753,American Zoetrope,11-Jun-09,2009,6,575902,164,820,36,5000000,518522,neutral,subjective,0.506060839,1,-28753620,-4618540,19902807,1713322,5919330,8133748,-4481478,-4481478,13.15873774,720.0847172,36,22.77777778
6,52,50,14678714,Pure Flix,7-Apr-17,2017,4,370964,506,1425,134,5000000,14682684,neutral,subjective,0.611151874,0.999999988,37270390,9682684,9159624,9575722,12254326,12706625,9682684,553144,16.5021794,3831.799055,134,10.63432836
6.6,64,55,291677,IDP/Samuel goldwyn Films,1-May-09,2009,5,115019,30,103,10,5000000,347977,neutral,subjective,0.532589316,1,-7809360,-4652023,9159624,9575722,8341636,8133748,-4788440,-113299,12.75989166,589.8957535,10,10.3
6.1,60,54,402321,Focus Features,13-Jun-14,2014,6,1612725,394,2831,122,5000000,251150,neutral,subjective,0.377770454,1,186006,-4748850,9159624,9575722,17974447,9899276,3463844,-4333005,12.43380565,501.1486805,122,23.20491803
7.3,57,38,NA,Screen Media Films,25-Jan-08,2008,1,158911,78,170,11,5000000,3860678,neutral,subjective,0.715013564,1,-4557288,-1139322,9159624,8706674,13659922,8133748,-1109007,-1139322,15.16635337,1964.860809,11,15.45454545
4.4,20,39,41126,A24 Films,22-Sep-17,2017,9,502379,317,2925,191,5000000,42603,negative,objective,0.623711169,0.999989577,-32986413,-9914794,9159624,9575722,16790528,8133748,5439370,5080916,10.65967995,206.4049418,191,15.31413613
6.3,31,43,2.00E+05,Sony Pictures Classics,14-Dec-07,2007,12,142201,13,179,11,5000000,244397,negative,subjective,0.591768146,1,-14794806,-4618540,33862156,32904560,18631145,8133748,-1688477,-1096370,12.40654923,494.3652496,11,16.27272727
5.8,48,49,652997,Fox Searchlight Pictures,24-Mar-17,2017,3,155654,12,252,39,5200000,653951,negative,subjective,0.981548607,1,-8108764,-130870,9159624,9575722,17156946,8133748,8804638,9722257,13.3907877,808.6723688,39,6.461538462
5.7,55,52,44305642,Entertainment Studios Motion Pictures,16-Jun-17,2017,6,4190693,498,989,497,5500000,44307192,neutral,subjective,0.732838154,1,133515259,38807192,15035100,50819346,33364527,9899276,14707608,14707608,17.60665757,6656.364774,497,1.989939638
6.5,75,65,679958,Sony Pictures Classics,16-Oct-13,2013,10,2290564,1111,12809,266,5678000,1030064,neutral,subjective,0.485660285,1,-58705879,-4647936,9159624,9575722,21700436,8133748,-1688477,-1096370,13.84513149,1014.920687,266,48.15413534
2.1,2,30,7009668,Sony Pictures Entertainment,1-Sep-06,2006,9,11416,2,60,3,5800000,7009668,positive,subjective,0.890618742,1,2251263,1209668,9159624,9575722,17403649,9899276,-1340189,20441134,15.7628009,2647.577761,3,20
6.7,84,73,601787,Picturehouse,10-Aug-07,2007,8,162089,30,365,11,6000000,714943,negative,subjective,0.539563298,1,23950274,-3335080,9159624,9575722,17156946,8133748,-15059,1668026,13.4799581,845.5430208,11,33.18181818
7.9,98,81,26136413,Fox Searchlight Pictures,17-Dec-08,2008,12,83888,37,129,5,6000000,26238243,negative,subjective,0.820260465,1,10401906,29778977,9159624,14393267,18200190,8133748,8804638,9722257,17.08272856,5122.327889,5,25.8
7.4,81,66,6670712,Anchor Bay Entertainment,19-Mar-10,2010,3,172209,28,260,12,6000000,6671036,negative,objective,0.80383569,0.999997433,-11547138,671036,9159624,9575722,27926409,9899276,-8608467,-8139904,15.71328573,2582.834877,12,21.66666667
