title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
Black Nativity	2013	PG	7	93	Drama; Family; Music	Kasi Lemmons	Forest Whitaker; Angela Bassett; Jennifer Hudson; Tyrese Gibson	In a contemporary adaptation of Langston Hughes celebrated play the holiday musical drama BLACK NATIVITY follows Langston (Jacob Latimore) a street-wise teen from Baltimore raised by a single mother as he journeys to New York City to spend the Christmas holiday with his estranged relatives Reverend Cornell and Aretha Cobbs (Forest Whitaker and Angela Bassett) Unwilling to live by the imposing Reverend Cobbs rules a frustrated Langston is determined to return home to his mother Naima (Jennifer Hudson) Langston embarks on a surprising and inspirational journey and along with his new friends and a little divine intervention he discovers the true meaning of faith healing and family	English	USA	2 wins & 5 nominations	4.5	51	48	4894004	Fox Searchlight Pictures	27-Nov-13	2013	11	7226	17	52	19	17500000	7018189	Fox Searchlight
The Family Stone	2005	PG-13	13	103	Comedy; Drama; Romance	Thomas Bezucha	Claire Danes; Diane Keaton; Rachel McAdams; Dermot Mulroney	The Stone family unites in common cause when their favorite son brings his uptight girlfriend home for the Christmas holiday with plans of proposing Overwhelmed by the hostile reception she begs her sister to join her for emotional support triggering further complications	English; American Sign Language	USA	Nominated for 1 Golden Globe Another 4 wins & 7 nominations	6.3	52	56	59856288	20th Century Fox Distribution	16-Dec-05	2005	12	1068436	156	823	61	18000000	60062868	Fox
John Tucker Must Die	2006	PG-13	13	89	Comedy; Romance	Betty Thomas	Jesse Metcalfe; Brittany Snow; Ashanti; Sophia Bush	Kate (Brittany Snow) is the new girl in school She catches John Tucker (Jesse Metcalfe) dating three different girls at once: Carrie - the smart girl Heather - the cheerleader and Beth - the activist slut none of them are aware that they are not the only girl in Johns heart Kate having been raised by a single mother has seen the pain caused by playboys like John Tucker and she wont stand idly by Together with the three jilted ex-girlfriends they hatch a plan to teach John a lesson Things rarely go as planned especially when Kate starts to think that she might be falling for John herself	English; Japanese	USA; Canada	2 wins & 2 nominations	5.8	27	41	40922134	20th Century Fox	28-Jul-06	2006	7	939373				18000000	41011711	Fox
The Mist	2007	R	17	126	Horror; Sci-Fi; Thriller	Frank Darabont	Thomas Jane; Marcia Gay Harden; Laurie Holden; Andre Braugher	Everyone thinks of it as a harmless lightning storm When Dave Drayton notices a strange mist on the lake he thinks nothing of it When he his son Billy Drayton and his neighbor Brent Norton travel to the supermarket the unthinkable happens On their way to the market they see the army firefighters and the police heading toward the mist When he sees this Brent mentions something about Project Arrowhead a secret military project that no one knows about As they are shopping they see three soldiers walk in pick up a few things then head toward the mist All eighty of the stores shoppers have no clue what is going on until an old man runs in the market with a bloody nose and declares Something in the mist! He tells them to close the door About five seconds after they close the door the entire store shakes as though it has been lifted several feet above the ground When David is asked to check on the generator he finds the loading dock door being pushed on by something outside Then Dave hears a groan He asks three people to come with him When Norm the bag-boy volunteers to go out he is dragged away by a creature with large squid-like tentacles that have mouths teeth and arms After Dave and the other three fight off the tentacles they warn everyone in the store what is out there Upon hearing this Mrs Carmody exclaims that it is the End Time and that God is punishing them People dont believe it but finally Mrs Carmody has almost everyone in the store on her side Does Project Arrowhead have anything to do with this? Will Dave Drayton his son and his friends make it out alive as they make a last stand against this destruction? Or will they be taken by the demon-like creatures of The Mist?	English	USA	6 wins & 11 nominations	7.2	72	58	25495768	The Weinstein Company	21-Nov-07	2007	11	2974122	2387	5510	307	18000000	25594957	MGM (Weinstein)
Observe and Report	2009	R	17	86	Comedy; Crime; Drama	Jody Hill	Seth Rogen; Ray Liotta; Michael Peña; Anna Faris	Ronnie Barnhardt lives with his alcoholic mother Hes chief security guard at Forest Ridge Mall where hes in love with Brandi a cosmetic sales clerk and gets a free coffee each day from Nell a cheery clerk in the food court A flasher haunts the malls parking lot and at night thefts occur Ronnie is intent on catching the criminals but has no investigative skills is delusional about his abilities and makes mad accusations His bête noire is Detective Harrison the city cop sent to investigate Ronnie thinks he could be an officer thinks he stands a chance with Brandi and slowly loses his self control Will reality set in? What about redemption?	English	USA	1 win & 4 nominations	5.8	50	54	23993605	Warner Bros. Pictures	10-Apr-09	2009	4		3	82	16	18000000	24007324	Warner Bros.
127 Hours	2010	R	17	94	Adventure; Biography; Drama	Danny Boyle	James Franco; Kate Mara; Amber Tamblyn; Sean Bott	127 Hours is the true story of mountain climber Aron Ralstons remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary scale a 65 foot wall and hike over eight miles before he can be rescued Throughout his journey Ralston recalls friends lovers family and the two hikers he met before his accident Will they be the last two people he ever had the chance to meet?	English; Italian	USA; UK; France	Nominated for 6 Oscars Another 23 wins & 141 nominations	7.6	93	82	18329466	Fox Searchlight Pictures	5-Nov-10	2010	11	1989977	874	2336	102	18000000	18335230	Fox Searchlight
Youth in Revolt	2009	R	17	90	Comedy; Drama; Romance	Miguel Arteta	Michael Cera; Portia Doubleday; Jean Smart; Zach Galifianakis	At 16 Nick Twisp is wry about his teen funk: he lives in Oakland with his sex-addled mother his fathers child support is her meal ticket While camping in Ukiah Nick meets Sheeni: for him its love at first sight Nick has to figure out how to get his father a job in Ukiah then how to get sent to live with his father then how to get close to Sheeni whose religious parents may want her sent away from temptation to a boarding school Theres also Sheenis all-American boyfriend to contend with Overwhelmed by the challenges Nicks about to give up when he conjures an alter ego who whispers revolt into his ear Nick is not altogether hapless but can this end well?	English; French	USA	1 win & 1 nomination	6.5	66	63	15150933	The Weinstein Company	8-Jan-10	2010	1	180966	17	265	14	18000000	15281286	Weinstein / Dimension
Soul Surfer	2011	PG	7	112	Biography; Drama; Family	Sean McNamara	AnnaSophia Robb; Helen Hunt; Dennis Quaid; Carrie Underwood	13 year-old Bethany Hamilton is a champion surfer who was born to be in the water But after a fun night out night surfing and what should be a fun day in the water she is attacked by a shark and loses her arm Rushed to the hospital she remains calm and maintains her faith in God Now she has to re-learn how to do everything with only one arm - including how to surf It will take her friends family and her Christian faith to get her back into the water but if that is where she is meant to be she will find a way to get there	English	USA	1 win & 12 nominations	7.1	46	53	43853424	TriStar/FilmDistrict	8-Apr-11	2011	4	6390691	2186	7808	296	18000000	43853424	TriStar
Labor Day	2013	PG-13	13	111	Drama; Romance	Jason Reitman	Kate Winslet; Josh Brolin; Gattlin Griffith; Tobey Maguire	A depressed mothers husband has left her for she could not bear a second child Living alone with her only son she has an unlikely meeting with an injured escaped convict and reluctantly takes him into her own care The man proves to be better than his criminal image as the three bond over Labor Day weekend The only problem? Everyone in town is looking for him	English	USA	Nominated for 1 Golden Globe Another 5 nominations	6.9	34	52	13362308	Paramount Pictures	27-Dec-13	2013	12	347848	70	357	26	18000000	13371528	Paramount
Prom Night	2008	PG-13	13	88	Horror; Mystery	Nelson McCormick	Brittany Snow; Scott Porter; Jessica Stroup; Dana Davis	Donnas senior prom is supposed to be the best night of her life one of magic beauty and love Surrounded by her best friends she should be safe from the horrors of her dark past But when the night turns from magic to murder there is only one man who could be responsible the man she thought was gone forever Now Donna and her friends must find a way to escape the sadistic rampage of an obsessed killer and survive their Prom Night	English; Italian	USA; Canada	1 win & 3 nominations	3.9	8	17	43818159	Screen Gems	11-Apr-08	2008	4	1396342	626	1046	218	18000000	14796236	Embassy
