title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Constantine|2005|R|Fri Feb 18 2005 00:00:00 GMT-0500 (EST)|121 min|Drama; Fantasy; Horror|Francis Lawrence|Keanu Reeves; Rachel Weisz; Shia LaBeouf; Djimon Hounsou|John Constantine is approached by Det Angela Dodson who needs his help to prove that her twin sister Isabels death was not a suicide The dead woman was a devout Catholic and Angela refuses to accept she would have taken her own life Shes asked Constantine for help because he has a reputation for dealing with the mystical In fact he is a demon hunter whose sole purpose on Earth is to send demons back to the nether regions John himself has been to Hell and knows that he is destined to return there on his death - but hopes his good deeds may find him a place in Heaven As he looks into Isabels death he realizes demons are trying to break through to the human world and his battles lead him into a direct conflict with Satan|English; Filipino; Tagalog|USA; Germany|2 wins & 9 nominations|7.0/10|46%|50/100|50|7|movie|$75,400,000|Warner Bros. Pictures|Constantine|18-Feb-05|Thriller, Fantasy, Horror|50|Constantine|305594|0|60|472|28
Daltry Calhoun|2005|PG-13|Sun Sep 25 2005 00:00:00 GMT-0400 (EDT)|100 min|Comedy; Drama; Music|Katrina Holden Bronson|Elizabeth Banks; Johnny Knoxville; Beth Grant; Laura Cayouette|The Knoxville Tennessee-set film written by Bronson is a dark comedy about a father (Knoxville) struggling to keep his once lucrative Tennessee golfing empire intact when his estranged 14-year-old daughter (a gifted musician) is unexpectedly left in his care|English|USA|1 nomination|5.2/10|7%|30/100|30|5.2|movie|N/A|Miramax Films|Daltry Calhoun|23-Sep-05|Drama, Comedy|30|Daltry Calhoun|4721|0|2|17|2
Enron: The Smartest Guys in the Room|2005|NOT RATED|Fri May 20 2005 00:00:00 GMT-0400 (EDT)|110 min|Documentary|Alex Gibney|John Beard; Tim Belden; Barbara Boxer; George W. Bush|Enron dives from the seventh largest US company to bankruptcy in less than a year in this tale told chronologically The emphasis is on human drama from suicide to 20000 people sacked: the personalities of Ken Lay (with Falwellesque rectitude) Jeff Skilling (he of big ideas) Lou Pai (gone with $250 M) and Andy Fastow (the dark prince) dominate Along the way we watch Enron game Californias deregulated electricity market get a free pass from Arthur Andersen (which okays the dubious mark-to-market accounting) use greed to manipulate banks and brokerages (Merrill Lynch fires the analyst who questions Enrons rise) and hear from both Presidents Bush what great guys these are|English|USA|Nominated for 1 Oscar Another 3 wins & 10 nominations|7.7/10|97%|N/A|N/A|7.7|movie|$3,886,956|Magnolia Pictures|Enron: The Smartest Guys in the Room|22-Apr-05|Documentary|82|Enron: The Smartest Guys in the Room|228503|0|12|285|8
The Chumscrubber|2005|R|Thu Oct 05 2006 00:00:00 GMT-0400 (EDT)|108 min|Comedy; Drama|Arie Posin|Jamie Bell; Camilla Belle; Justin Chatwin; Glenn Close|The Chumscrubber starts out with Troy a normal teenager who supplies feel good pills to everyone in his high school (this way he spreads happiness all around) But when his friend Dean pays him a visit Dean discovers Troy has hanged himself in his bedroom during one of his mothers pool parties After the death three local teens: Billy Lee and Crystal want whats left of Troys stash of pills and they know that Dean is the only one who knows where they are But when Dean refuses to get the pills the three teens kidnap Deans little brother until they realize theyve kidnapped the wrong kid|English|USA; Germany|1 nomination|7.0/10|36%|41/100|41|7|movie|N/A|Picturehouse|The Chumscrubber|5-Aug-05|Drama, Comedy|41|The Chumscrubber|107683|0|43|151|5
Everything Is Illuminated|2005|PG-13|Fri Oct 14 2005 00:00:00 GMT-0400 (EDT)|106 min|Comedy; Drama|Liev Schreiber|Eugene Hutz; Elijah Wood; Jonathan Safran Foer; Jana Hrabetova|Jewish-American writer Jonathan Safran Foer is a collector of his familys memorabilia although most of the items some which he takes without asking would not be considered keepsakes by the average person He places most of those items in individual Ziploc bags and hangs them on his keepsake wall under the photograph of the person to who it is most associated He has this compulsion in an effort to remember He is able to tie a photograph that he receives from his grandmother Sabine Foer on her deathbed - it of his grandfather Safran Foer during the war in the Ukraine and a young woman he will learn is named Augustine - back to a pendant he stole from his grandfather on his deathbed in 1989 the pendant of a glass encased grasshopper Learning that Augustine somehow saved his grandfathers life leads to Jonathan going on a quest to find out the story at its source where the photograph was taken in a now non-existent and probably largely forgotten town called Trachimbrod that was razed by the Nazis during the war he armed only with his limited knowledge the pendant his grandfathers Star of David necklace the photograph tip money and an old and largely outdated map Prior to arriving in the Ukraine Jonathan prearranges the guide services of Odessa-based Heritage Tours which specializes in helping Jewish expats discover their past The company is owned and operated by three generations of the Alexander Perchov family who generally think Jewish people are stupid for wanting to revisit their past and spend large sums of money for their services in doing so The three from Heritage assigned to Jonathans file are: the company founder Alexander I (Grandpa) the retired non-blind blind man who will be the driver his seeing eye dog Sammy Davis Jr Jr a deranged bitch of a dog and Alexander III (Alex) a western pop cultural loving young man whose broken English will need to suffice for translation Jonathan will learn that his guides are a loving but dysfunctional lot who have little interest in helping him beyond taking his money But during their time together this quest will affect Jonathan Grandpa and Alex in different ways all tied to the value of remembering|English; Russian; Ukrainian|USA|7 wins & 4 nominations|7.5/10|66%|58/100|58|7.5|movie|$1,644,300|Warner Independent Pictures|Everything Is Illuminated|16-Sep-05|Drama, Comedy|58|Everything Is Illuminated|899407|0|509|2433|58
Dominion: Prequel to the Exorcist|2005|R|Fri May 20 2005 00:00:00 GMT-0400 (EDT)|117 min|Drama; Horror; Thriller|Paul Schrader|Stellan Skarsgård; Gabriel Mann; Clara Bellar; Billy Crawford|Lankester Merrin is a archaeologist by profession but an ordained Roman Catholic priest who has lost his faith and abandoned his vocation He is haunted by what he was forced to do in his native Holland during World War II The church hes excavated in Northern Kenyan dates to the Byzantine period but this puts its construction hundreds of years before Christianity was introduced to the area the church was buried to the rooftop in sand and as its structure is exposed a madness slowly descends on the camp the local tribesmen are prepared to go to war and demand that the church be buried Soon two British soldiers are found dead and their commanding officer Major Granville shoots a innocent civilian in cold blood As fear descends upon everyone in the camp it becomes apparent that a young disabled boy Cheche is possessed by the devil forcing Merrin to re-examine his own beliefs|English|USA|3 nominations|5.3/10|30%|55/100|55|5.3|movie|N/A|Warner Bros.|Dominion: Prequel to the Exorcist|20-May-05|Thriller, Horror|55|Dominion: Prequel to the Exorcist|10151|0|1|7|1
Boogeyman|2005|PG-13|Fri Feb 04 2005 00:00:00 GMT-0500 (EST)|89 min|Drama; Horror; Mystery|Stephen Kay|Barry Watson; Emily Deschanel; Skye McCole Bartusiak; Tory Mussett|Every culture has one - The horrible monster fueling young childrens nightmares But for Tim the BOGEYMAN still lives in his memories as a creature that devoured his father 16 years earlier Is the BOGEYMAN real? Or did Tim make him up to explain why his father abandoned his family? The answer lies hidden behind every dark corner and half-opened closet of his childhood home - A place he must return to and face the chilling unanswered questions Does the BOGEYMAN really exist?|English|USA; New Zealand; Germany|N/A|4.2/10|13%|32/100|32|4.2|movie|$46,363,118|Screen Gems|Boogeyman|4-Feb-05|Drama, Mystery, Thriller, Horror|32|Boogeyman|114931|0|16|137|15
Chicken Little|2005|G|Fri Nov 04 2005 00:00:00 GMT-0500 (EST)|81 min|Animation; Adventure; Comedy|Mark Dindal|Zach Braff; Garry Marshall; Don Knotts; Patrick Stewart|After Chicken Little causes widespread panic--when he mistakes a falling acorn for a piece of the sky--the young chicken is determined to restore his reputation But just as things are starting to go his way a real piece of the sky lands on his head Chicken Little and his band of misfit friends Abby Mallard (aka Ugly Duckling) Runt of the Litter and Fish Out of Water attempt to save the world without sending the town into a whole new panic|English|USA|4 wins & 15 nominations|5.8/10|37%|48/100|48|5.8|movie|$135,289,768|Buena Vista Pictures|Chicken Little|4-Nov-05|Adventure, Sci-Fi, Comedy, Animation, Family|48|Chicken Little|869880|0|||
Diary of a Mad Black Woman|2005|PG-13|Fri Feb 25 2005 00:00:00 GMT-0500 (EST)|116 min|Comedy; Drama; Romance|Darren Grant|Kimberly Elise; Steve Harris; Tyler Perry; Shemar Moore|Helen McCarter has everything a woman wants: a nice house and rich husband However after her husband Charles throws her out of the house after admitting to an affair a distraught Helen turns to her mother grandmother Madea and cousin Brian who take her in and turn back to God Helen learns for the first time in her life to stand up on her two feet and is ready to remove herself from her relationship with Charles and move on with Orlando But when her husband is almost killed by a vengeful client Helen wonders if she has the heart to forgive him despite everything|English|USA|13 wins & 13 nominations|5.7/10|16%|36/100|36|5.7|movie|$50,382,128|Lions Gate Films|Diary of a Mad Black Woman|25-Feb-05|Drama, Comedy, Romance|36|Diary of a Mad Black Woman|628499|0|69|2491|95
Charlie and the Chocolate Factory|2005|PG|Fri Jul 15 2005 00:00:00 GMT-0400 (EDT)|115 min|Adventure; Comedy; Family|Tim Burton|Johnny Depp; Freddie Highmore; David Kelly; Helena Bonham Carter|When Willy Wonka decides to let five children into his chocolate factory he decides to release five golden tickets in five separate chocolate bars causing complete mayhem The tickets start to be found with the fifth going to a very special boy called Charlie Bucket With his Grandpa Charlie joins the rest of the children to experience the most amazing factory ever But not everything goes to plan within the factory|English|USA; UK; Australia|Nominated for 1 Oscar Another 14 wins & 50 nominations|6.7/10|82%|72/100|72|6.7|movie|$206,100,000|Warner Bros. Pictures|Charlie and the Chocolate Factory|15-Jul-05|Adventure, Fantasy, Comedy, Family|72|Charlie and the Chocolate Factory|122100|0|21|157|14
