title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Hostel|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|94 min|Horror; Mystery; Thriller|Eli Roth|Jay Hernandez; Derek Richardson; Eythor Gudjonsson; Barbara Nedeljakova|3 backpackers are in Amsterdam where they get locked out of their youth hostel They are invited into a mans house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men When they get there everything is too good to be true - the hostel is to die for|English; Czech; German; Dutch; Slovak; Japanese; Icelandic; Russian; Spanish|USA; Germany; Czech Republic; Slovakia; Iceland|4 wins & 12 nominations|5.9/10|61%|55/100|55|5.9|movie|$47,277,326|Lions Gate Films|Hostel|6-Jan-06|Mystery, Thriller, Horror|55|Hostel|2204677|0|846|2162|312
Hostel|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|94 min|Horror; Mystery; Thriller|Eli Roth|Jay Hernandez; Derek Richardson; Eythor Gudjonsson; Barbara Nedeljakova|3 backpackers are in Amsterdam where they get locked out of their youth hostel They are invited into a mans house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men When they get there everything is too good to be true - the hostel is to die for|English; Czech; German; Dutch; Slovak; Japanese; Icelandic; Russian; Spanish|USA; Germany; Czech Republic; Slovakia; Iceland|4 wins & 12 nominations|5.9/10|61%|55/100|55|5.9|movie|$47,277,326|Lions Gate Films|Hostel|6-Jan-06|Mystery, Thriller, Horror|55|Hostel|2204677|0|846|2162|312
Hostel|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|94 min|Horror; Mystery; Thriller|Eli Roth|Jay Hernandez; Derek Richardson; Eythor Gudjonsson; Barbara Nedeljakova|3 backpackers are in Amsterdam where they get locked out of their youth hostel They are invited into a mans house where he tells them of a hostel somewhere in eastern Europe where the women are all incredibly hot and have a taste for American men When they get there everything is too good to be true - the hostel is to die for|English; Czech; German; Dutch; Slovak; Japanese; Icelandic; Russian; Spanish|USA; Germany; Czech Republic; Slovakia; Iceland|4 wins & 12 nominations|5.9/10|61%|55/100|55|5.9|movie|$47,277,326|Lions Gate Films|Hostel|6-Jan-06|Mystery, Thriller, Horror|55|Hostel|2204677|0|846|2162|312
Land of the Dead|2005|R|Fri Jun 24 2005 00:00:00 GMT-0400 (EDT)|93 min|Horror; Sci-Fi; Thriller|George A. Romero|Simon Baker; John Leguizamo; Dennis Hopper; Asia Argento|Now that zombies have taken over the world the living have built a walled-in city to keep the dead out But alls not well where its most safe as a revolution plans to overthrow the city leadership and the zombies are turning into more advanced creatures|English; Spanish; Italian; Polish; French|Canada; France; USA|2 wins & 15 nominations|6.2/10|73%|71/100|71|6.2|movie|$20,433,940|Universal Pictures|Land of the Dead|24-Jun-05|Sci-Fi, Thriller, Horror|71|Land of the Dead|1858151|0|1091|1757|159
Just Like Heaven|2005|PG-13|Fri Sep 16 2005 00:00:00 GMT-0400 (EDT)|95 min|Comedy; Fantasy; Romance|Mark Waters|Reese Witherspoon; Mark Ruffalo; Donal Logue; Dina Spybey-Waters|Elizabeth Masterson a dedicated doctor in San Francisco had almost no time for anything When her sister with two kids set her up on a date she gets into a tragic car crash and goes into a coma Meanwhile a landscape architect named David Abbott moves to San Francisco and coincidentally into Elizabeths apartment for rent While at the apartment Elizabeths spirit haunts him She doesnt remember who she is who her family is or what she did - All that she remembered was her apartment and where everything was To settle the arguments David agrees to figure out who Elizabeth really is When they get close to figuring out who she is they eventually find love with one another and as they finally know who she really is they learn that fate really has put them both together|English; Spanish; Mandarin|USA|1 win & 1 nomination|6.7/10|55%|47/100|47|6.7|movie|$48,291,624|Dreamworks|Just Like Heaven|16-Sep-05|Fantasy, Comedy, Romance|47|Just Like Heaven|235262|0|16|569|16
Kingdom of Heaven|2005|R|Fri May 06 2005 00:00:00 GMT-0400 (EDT)|144 min|Action; Adventure; Drama|Ridley Scott|Martin Hancock; Michael Sheen; Nathalie Cox; Eriq Ebouaney|It is the time of the Crusades during the Middle Ages - the world shaping 200-year collision between Europe and the East A blacksmith named Balian has lost his family and nearly his faith The religious wars raging in the far-off Holy Land seem remote to him yet he is pulled into that immense drama Amid the pageantry and intrigues of medieval Jerusalem he falls in love grows into a leader and ultimately uses all his courage and skill to defend the city against staggering odds Destiny comes seeking Balian in the form of a great knight Godfrey of Ibelin a Crusader briefly home to France from fighting in the East Revealing himself as Balians father Godfrey shows him the true meaning of knighthood and takes him on a journey across continents to the fabled Holy City In Jerusalem at that moment--between the Second and Third Crusades--a fragile peace prevails through the efforts of its enlightened Christian king Baldwin IV aided by his advisor Tiberias and the military restraint of the legendary Muslim leader Saladin Ayubi  But Baldwins days are numbered and strains of fanaticism greed and jealousy among the Crusaders threaten to shatter the truce King Baldwins vision of peace--a kingdom of heaven--is shared by a handful of knights including Godfrey of Ibelin who swear to uphold it with their lives and honor As Godfrey passes his sword to his son he also passes on that sacred oath: to protect the helpless safeguard the peace and work toward harmony between religions and cultures so that a kingdom of heaven can flourish on earth Balian takes the sword and steps into history|English; Arabic; Latin; Italian|USA; UK; Spain; Germany; Morocco|5 wins & 14 nominations|7.2/10|39%|63/100|63|7.2|movie|$47,259,055|20th Century Fox|Kingdom of Heaven|6-May-05|Action, Adventure, History|63|Kingdom of Heaven|3769087|0|3358|5362|323
The Legend of Zorro|2005|PG|Fri Oct 28 2005 00:00:00 GMT-0400 (EDT)|129 min|Action; Adventure; Western|Martin Campbell|Alberto Reyes; Julio Oscar Mechoso; Gustavo Sánchez Parra; Adrian Alonso|The Legendary Zorro goes off on another adventure to protect the future of California and its citizens This time he fights against evil-doers with the help of his beautiful wife Elena and their precocious young son Joaquin Alejandro De LaVega is torn between two worlds: his life as Zorro and his life as a family man After Alejandro once again breaks his promise to stop wearing the mask Elena leaves him and soon begins seeing Armand a haughty French Count But a mysterious explosion in the desert leads Zorro to believe that theres more to Armand than meets the eye and our hero is intent on finding out what that is Little does he know there are others working to uncover certain truths as well|Spanish; English|USA|2 wins & 3 nominations|5.9/10|26%|47/100|47|5.9|movie|$45,356,386|Sony Pictures Entertainment|The Legend of Zorro|28-Oct-05|Action, Adventure, Western|47|The Legend of Zorro|38173|0|4|27|3
Lonesome Jim|2005|R|Wed Nov 16 2005 00:00:00 GMT-0500 (EST)|91 min|Comedy; Drama|Steve Buscemi|Casey Affleck; Kevin Corrigan; Mary Kay Place; Seymour Cassel|Jim is a young man who after deciding he cant make it on his own moves back to his hometown in Indiana -- under his parents roof Hes saved from his familys dysfunction by a local woman and her son who sees him as a father figure|English|USA|1 win & 3 nominations|6.6/10|60%|54/100|54|6.6|movie|N/A|IFC Films|Lonesome Jim|24-Mar-06|Drama, Comedy|54|Lonesome Jim|53227|0|27|83|2
The Longest Yard|2005|PG-13|Fri May 27 2005 00:00:00 GMT-0400 (EDT)|113 min|Comedy; Crime; Sport|Peter Segal|Adam Sandler; Chris Rock; Burt Reynolds; Nelly|Paul Wrecking Crewe was a revered football superstar back in his day but that time has since faded But when a messy drunk driving incident lands him in jail Paul finds he was specifically requested by Warden Hazen (James Cromwell) a duplicitous prison official well aware of Pauls athletic skills Paul has been assigned the task of assembling a team of convicts to square off in a big football game against the sadistic guards With the help of fellow convict Caretaker and an old legend named Nate Scarborough to coach Crewe is ready for what promises to be a very interesting game Its only the warden and the guards who have no idea who or what theyre up against with Paul the driving force behind the new team|English|USA|2 wins & 17 nominations|6.4/10|32%|48/100|48|6.4|movie|$157,900,000|Paramount Pictures|The Longest Yard|27-May-05|Drama, Sport, Comedy|48|The Longest Yard|340379|0|||
Lord of War|2005|R|Fri Sep 16 2005 00:00:00 GMT-0400 (EDT)|122 min|Crime; Drama; Thriller|Andrew Niccol|Nicolas Cage; Bridget Moynahan; Jared Leto; Shake Tukhmanyan|This film charts the rise and fall of Yuri Orlov from his early days in the early 1980s in Little Odessa selling guns to mobsters in his local neighbourhood through to his ascension through the decade of excess and indulgence into the early 90s where he forms a business partnership with an African warlord and his psychotic son The film also charts his relationship through the years with his younger brother his marriage to a famous model his relentless pursuit by a determined federal agent and his inner demons that sway between his drive for success and the immorality of what he does|English; Ukrainian; German; Spanish; Russian; French; Arabic; Turkish|USA; Germany; France|2 wins & 2 nominations|7.6/10|61%|62/100|62|7.6|movie|$24,033,036|Lions Gate|Lord of War|16-Sep-05|Drama, Thriller, Crime|62|Lord of War|270778|0|50|567|16
Lords of Dogtown|2005|PG-13|Fri Jun 03 2005 00:00:00 GMT-0400 (EDT)|107 min|Biography; Drama; Sport|Catherine Hardwicke|John Robinson; Emile Hirsch; Rebecca De Mornay; William Mapother|A fictionalized take on the group of brilliant young skateboarders raised in the mean streets of Dogtown in Santa Monica California The Z-Boys as they come to be known perfect their craft in the empty swimming pools of unsuspecting suburban homeowners pioneering a thrilling new sport and eventually moving into legend|English; Spanish|USA; Germany|1 win & 7 nominations|7.1/10|55%|56/100|56|7.1|movie|$11,008,432|Sony Pictures Entertainment|Lords of Dogtown|3-Jun-05|Biography, Drama, Sport|56|Lords of Dogtown|2683|0|0|4|0
Mad Hot Ballroom|2005|PG|Fri Jul 01 2005 00:00:00 GMT-0400 (EDT)|105 min|Documentary; Family; Music|Marilyn Agrelo|Heather Berman; Emma Therese Biegacki; Eva Carrozza; Evangelina Carrozzo|Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way Told from their candid sometimes hilarious perspectives these kids are transformed from reluctant participants to determined competitors from typical urban kids to ladies and gentlemen on their way to try to compete in the final citywide competition Providing unique insight into the incredible cultural diversity that is New York City this film profiles several kids from three schools (out of 60) at this dynamic age when becoming that cool teenager vies for position with familiar innocence while they learn the merengue rumba tango the foxtrot and swing|English; Spanish|USA|8 wins & 9 nominations|7.5/10|84%|71/100|71|7.5|movie|$7,899,271|Paramount Classics|Mad Hot Ballroom|13-May-05|Music, Family, Documentary|71|Mad Hot Ballroom|122687|0|52|127|6
A Lot Like Love|2005|PG-13|Fri Apr 22 2005 00:00:00 GMT-0400 (EDT)|107 min|Comedy; Drama; Romance|Nigel Cole|Amanda Peet; Ashton Kutcher; Taryn Manning; Aimee Garcia|On a flight from Los Angeles to New York Oliver and Emily make a connection only to decide that they are poorly suited to be together Over the next seven years however they are reunited time and time again they go from being acquaintances to close friends to  lovers?|English; American Sign Language|USA|1 win & 3 nominations|6.6/10|41%|48/100|48|6.6|movie|$21,835,784|Touchstone Pictures|A Lot Like Love|22-Apr-05|Drama, Comedy, Romance|48|A Lot Like Love|3846350|0|485|4413|125
Madagascar|2005|PG|Fri May 27 2005 00:00:00 GMT-0400 (EDT)|86 min|Animation; Adventure; Comedy|Eric Darnell; Tom McGrath|Ben Stiller; Chris Rock; David Schwimmer; Jada Pinkett Smith|At New Yorks Central Park Zoo a lion a zebra a giraffe and a hippo are best friends and stars of the show But when one of the animals goes missing from their cage the other three break free to look for him only to find themselves reunited  on a ship en route to Africa When their vessel is hijacked however the friends who have all been raised in captivity learn first-hand what life can be like in the wild|English; Portuguese; Spanish; German; French|USA|4 wins & 31 nominations|6.9/10|55%|57/100|57|6.9|movie|$193,136,719|Dreamworks|Madagascar|27-May-05|Adventure, Comedy, Animation, Family|57|Madagascar|187903|0|20|105|31
First Descent|2005|PG-13|Fri Dec 02 2005 00:00:00 GMT-0500 (EST)|110 min|Documentary; Sport|Kemp Curly; Kevin Harrison|Shawn Farmer; Terje Håkonsen; Nick Perata; Travis Rice|Five of the worlds best snowboarders are taken to the mountains of Alaska for some outrageous Big Mountain rides|English|USA|N/A|7.2/10|52%|51/100|51|7.2|movie|$739,690|Universal Pictures|First Descent|2-Dec-05|Sport, Documentary|51|First Descent|252480|0|69|290|6
Match Point|2005|R|Fri Jan 20 2006 00:00:00 GMT-0500 (EST)|124 min|Drama; Romance; Thriller|Woody Allen|Jonathan Rhys Meyers; Alexander Armstrong; Paul Kaye; Matthew Goode|From a humble background and with traditional values Irish Chris Wilton is still struggling financially despite being a recently retired high ranked tennis pro He has taken a job as a tennis instructor at an upscale London tennis club although he knows there is a better life for him somewhere down the road He is befriended by one of his students wealthy Tom Hewett Chris starts to date Toms sister Chloe Hewett a girl-next-door type who is immediately attracted to Chris Chloe quickly knows she wants to marry Chris and through her businessman father Alec Hewett tries to help Chris and their future by getting him an executive job in Alecs company In his life with the Hewetts Chris begins to enjoy the finer things in life Through it all however Chris cannot help thinking about Nola Rice a struggling American actress who he meets at the Hewett estate and who is Toms unofficial fiancée Nola is vivacious and she knows the effect she has on men including Chris Unlike Chris Nola is not accepted by Tom and Chloes mother the outspoken Eleanor Hewett Chris has to decide if he can give up what he has been able to achieve with Chloe and the Hewetts or if the passion he feels for Nola is stronger than the finer things in life to which he is now accustomed He may go to any length to have his cake and eat it too|English|UK; Ireland; Luxembourg|Nominated for 1 Oscar Another 11 wins & 30 nominations|7.7/10|76%|72/100|72|7.7|movie|$23,100,000|Dreamworks|Match Point|28-Dec-05|Drama, Sport, Thriller, Romance, Crime|72|Match Point|671597|0|76|645|61
Munich|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|164 min|Drama; History; Thriller|Steven Spielberg|Eric Bana; Daniel Craig; Ciarán Hinds; Mathieu Kassovitz|After Black Septembers assassination of Israeli athletes at the Munich Olympics in 1972 Prime Minister Golda Meir okays a black-box operation to hunt down and kill all involved A team of five gathers in Switzerland led by Avner a low-level Mossad techie whose father was a war hero and whose wife is pregnant Its an expendable team but relying on paid informants they track and kill several in Europe and Lebanon They must constantly look over their shoulders for the CIA KGB PLO and their own sources As the body count mounts -- with retribution following retribution -- so do questions doubts and sleepless nights Loyalties blur What does it mean to be a Jew?|English; German; French; Hebrew; Arabic; Italian; Greek; Russian; Dutch|France; Canada; USA|Nominated for 5 Oscars Another 13 wins & 65 nominations|7.6/10|77%|74/100|74|7.6|movie|$47,379,090|Universal Pictures|Munich|23-Dec-05|Drama, History, Thriller|74|Munich|172106|0|42|225|25
The Mostly Unfabulous Social Life of Ethan Green|2005|R|Fri Apr 29 2005 00:00:00 GMT-0400 (EDT)|88 min|Comedy; Romance|George Bamber|Daniel Letterle; Diego Serrano; Shanola Hampton; David Monahan|A young gay man tries to balance his career as a personal assistant while searching for love|English|USA|N/A|6.2/10|26%|38/100|38|6.2|movie|N/A|Regent Releasing|The Mostly Unfabulous Social Life of Ethan Green|16-Jun-06|Comedy, Romance|38|The Mostly Unfabulous Social Life of Ethan Green|37931|0|6|42|7
Mr. & Mrs. Smith|2005|PG-13|Fri Jun 10 2005 00:00:00 GMT-0400 (EDT)|120 min|Action; Comedy; Crime|Doug Liman|Brad Pitt; Angelina Jolie; Vince Vaughn; Adam Brody|John and Jane Smith are a normal married couple living a normal life in a normal suburb working normal jobswell if you can call secretly being assassins normal But neither Jane nor John knows about their spouses secret until they are surprised to find each other as targets! But on their quest to kill each other they learn a lot more about each other than they ever did in five (or six) years of marriage|English; Spanish|USA|9 wins & 18 nominations|6.5/10|59%|55/100|55|6.5|movie|$186,200,000|20th Century Fox|Mr. & Mrs. Smith|10-Jun-05|Action, Thriller, Comedy, Romance|55|Mr. & Mrs. Smith|90612|0|5|75|4
Murderball|2005|R|Fri Aug 05 2005 00:00:00 GMT-0400 (EDT)|88 min|Documentary; Sport|Henry Alex Rubin; Dana Adam Shapiro|Joe Bishop; Keith Cavill; Andy Cohn; Scott Hogsett|Quad rugby as played by the US team between 2002 games in Sweden and the 2004 Paralympics in Athens Young men most with spinal injuries play this rough and tumble sport in special chairs seated gladiators We get to know several and their families They talk frankly about their injuries feelings in public sex lives competitiveness and love of the game Theres also an angry former team member gone north to coach the Canadian team tough on everyone including his viola-playing son We meet a recently injured man in rehab at times close to despair finding possible joy in quad rugby After Athens the team meets young men injured in war: the future stars of Team USA|English|USA|Nominated for 1 Oscar Another 17 wins & 12 nominations|7.8/10|98%|87/100|87|7.8|movie|$1,328,551|ThinkFilm|Murderball|8-Jul-05|Sport, Documentary|87|Murderball|52637|0|8|52|1
Memoirs of a Geisha|2005|PG-13|Fri Dec 23 2005 00:00:00 GMT-0500 (EST)|145 min|Drama; Romance|Rob Marshall|Suzuka Ohgo; Togo Igawa; Mako; Samantha Futerman|In the 1920s 9-year-old Chiyo gets sold to a geisha house There she is forced into servitude receiving nothing in return until the houses ruling hierarchy determines if she is of high enough quality to service the clientele -- men who visit and pay for conversation dance and song After rigorous years of training Chiyo becomes Sayuri a geisha of incredible beauty and influence Life is good for Sayuri but World War II is about to disrupt the peace|English; Japanese|USA|Won 3 Oscars Another 27 wins & 44 nominations|7.4/10|35%|54/100|54|7.4|movie|$57,000,000|Sony Pictures|Memoirs of a Geisha|9-Dec-05|Drama, Romance|54|Memoirs of a Geisha|1740711|0|921|4473|127
Monster-in-Law|2005|PG-13|Fri May 13 2005 00:00:00 GMT-0400 (EDT)|101 min|Comedy; Romance|Robert Luketic|Jennifer Lopez; Jane Fonda; Michael Vartan; Wanda Sykes|After years of looking for Mr Right Charlotte Charlie Cantilini finally finds the man of her dreams Kevin Fields only to discover that his mother Viola is the woman of her nightmares A recently fired news anchor who is afraid she will lose her son the way she has just lost her career Viola determines to scare off her sons new fiancé by becoming the worlds worst mother-in-law While Violas long-time assistant Ruby does her best to help Viola execute her crazy schemes Charlie decides to fight back and the gloves come off as the two women battle it out to see just who is the alpha-female|English|Germany; USA|1 win & 10 nominations|5.5/10|16%|31/100|31|5.5|movie|$82,820,167|New Line Cinema|Monster-in-Law|13-May-05|Comedy, Romance|31|Monster-in-Law|54174|0|3|40|6
Never Been Thawed|2005|R|Fri Apr 15 2005 00:00:00 GMT-0400 (EDT)|87 min|Comedy|Sean Anders|Greg Behrendt; Kent Voss; Sean Anders; Mike Gordon|Shawn is the founder of the Mesa Frozen Entree Enthusiasts Club He has inspired this group of fanatical collectors to attempt to host the worlds first Frozen Entree Enthusiasts Convention Shawn also sings for a local punk band that has recently converted to Christian Rock as they find the Christian fans much easier to shock and impress Milo Binder a local Christian rock promoter and owner of an anti-abortion themed Christian cafe assisted the bands conversion As Shawn pursues the convention and Christian fame Al (the bass player) pursues Shelly Shelly is a mousy virgin whos infatuation with Shawn may be more than AL can overcome NBT is a dark edgy warts-and-all comedy that leaves nothing sacred|English|USA|N/A|6.1/10|58%|41/100|41|6.1|movie|N/A|N/A|Never Been Thawed|7-Oct-05|Comedy|41|Never Been Thawed|1413|0|0|6|0
Must Love Dogs|2005|PG-13|Fri Jul 29 2005 00:00:00 GMT-0400 (EDT)|98 min|Comedy; Romance|Gary David Goldberg|Diane Lane; John Cusack; Elizabeth Perkins; Christopher Plummer|Preschool teacher Sarah Nolan divorced for eight months is still grieving the end of her marriage Although she didnt see it as being perfect she probably would have stuck it out as what she saw as the for better or worse obligation of the wedding vows that is if her ex-husband Kevin didnt end it for what ended up being leaving her for a younger woman She is urged by her over-supportive family comprised of her many siblings their partners and her widowed father to get back into the dating scene something she has been reluctant to do in not feeling ready As such her most proactive sister in the matter Carol sets her up on an Internet dating site Within her less than prepared state Sarah does go along with meeting men by the means offered to her Beyond especially her female siblings Sarah is given unique perspectives on the whole issue of dating and commitment by her father Bill who is exploring dating after losing who was the love of his life in Sarahs mother thrice divorced Dolly one of Bills conquests who he meets online and Sarahs gay teaching colleague Leo who she sees as being in the most committed loving relationship with his partner Eric of anyone she knows Of the men she meets Sarah makes what she believes is a connection with two albeit awkward in both cases One is Bob Connor the divorced father of one of her students her hesitance in dating him only because of crossing the professional/personal line The other is custom wooden boat builder Jake Anderson who too was pushed into trying online dating by his best friend/divorce lawyer Charlie who wants Jake solely to get some action despite Jake wanting his love life to be more like Lara and Yuri in Doctor Zhivago (1965) Much of what happens between Sarah and the two men is based on what stage they are in post-divorce dating life but is also dependent on how much Sarah is willing to take a chance on each which may also include she and the respective man just not meshing at a given point in time and she making a wrong decision in the process based on what she sees as the prospects|English; Armenian|USA|1 nomination|5.9/10|35%|46/100|46|5.9|movie|$43,800,000|Warner Bros. Pictures|Must Love Dogs|29-Jul-05|Comedy, Romance|46|Must Love Dogs|243661|0||380|23
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1
North Country|2005|R|Fri Oct 21 2005 00:00:00 GMT-0400 (EDT)|126 min|Drama|Niki Caro|Charlize Theron; Thomas Curtis; Elle Peterson; Frances McDormand|1989 Josey Aimes takes her two kids Sammy and Karen and leaves her abusive husband Wayne to return to her northern Minnesota home town On a chance meeting with her old friend Glory Dodge who works as a driver and union rep at the mine operated by Pearson Taconite and Steel Josey decides to work at the mine as well work that is dominated by men in number and in tone She does so to be able to stand on her own two feet for the first time in her life something she probably could not have done if she remained in a job washing hair at a beauty salon Working at the mine does not sit well with her father Hank Aimes who also works at the mine and who like the other male workers believes she is taking a job away from a man Hank has believed that all Joseys problems are of her own doing ever since she unmarried had Sammy while she was still in high school Josey has always stated that she does not know who Sammys biological father is which fosters Hanks attitude about her Among Joseys coworkers is Bobby Sharp who many believe is Sammys biological father Joseys evangelical mother Alice Aimes stands by her husband in their general belief of traditional roles of men and women Josey and her fellow female mine workers are continually harassed emotionally physically and sexually by their male counterparts Every seeming step forward in the issue Josey finds is only a measure to lull the women into a false sense of security or to make the fall even harder Unable to withstand the abuse Josey decides to sue the company for sexual harassment She does so with the help of Glory and her husband Kyles friend Bill White an ex-New York lawyer who is facing his own emotional demons They being able to get any corroboration is difficult as all Joseys male coworkers are standing together and all the women fear retribution by the company and/or their male coworkers after the fact Even Glory is facing her own issues which prevent her from being that strong union voice Only a small grain of the truth coming to light may be what Josey and Bill need|English|USA|Nominated for 2 Oscars Another 6 wins & 17 nominations|7.3/10|68%|68/100|68|7.3|movie|$18,324,242|Warner Bros. Pictures|North Country|14-Oct-05|Drama|68|North Country|561262|0|163|647|42
The Pacifier|2005|PG|Fri Mar 04 2005 00:00:00 GMT-0500 (EST)|95 min|Action; Comedy; Drama|Adam Shankman|Vin Diesel; Lauren Graham; Faith Ford; Brittany Snow|After a Navy SEAL fails to rescue a scientist who developed a top secret device he is assigned to guard the mans children while searching for information on where the device may be hidden inside the house Along the way he must cope with rebellious teens child care an overbearing school official and foreign spies also looking for it|English; Korean|Canada; USA|1 win & 10 nominations|5.6/10|20%|30/100|30|5.6|movie|$113,006,880|Buena Vista|The Pacifier|4-Mar-05|Action, Drama, Thriller, Comedy, Family|30|The Pacifier|1325109|0|||
The New World|2005|PG-13|Fri Jan 20 2006 00:00:00 GMT-0500 (EST)|135 min|Biography; Drama; History|Terrence Malick|Colin Farrell; Q'orianka Kilcher; Christopher Plummer; Christian Bale|Captain Smith is spared his mutinous hanging sentence after captain Newports ship arrives in 1607 to found Jamestown an English colony in Virginia The initially friendly natives who have no personal property concept turn hostile after a theft is punished violently on the spot During an armed exploration Smith is captured but spared when the chiefs favorite daughter Pocahontas pleads for the stranger who soon becomes her lover and learns to love their naive savage way of harmonious life Ultimately he returns to the grim fort which would starve hadnt she arranged for Indian generosity Alas each side soon brands their own lover a traitor so she is banished and he flogged as introduction to slavish toiling Changes turn again leading Smith to accept a northern-more mission and anglicized Pocahontas believing him dead becoming the mother of aristocratic new lover John Rolfes son Theyll meet again for a finale in England|English; Algonquin|USA; UK|Nominated for 1 Oscar Another 6 wins & 30 nominations|6.7/10|62%|69/100|69|6.7|movie|$12,465,566|New Line Cinema|The New World|25-Dec-05|Adventure, Biography, Drama, History, Romance|69|The New World|1300558|0|715|1345|85
Deuce Bigalow: European Gigolo|2005|R|Fri Aug 12 2005 00:00:00 GMT-0400 (EDT)|83 min|Comedy|Mike Bigelow|Rob Schneider; Eddie Griffin; Jeroen Krabbé; Til Schweiger|Deuce Bigalow (Rob Schneider) goes to Amsterdam after a little accident including two irritating kids and a bunch of aggressive dolphins There he meets up with his old friend TJ Hicks (Eddie Griffin) But a mysterious killer starts killing some of Amsterdams finest gigolos and TJ is mistaken for the extremely gay murderer Deuce must enter the gigolo industry again to find the real murderer and clear TJs name|English; Dutch|USA|3 wins & 10 nominations|4.6/10|9%|23/100|23|4.6|movie|$22,264,487|Sony|Deuce Bigalow: European Gigolo|12-Aug-05|Comedy|23|Deuce Bigalow: European Gigolo|24607|0|||
Proof|2005|PG-13|Fri Oct 07 2005 00:00:00 GMT-0400 (EDT)|100 min|Drama; Mystery|John Madden|Gwyneth Paltrow; Anthony Hopkins; Jake Gyllenhaal; Danny McCarthy|The daughter of a brilliant but mentally disturbed mathematician (recently deceased) tries to come to grips with her possible inheritance: his insanity Complicating matters are one of her fathers ex-students who wants to search through his papers and her estranged sister who shows up to help settle his affairs|English|USA|Nominated for 1 Golden Globe Another 4 wins & 5 nominations|6.8/10|62%|64/100|64|6.8|movie|$7,468,700|Miramax Films|Proof|16-Sep-05|Drama|64|Proof|113949|0|18|88|3
