title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount|movie_name|production_year|movie_odid|production_budget|domestic_box_office|international_box_office|rating|creative_type|source|production_method|genre|sequel|running_time
Punisher: War Zone|2008|R|Fri Dec 05 2008 00:00:00 GMT-0500 (EST)|103 min|Action; Adventure; Crime|Lexi Alexander|Ray Stevenson; Dominic West; Doug Hutchison; Colin Salmon|Frank Castle the ex-military man whose family was killed by criminals who became a vigilante known as the Punisher goes after a whole mob family and gets everyone except enforcer Billy Russoti He tracks Russoti down and chases him into a vat that is used for crushing bottles Frank turns on the crusher hoping it would take care of him but it doesnt He survives but sustains very severe injuries that even with plastic surgery his face looks like a jigsaw puzzle So he decides to adopt the name Jigsaw Frank who killed one of Russotis people who unknown to him is an undercover Fed decides to pack it in But when he learns Russoti didnt die and is looking for the money he entrusted to the Fed and will go looking for it at his home which means his family is in danger So Frank tries to save them But Russoti wants revenge on Frank so he breaks out his brother who is so crazed that he is committed to an asylum to deal with him And also another Fed whos a friend of the man Frank killed wants him too|English|USA; Canada; Germany|1 win & 1 nomination|6.0/10|27%|30/100|30|6|movie|$7,948,159|Lionsgate|Punisher: War Zone|5-Dec-08|Action, Drama, Thriller, Crime|30|Punisher: War Zone|3057743|0|1310|3400|1206|Punisher: War Zone|2008|40290100|35000000|8050977|2106557|R|Super Hero|Based on Comic/Graphic Novel|Live Action|Action|1|103
Seven Pounds|2008|PG-13|Fri Dec 19 2008 00:00:00 GMT-0500 (EST)|123 min|Drama; Romance|Gabriele Muccino|Will Smith; Rosario Dawson; Woody Harrelson; Michael Ealy|Haunted by a secret Ben Thomas looks for redemption by radically transforming the lives of seven people he doesnt know Once his plan is set nothing will be able to stop him At least thats what he thinks But Ben hadnt planned on falling in love with one of these people and shes the one who will end up transforming him|English; Spanish|USA|5 wins & 6 nominations|7.7/10|26%|36/100|36|7.7|movie|$69,951,824|Sony Pictures|Seven Pounds|19-Dec-08|Drama|36|Seven Pounds|201246|0|70|334|8|Seven Pounds|2008|7150100|54000000|69951824|96665504|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Drama|0|123
The Sisterhood of the Traveling Pants 2|2008|PG-13|Wed Aug 06 2008 00:00:00 GMT-0400 (EDT)|119 min|Comedy; Drama; Family|Sanaa Hamri|Amber Tamblyn; Alexis Bledel; America Ferrera; Blake Lively|Carmen Lowell is working on the backstage of a play at Yale When the lead actress her friend Julia invites her to Vermont with her to work on a play with a professional cast she decides to stay with her friends and her pregnant mother However she changes her mind after she finds that her friends will all leave for the summer: Lena Kaligaris will travel to a drawing course Bridget Vreeland who is in an existential crisis missing her mother will travel to an archaeological dig in Turkey and Tibby Tomko-Rollins is working in a rental and still editing her documentary Carmen grows a crush on the lead actor Ian who convinces her to participate in an audition and she is then invited by the director Bill Kerr to perform the lead female role Later she finds the truth about the friendship of Julia The broken-hearted Lena finds that Kostas has just married and she dates the model of her drawing class Bridget finds letters addressed to her from her grandmother that her father has hidden and decides to visit her discovering information about her mother Tibby makes love with her boyfriend Brian McBrian and gets scared of a possible pregnancy In the end the girlfriends discover that their friendship is real and amounts to more than just a pair of jeans|English; Greek|USA|1 nomination|6.2/10|65%|63/100|63|6.2|movie|$44,029,972|Warner Bros. Pictures|The Sisterhood of the Traveling Pants 2|6-Aug-08|Drama, Comedy, Romance|63|The Sisterhood of the Traveling Pants 2|163099|0|5|785|7|The Sisterhood of the Traveling Pants 2|2008|12560100|27000000|44089964|180167|PG-13|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Adventure|1|119
The Sisterhood of the Traveling Pants 2|2008|PG-13|Wed Aug 06 2008 00:00:00 GMT-0400 (EDT)|119 min|Comedy; Drama; Family|Sanaa Hamri|Amber Tamblyn; Alexis Bledel; America Ferrera; Blake Lively|Carmen Lowell is working on the backstage of a play at Yale When the lead actress her friend Julia invites her to Vermont with her to work on a play with a professional cast she decides to stay with her friends and her pregnant mother However she changes her mind after she finds that her friends will all leave for the summer: Lena Kaligaris will travel to a drawing course Bridget Vreeland who is in an existential crisis missing her mother will travel to an archaeological dig in Turkey and Tibby Tomko-Rollins is working in a rental and still editing her documentary Carmen grows a crush on the lead actor Ian who convinces her to participate in an audition and she is then invited by the director Bill Kerr to perform the lead female role Later she finds the truth about the friendship of Julia The broken-hearted Lena finds that Kostas has just married and she dates the model of her drawing class Bridget finds letters addressed to her from her grandmother that her father has hidden and decides to visit her discovering information about her mother Tibby makes love with her boyfriend Brian McBrian and gets scared of a possible pregnancy In the end the girlfriends discover that their friendship is real and amounts to more than just a pair of jeans|English; Greek|USA|1 nomination|6.2/10|65%|63/100|63|6.2|movie|$44,029,972|Warner Bros. Pictures|The Sisterhood of the Traveling Pants 2|6-Aug-08|Drama, Comedy, Romance|63|The Sisterhood of the Traveling Pants 2|163099|0|5|785|7|The Sisterhood of the Traveling Pants 2|2008|12560100|27000000|44089964|180167|PG-13|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Adventure|1|119
Sex and the City|2008|R|Fri May 30 2008 00:00:00 GMT-0400 (EDT)|145 min|Comedy; Drama; Romance|Michael Patrick King|Sarah Jessica Parker; Kim Cattrall; Kristin Davis; Cynthia Nixon|After moving in together in an impossibly beautiful New York apartment Carrie Bradshaw and Mr Big make a rather arbitrary decision to get married The wedding itself proves to be anything but a hasty affair--the guest list quickly blooms from 75 to 200 guests and Carries simple label-less wedding gown gives way to an enormous creation that makes her look like a gigantic cream puff An upcoming photo spread in Vogue puts the event--which will take place at the New York Public Library--squarely in the public eye Meanwhile Carries girlfriends--Samantha the sexpot Charlotte the sweet naïf and Miranda the rigid perfectionist--could not be happier At least they couldnt be happier for Carrie Charlotte still has the unrealized hope of getting pregnant Samantha is finding a loving committed relationship more grueling than she could have imagined Miranda unwittingly lets her own unhappiness--created when Steve admits to cheating on her just once--spoil Carries After a heated encounter with Steve she happens to spot Mr Big and tells him hes crazy to get married Shes really only thinking of her own marriage But her angry remark gets Mr Big to thinking|English|USA|2 wins & 12 nominations|5.6/10|49%|53/100|53|5.6|movie|$152,595,674|Warner Bros. Pictures|Sex and the City|30-May-08|Drama, Comedy, Romance|53|Sex and the City|146698|0|6|72|16|Sex and the City|2008|1810100|57500000|152647258|262600000|R|Contemporary Fiction|Based on TV|Live Action|Comedy|0|145
Sex Drive|2008|R|Fri Oct 17 2008 00:00:00 GMT-0400 (EDT)|109 min|Adventure; Comedy; Romance|Sean Anders|Josh Zuckerman; Amanda Crew; Clark Duke; James Marsden|Ian is a high school senior in suburban Chicago plagued by being a virgin Online hes inflated his resume met Ms Tasty and agreed to drive to Knoxville where she promises sex He steals his homophobic macho brothers GTO and with his two best friends Lance and Felicia heads south Every young woman who meets Lance including Felicia is attracted to him as he practices his aptly learned Pick-Up Artist skills Ian on the other hand is a decent guy who wouldnt mind if his friendship with Felicia became a romance By the time they get to Knoxville they have encountered a jealous boyfriend a menacing hitchhiker jail birds carjackers an Amish community and Ians better judgment|English|USA|N/A|6.5/10|46%|49/100|49|6.5|movie|$8,364,827|Summit Entertainment|Sex Drive|17-Oct-08|Adventure, Comedy, Romance|49|Sex Drive|4174585|0|1064|4911|1040|Sex Drive|2008|39700100|19000000|8402485|2010000|R|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Comedy|0|101
Space Chimps|2008|G|Fri Jul 18 2008 00:00:00 GMT-0400 (EDT)|81 min|Animation; Adventure; Comedy|Kirk De Micco|Andy Samberg; Cheryl Hines; Jeff Daniels; Patrick Warburton|Ham III the grandson of the first chimp astronaut is blasted off into space by an opportunity-seeking senator Soon the fun-loving chimp has to get serious about the mission at hand ridding a far-away planet of their nefarious leader Fortunately for Ham III two of his simian peers are along for the ride|English|USA|1 nomination|4.5/10|34%|36/100|36|4.5|movie|$29,942,542|20th Century Fox|Space Chimps|18-Jul-08|Adventure, Sci-Fi, Comedy, Animation, Family|36|Space Chimps|42011|0|4|15|1|Space Chimps|2008|18730100|37000000|30105968|36923988|G|Kids Fiction|Original Screenplay|Digital Animation|Adventure|0|81
The Spiderwick Chronicles|2008|PG|Thu Feb 14 2008 00:00:00 GMT-0500 (EST)|96 min|Adventure; Family; Fantasy|Mark Waters|Freddie Highmore; Mary-Louise Parker; Nick Nolte; Sarah Bolger|Once upon a time upon moving into the run-down Spiderwick Estate with their mother twin brothers Jared and Simon Grace along with their sister Mallory find themselves pulled into an alternate world full of faeries and other creatures Unable to explain the strange disappearances and accidents that seem to be happening on a daily basis the family blames it all on Jared When he Simon and Mallory investigate whats really going on they uncover the fantastic truth of the Spiderwick estate and of the creatures that inhabit it|English|USA|2 wins & 8 nominations|6.6/10|80%|62/100|62|6.6|movie|$71,148,699|Paramount Pictures|The Spiderwick Chronicles|14-Feb-08|Adventure, Fantasy, Family|62|The Spiderwick Chronicles|430725|0||||The Spiderwick Chronicles|2008|6890100|92500000|71195053|91644614|PG|Fantasy|Based on Fiction Book/Short Story|Live Action|Adventure|0|96
Speed Racer|2008|PG|Fri May 09 2008 00:00:00 GMT-0400 (EDT)|135 min|Action; Family; Sci-Fi|Lana Wachowski; Lilly Wachowski|Emile Hirsch; Nicholas Elia; Susan Sarandon; Melissa Holroyd|The story begins with Speed Racer who is a young man with natural racing instincts whose goal is to win The Crucible a cross-country car racing rally that took the life of his older brother Rex Racer Speed is loyal to the family business run by his parents Pops and Mom Pops designed Speeds car the Mach 5 The owner of Royalton Industries makes Speed a lucrative offer Speed rejects the offer angering the owner Speed also uncovers a secret that top corporate interests including Royalton are fixing races and cheating to gain profit With the offer to Speed denied Royalton wants to ensure that Speed will not win races Speed finds support from his parents and his girlfriend Trixie and enters The Crucible in a partnership with his one-time rival Racer X seeking to rescue his familys business and the racing sport itself|English|USA; Australia; Germany|13 nominations|6.0/10|40%|37/100|37|6|movie|$43,929,341|Warner Bros. Pictures|Speed Racer|9-May-08|Action, Sport, Family|37|Speed Racer|88036|0|29|106|7|Speed Racer|2008|12600100|120000000|43945766|49448696|PG|Science Fiction|Based on TV|Live Action|Action|0|135
Step Brothers|2008|R|Fri Jul 25 2008 00:00:00 GMT-0400 (EDT)|98 min|Comedy|Adam McKay|Will Ferrell; John C. Reilly; Mary Steenburgen; Richard Jenkins|Brennan Huff and Dale Doback are both about 40 when Brennans mom and Dales dad marry The sons still live with the parents so they must now share a room Initial antipathy threatens the households peace and the parents relationship Dad lays down the law: both slackers have a week to find a job Out of the job search and their love of music comes a pact that leads to friendship but more domestic disarray compounded by the boys sleepwalking Hovering nearby are Brennans successful brother and his lonely wife: the brother wants to help sell his step-fathers house the wife wants Dales attention and the newlyweds want to retire and sail the seven seas Can harmony come from the discord?|English; Spanish|USA|3 wins & 2 nominations|6.9/10|54%|51/100|51|6.9|movie|$100,468,793|Columbia Pictures|Step Brothers|25-Jul-08|Comedy|51|Step Brothers|1115475|0|195|1759|81|Step Brothers|2008|4290100|65000000|100468793|28000000|R|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|95
Stop-Loss|2008|R|Fri Mar 28 2008 00:00:00 GMT-0400 (EDT)|112 min|Drama; War|Kimberly Peirce|Ryan Phillippe; Joseph Gordon-Levitt; Rob Brown; Channing Tatum|Decorated Iraq war hero Sgt Brandon King makes a celebrated return to his small Texas hometown following his tour of duty He tries to resume the life he left behind Then against Brandons will the Army orders him back to duty in Iraq which upends his world The conflict tests everything he believes in: the bond of family the loyalty of friendship the limits of love and the value of honor|English|USA|2 wins & 5 nominations|6.5/10|65%|61/100|61|6.5|movie|$10,796,776|Paramount Pictures|Stop-Loss|28-Mar-08|Drama, War|61|Stop-Loss|705180|0||||Stop-Loss|2008|35930100|25000000|10915744|313291|R|Dramatization|Based on Real Life Events|Live Action|Drama|0|113
Street Kings|2008|R|Fri Apr 11 2008 00:00:00 GMT-0400 (EDT)|109 min|Action; Crime; Drama|David Ayer|Keanu Reeves; Forest Whitaker; Hugh Laurie; Chris Evans|LAPD detective Tom Ludlow is a ruthlessly efficient unorthodox undercover cop Captain Jack Wander always covers for Tom as do even his somewhat jealous colleagues After technically excessive violence against a vicious Korean gang during the liberation of a kidnapped kid sex slave Tom becomes the target of IAs hotshot captain James Biggs who feels passed over after Wanders promotion to chief Toms corrupt disloyal ex-patrol partner Terrence Washington sides with IA but is killed during a shop robbery in Toms presence|English; Turkish|USA|1 nomination|6.8/10|36%|55/100|55|6.8|movie|$26,351,341|20th Century Fox/Regency Films|Street Kings|11-Apr-08|Action, Drama, Thriller, Crime|55|Street Kings|17635|0|1|22|1|Street Kings|2008|20570100|20000000|26415649|39039144|R|Contemporary Fiction|Original Screenplay|Live Action|Thriller/Suspense|0|107
Superhero Movie|2008|PG-13|Fri Mar 28 2008 00:00:00 GMT-0400 (EDT)|75 min|Action; Comedy|Craig Mazin|Drake Bell; Sara Paxton; Christopher McDonald; Leslie Nielsen|Orphaned high school student Rick Riker is bitten by a radioactive dragonfly develops super powers (except for the ability to fly) and becomes a hero|English|USA|1 win|4.5/10|17%|33/100|33|4.5|movie|$25,815,447|The Weinstein Company/Dimension Films|Superhero Movie|28-Mar-08|Action, Sci-Fi, Thriller, Comedy|33|Superhero Movie|31187|0|4|24|0|Superhero Movie|2008|20910100|35000000|26638520|46387782|PG-13|Super Hero|Original Screenplay|Live Action|Comedy|0|86
Swing Vote|2008|PG-13|Fri Aug 01 2008 00:00:00 GMT-0400 (EDT)|120 min|Comedy; Drama|Joshua Michael Stern|Kevin Costner; Madeline Carroll; Paula Patton; Kelsey Grammer|November 2004 New Mexico Bud is a slacker with one good thing in his life his engaging fifth-grade daughter Molly On election day Bud is supposed to meet her at the polling place When he doesnt show she sneaks a ballot and is about to vote when the power goes off It turns out that New Mexicos electoral votes will decide the contest and there its tied with one vote needing recasting - Buds The worlds media and both presidential candidates including the current President descend on Bud in anticipation of his re-vote in two weeks Can the clueless Bud even with the help of Molly and a local TV reporter handle this responsibility?|English|USA|1 nomination|6.1/10|39%|47/100|47|6.1|movie|$16,229,781|Touchstone Pictures/Treehouse Films|Swing Vote|1-Aug-08|Drama, Comedy|47|Swing Vote|549739|0|202|412|29|Swing Vote|2008|28870100|21000000|16289867|1300000|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|120
Twilight|2008|PG-13|Fri Nov 21 2008 00:00:00 GMT-0500 (EST)|122 min|Drama; Fantasy; Romance|Catherine Hardwicke|Kristen Stewart; Sarah Clarke; Matt Bushell; Billy Burke|Bella Swan has always been a little bit different Never one to run with the crowd Bella never cared about fitting in with the trendy plastic girls at her Phoenix Arizona high school When her mother remarried and Bella chooses to live with her father in the rainy little town of Forks Washington she didnt expect much of anything to change But things do change when she meets the mysterious and dazzlingly beautiful Edward Cullen For Edward is nothing like any boy shes ever met Hes nothing like anyone shes ever met period Hes intelligent and witty and he seems to see straight into her soul In no time at all they are swept up in a passionate and decidedly unorthodox romance - unorthodox because Edward really isnt like the other boys He can run faster than a mountain lion He can stop a moving car with his bare hands Oh and he hasnt aged since 1918 Like all vampires hes immortal Thats right - vampire But he doesnt have fangs - thats just in the movies And he doesnt drink human blood though Edward and his family are unique among vampires in that lifestyle choice To Edward Bella is that thing he has waited 90 years for - a soul mate But the closer they get the more Edward must struggle to resist the primal pull of her scent which could send him into an uncontrollable frenzy Somehow or other they will have to manage their unmanageable love But when unexpected visitors come to town and realize that there is a human among them Edward must fight to save Bella? A modern visual and visceral Romeo and Juliet story of the ultimate forbidden love affair - between vampire and mortal|English|USA|29 wins & 15 nominations|5.2/10|49%|56/100|56|5.2|movie|$191,449,475|Summit Entertainment|Twilight|21-Nov-08|Drama, Thriller, Fantasy, Romance|56|Twilight|10735445|0|6516|21753|1391|Twilight|2008|1040100|37000000|192769854|209510305|PG-13|Fantasy|Based on Fiction Book/Short Story|Live Action|Drama|0|121
Untraceable|2008|R|Fri Jan 25 2008 00:00:00 GMT-0500 (EST)|101 min|Crime; Mystery; Thriller|Gregory Hoblit|Diane Lane; Billy Burke; Colin Hanks; Joseph Cross|A secret service agent Jennifer Marsh gets caught in a very personal and deadly cat-and-mouse game with a serial killer who knows that people (being what they are - both curious and drawn to the dark side of things) will log onto an untraceable website where he conducts violent and painful murders LIVE on the net The more people who log on and enter the website the quicker and more violently the victim dies|English|USA|1 win|6.2/10|16%|32/100|32|6.2|movie|$28,687,835|Sony/Screen Gems|Untraceable|25-Jan-08|Drama, Thriller, Crime|32|Untraceable|495850|0|193|591|42|Untraceable|2008|19410100|35000000|28687835|23962116|R|Contemporary Fiction|Original Screenplay|Live Action|Thriller/Suspense|0|100
Vantage Point|2008|PG-13|Fri Feb 22 2008 00:00:00 GMT-0500 (EST)|90 min|Action; Crime; Drama|Pete Travis|Dennis Quaid; Matthew Fox; Forest Whitaker; Bruce McGill|The President of the United States is in Salamanca Spain about to address the city in a public square We see a plain-clothes cop his girlfriend with another man a mother and child an American tourist with a video camera and a Secret Service agent newly returned from medical leave Shots ring out and the President falls a few minutes later we hear a distant explosion then a bomb goes off in the square Those minutes are retold several times emphasizing different characters actions Gradually we discover whos behind the plot Is the Secret Service one step ahead or have the Presidents adversaries thought of everything?|English; Spanish|USA|2 wins & 2 nominations|6.6/10|35%|40/100|40|6.6|movie|$72,266,306|Sony Pictures Releasing|Vantage Point|22-Feb-08|Action, Drama, Thriller, Crime|40|Vantage Point|43830|0|7|38|0|Vantage Point|2008|6690100|40000000|72266306|78620023|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Thriller/Suspense|0|89
Valkyrie|2008|PG-13|Thu Dec 25 2008 00:00:00 GMT-0500 (EST)|121 min|Drama; History; Thriller|Bryan Singer|Tom Cruise; Kenneth Branagh; Bill Nighy; Tom Wilkinson|In Nazi Germany during World War II as the tide turned in favor of The Allies a cadre of senior German officers and politicians desperately plot to topple the Nazi regime before the nation is crushed in a near-inevitable defeat To this end Colonel Claus von Stauffenberg an Army officer convinced he must save Germany from Hitler is recruited to mastermind a real plan To do so he arranges for the internal emergency measure Operation: Valkyrie to be changed to enable his fellows to seize control of Berlin after the assassination of the Fuhrer However even as the plan is put into action a combination of bad luck and human failings conspire on their own to create a tragedy that would prolong the greater one gripping Europe|English; German|USA; Germany|2 wins & 11 nominations|7.1/10|62%|56/100|56|7.1|movie|$82,989,109|MGM|Valkyrie|25-Dec-08|Drama, History, Thriller, War|56|Valkyrie|1225651|0|1080|1584|108|Valkyrie|2008|5440100|90000000|83077762|120824345|PG-13|Dramatization|Based on Real Life Events|Live Action|Thriller/Suspense|0|120
Vicky Cristina Barcelona|2008|PG-13|Fri Aug 15 2008 00:00:00 GMT-0400 (EDT)|96 min|Drama; Romance|Woody Allen|Rebecca Hall; Scarlett Johansson; Chris Messina; Patricia Clarkson|Sexually adventurous Cristina and her friend Vicky who is bright but cautious holiday in Barcelona where they meet the celebrated and wholly seductive painter Juan Antonio Vicky is not about to dive into a sexual adventure being committed to her forthcoming marriage But Cristina is immediately captivated by Juan Antonios free spirit and his romantic allure is enhanced when she hears the delicious details of his divorce from fellow artist the tempestuous Maria Elena|English; Spanish|Spain; USA|Won 1 Oscar Another 31 wins & 53 nominations|7.1/10|81%|70/100|70|7.1|movie|$23,164,041|The Weinstein Co.|Vicky Cristina Barcelona|15-Aug-08|Drama, Romance|70|Vicky Cristina Barcelona|1093970|0|80|1462|99|Vicky Cristina Barcelona|2008|22700100|16000000|23216709|81288108|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|97
Strange Wilderness|2008|R|Fri Feb 01 2008 00:00:00 GMT-0500 (EST)|87 min|Adventure; Comedy|Fred Wolf|Steve Zahn; Allen Covert; Jonah Hill; Kevin Heffernan|When his father dies Peter Gaulke inherits Strange Wilderness dads TV show about animals After ratings plummet and the show is canceled we watch a long flashback to see its demise The studio head gives the show two more weeks An old friend brings a story about Bigfoot in Ecuador so a long road trip ensues with stops along the way and enough problems misjudgments and deaths to sink a less intrepid band Peters team faces competition from a better-funded and more practiced set of rivals Who will find Bigfoot first and will they get it on tape and save the show? Can Peter make dad proud?|English|USA|N/A|5.3/10|2%|12/100|12|5.3|movie|$6,515,869|Paramount Classics|Strange Wilderness|1-Feb-08|Comedy|12|Strange Wilderness|336162|0||||Strange Wilderness|2008|43260100|20000000|6575282|371802|R|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|86
The Tale of Despereaux|2008|G|Fri Dec 19 2008 00:00:00 GMT-0500 (EST)|93 min|Animation; Adventure; Comedy|Sam Fell; Robert Stevenhagen|Matthew Broderick; Dustin Hoffman; Emma Watson; Tracey Ullman|The tale of three unlikely heroes - a misfit mouse who prefers reading books to eating them an unhappy rat who schemes to leave the darkness of the dungeon and a bumbling servant girl with cauliflower ears - whose fates are intertwined with that of the castles princess|English|UK; USA|1 win & 8 nominations|6.1/10|56%|53/100|53|6.1|movie|$50,818,750|Universal Pictures|The Tale of Despereaux|19-Dec-08|Adventure, Fantasy, Comedy, Animation, Family|53|The Tale of Despereaux|5804|0|1|10|1|The Tale of Despereaux|2008|10730100|60000000|50877145|39605172|G|Kids Fiction|Based on Fiction Book/Short Story|Digital Animation|Adventure|0|93
Taken|2008|PG-13|Fri Jan 30 2009 00:00:00 GMT-0500 (EST)|93 min|Action; Crime; Thriller|Pierre Morel|Liam Neeson; Maggie Grace; Leland Orser; Jon Gries|Seventeen year-old Kim is the pride and joy of her father Bryan Mills Bryan is a retired agent who left the Central Intelligence Agency to be near Kim in California Kim lives with her mother Lenore and her wealthy stepfather Stuart Kim manages to convince her reluctant father to allow her to travel to Paris with her friend Amanda When the girls arrive in Paris they share a cab with a stranger named Peter and Amanda lets it slip that they are alone in Paris Using this information an Albanian gang of human traffickers kidnaps the girls Kim barely has time to call her father and give him information Her father gets to speak briefly to one of the kidnappers and he promises to kill the kidnappers if they do not let his daughter go free The kidnapper wishes him good luck so Bryan Mills travels to Paris to search for his daughter and her friend|English; French; Albanian; Arabic|France|2 wins & 2 nominations|7.8/10|58%|50/100|50|7.8|movie|$144,924,285|20th Century Fox|Taken|30-Jan-09|Action, Drama, Thriller, Crime|50|Taken|4231595|0|3342|5089|174|Taken|2009|1960100|25000000|145000989|81940596|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Thriller/Suspense|0|91
Tropic Thunder|2008|R|Wed Aug 13 2008 00:00:00 GMT-0400 (EDT)|107 min|Action; Comedy|Ben Stiller|Jeff Kahn; Robert Downey Jr.; Anthony Ruivivar; Jack Black|Action movie star Tugg Speedman is on the downslide of his professional career He wants to be considered a serious actor but his latest serious role as the title character in Simple Jack resulted in negative reviews and ridicule Comedian Jeff Portnoy is best known for his leading roles in sophomoric comedies and may be less well known for his rampant drug use Five time Oscar winner Kirk Lazarus is a serious method actor who immerses himself in whatever the role On location in southeast Vietnam they are the stars of Tropic Thunder based on Vietnam war veteran Four Leaf Taybacks memoirs of his rescue during the war that rescue which was considered a near suicide mission for the assigned army force and resulted in him losing both hands For his role Caucasian Australian Lazarus even went through a controversial surgical skin dying procedure so that he could convincingly play a black man Production is not going well since rookie director Damien Cockburn is unable to control the prima-donna attitude of his three stars Cockburn and Tayback decide that the five primary actors - Speedman Portnoy Lazarus rapper Alpa Chino and newcomer Kevin Sandusky - need to work together as a unit as did their real life characters The five are placed in the middle of the jungle and with only a map and their prop machine guns in hand are asked to work together to battle through the stunt pyrotechnics in their way What none of the seven of them know is that they have been dropped into a real life drug war led by the Flaming Dragons It isnt until Speedman is captured by the Flaming Dragons and tortured that they all realize that what they believed was make believe gunfire and land mines was actually real life As the four actors try to figure out what to do concerning Speedmans situation all five go through their own journey of self-discovery Meanwhile the movies megalomaniacal profanity spewing producer Les Grossman and Speedmans faithful agent Rick Peck argue about what to do about Speedmans situation And Tayback inadvertently shows a little of his true self|English; Mandarin|USA; UK; Germany|Nominated for 1 Oscar Another 10 wins & 43 nominations|7.0/10|82%|71/100|71|7|movie|$110,416,702|DreamWorks/Paramount Studios|Tropic Thunder|13-Aug-08|Action, Adventure, Comedy, War|71|Tropic Thunder|18258|0|0|12|2|Tropic Thunder|2008|3560100|90000000|110461307|80629943|R|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|106
War, Inc.|2008|R|Fri Jun 13 2008 00:00:00 GMT-0400 (EDT)|107 min|Action; Comedy; Thriller|Joshua Seftel|John Cusack; Hilary Duff; Marisa Tomei; Joan Cusack|A political satire set in Turaqistan a country occupied by an American private corporation run by a former US Vice President In an effort to monopolize the opportunities the war-torn nation offers the corporations CEO hires a troubled hit man to kill a Middle East oil minister Now struggling with his own growing demons the assassin must pose as the corporations Trade Show Producer in order to pull off this latest hit while maintaining his cover by organizing the high-profile wedding of Yonica Babyyeah an outrageous Middle Eastern pop star and keeping a sexy left wing reporter in check|English; Hungarian|USA|1 nomination|5.7/10|30%|37/100|37|5.7|movie|$515,643|First Look Pictures|War, Inc.|23-May-08|Action, Thriller, Comedy, War|37|War, Inc.|765470|0|237|583|64|War, Inc.|2008|66120100|10000000|580862|718993|R|Contemporary Fiction|Original Screenplay|Live Action|Black Comedy|0|
Zack and Miri Make a Porno|2008|R|Fri Oct 31 2008 00:00:00 GMT-0400 (EDT)|101 min|Comedy; Romance|Kevin Smith|Elizabeth Banks; Seth Rogen; Craig Robinson; Gerry Bednob|Zack and Miri are two lifelong platonic friends who make an adult film to pay the rent of their apartment With their friend Delaney the couple set out for auditionees for their porn film but in the process of filming they realize they feel more for each other than they had before|English|USA|2 wins & 4 nominations|6.6/10|65%|56/100|56|6.6|movie|$31,382,624|The Weinstein Company|Zack and Miri Make a Porno|31-Oct-08|Drama, Comedy, Romance|56|Zack and Miri Make a Porno|56900|0|2|60|7|Zack and Miri Make a Porno|2008|18110100|24000000|31457946|5398360|R|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|101
Yes Man|2008|PG-13|Fri Dec 19 2008 00:00:00 GMT-0500 (EST)|104 min|Comedy; Romance|Peyton Reed|Jim Carrey; Zooey Deschanel; Bradley Cooper; John Michael Higgins|Carl Allen is at a standstill No future Until the day he enrolls into a personal development program based on a very simple idea: say yes to everything! Carl discovers with amazement the magical power of Yes and sees his professional and romantic life turned upside down overnight: an unexpected promotion and a new girlfriend But hell soon discover that better can be goods enemy and that all opportunities shouldnt be taken|English; Korean; Estonian|USA; UK|3 wins & 8 nominations|6.8/10|46%|46/100|46|6.8|movie|$97,600,000|Warner Bros. Pictures/Village Roadshow|Yes Man|19-Dec-08|Comedy, Romance|46|Yes Man|397044|0|72|421|16|Yes Man|2008|4440100|50000000|97690976|128300000|PG-13|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Comedy|0|104
