title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount|movie_name|production_year|movie_odid|production_budget|domestic_box_office|international_box_office|rating|creative_type|source|production_method|genre|sequel|running_time
Blood Diamond|2006|R|Fri Dec 08 2006 00:00:00 GMT-0500 (EST)|143 min|Adventure; Drama; Thriller|Edward Zwick|Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly; Kagiso Kuypers|A story following Archer a man tortured by his roots With a strong survival instinct he has made himself a key player in the business of conflict diamonds Political unrest is rampant in Sierra Leone as people fight tooth for tooth Upon meeting Solomon and the beautiful Maddy Archers life changes forever as he is given a chance to make peace with the war around him|English; Mende; Afrikaans|Germany; USA|Nominated for 5 Oscars Another 8 wins & 26 nominations|8.0/10|62%|64/100|64|8|movie|$57,300,000|Warner Bros. Pictures|Blood Diamond|8-Dec-06|Action, Adventure, Drama, Thriller|64|Blood Diamond|32296|0|3|39|2|Blood Diamond|2006|9180100|100000000|57377916|114000000|R|Historical Fiction|Original Screenplay|Live Action|Action|0|143
Apocalypto|2006|R|Fri Dec 08 2006 00:00:00 GMT-0500 (EST)|139 min|Action; Adventure; Drama|Mel Gibson|Rudy Youngblood; Dalia Hernández; Jonathan Brewer; Morris Birdyellowhead|In the Maya civilization a peaceful tribe is brutally attacked by warriors seeking slaves and human beings for sacrifice for their gods Jaguar Paw hides his pregnant wife and his son in a deep hole nearby their tribe and is captured while fighting with his people An eclipse spares his life from the sacrifice and later he has to fight to survive and save his beloved family|Maya|USA|Nominated for 3 Oscars Another 9 wins & 20 nominations|7.8/10|65%|68/100|68|7.8|movie|$50,772,724|Buena Vista|Apocalypto|8-Dec-06|Action, Adventure, Drama|68|Apocalypto|4101625|0|930|7114|533|Apocalypto|2006|130090100|40000000|50866635|70165637|R|Historical Fiction|Original Screenplay|Live Action|Adventure|0|138
Casino Royale|2006|PG-13|Fri Nov 17 2006 00:00:00 GMT-0500 (EST)|144 min|Action; Adventure; Thriller|Martin Campbell|Daniel Craig; Eva Green; Mads Mikkelsen; Judi Dench|James Bond goes on his first ever mission as a 00 Le Chiffre is a banker to the worlds terrorists He is participating in a poker game at Montenegro where he must win back his money in order to stay safe among the terrorist market The boss of MI6 known simply as M sends Bond along with Vesper Lynd to attend this game and prevent Le Chiffre from winning Bond using help from Felix Leiter Mathis and having Vesper pose as his partner enters the most important poker game in his already dangerous career But if Bond defeats Le Chiffre will he and Vesper Lynd remain safe?|English; French|UK; Czech Republic; USA; Germany; Bahamas; Italy|Won 1 BAFTA Film Award Another 26 wins & 44 nominations|8.0/10|94%|80/100|80|8|movie|$167,007,184|Sony|Casino Royale|17-Nov-06|Action, Adventure, Thriller|80|Casino Royale|1370093|0|233|2703|108|Casino Royale|2006|1490100|102000000|167365000|427055283|PG-13|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Action|1|144
Babel|2006|R|Fri Nov 10 2006 00:00:00 GMT-0500 (EST)|143 min|Drama|Alejandro G. Iñárritu|Brad Pitt; Cate Blanchett; Mohamed Akhzam; Peter Wight|4 interlocking stories all connected by a single gun all converge at the end and reveal a complex and tragic story of the lives of humanity around the world and how we truly arent all that different In Morocco a troubled married couple are on vacation trying to work out their differences Meanwhile a Moroccan herder buys a rifle for his sons so they can keep the jackals away from his herd A girl in Japan dealing with rejection the death of her mother the emotional distance of her father her own self-consciousness and a disability among many other issues deals with modern life in the enormous metropolis of Tokyo Japan Then on the opposite side of the world the married couples Mexican nanny takes the couples 2 children with her to her sons wedding in Mexico only to come into trouble on the return trip Combined it provides a powerful story and an equally powerful looking glass into the lives of seemingly random people around the world and it shows just how connected we really are|English; Arabic; Spanish; Japanese; Berber languages; French; Russian; Japanese Sign Language|France; USA; Mexico|Won 1 Oscar Another 41 wins & 134 nominations|7.5/10|69%|69/100|69|7.5|movie|$34,237,104|Paramount Classics|Babel|27-Oct-06|Drama|69|Babel|15357|0|1|15|0|Babel|2006|16570100|20000000|34302837|97818375|R|Contemporary Fiction|Original Screenplay|Live Action|Drama|0|143
Children of Men|2006|R|Fri Jan 05 2007 00:00:00 GMT-0500 (EST)|109 min|Drama; Sci-Fi; Thriller|Alfonso Cuarón|Clive Owen; Juan Gabriel Yacuzzi; Michael Caine; Mishal Husain|The worlds youngest citizen has just died at 18 and humankind is facing the likelihood of its own extinction Set in and around a dystopian London fractious with violence and warring nationalistic sects Children of Men follows the unexpected discovery of a lone pregnant woman and the desperate journey to deliver her to safety and restore faith for a future beyond those presently on Earth|English; German; Italian; Romanian; Spanish; Arabic; Georgian; Russian; Serbian|USA; UK; Japan|Nominated for 3 Oscars Another 48 wins & 76 nominations|7.9/10|92%|84/100|84|7.9|movie|$35,100,000|Universal Pictures|Children of Men|25-Dec-06|Adventure, Sci-Fi, Drama, Mystery, Thriller|84|Children of Men|2566183|0|1410|6452|261|Children of Men|2006|15960100|76000000|35552383|34292628|R|Science Fiction|Based on Fiction Book/Short Story|Live Action|Thriller/Suspense|0|109
Employee of the Month|2006|PG-13|Fri Oct 06 2006 00:00:00 GMT-0400 (EDT)|103 min|Comedy; Romance|Greg Coolidge|Dane Cook; Jessica Simpson; Dax Shepard; Andy Dick|Slacker Zack Bradley works as a box boy at Super Club a warehouse club store It is the lowest in the job hierarchy at the store He doesnt work very hard at his job and along with some of his fellow employee friends treats the store like his playground Regardless he is well liked by most of the other employees He used to be hard working when he was developing a dot com but he lost all his and his grandmothers money in the process As such he decided not to take any risks in life while he now lives with her so as to provide her with what he considers at least a more reliable life On the other extreme is Vince Downey who lords an air of superiority over his fellow employees as the stores head cashier He lives to be the stores best employee solely so that he can be named Employee of the Month which he has been named seventeen months in a row If he is named Employee of the Month for a record eighteenth time in a row he will be rewarded with entrance into the corporations management track program and a new car Zack decides he wants to break Vinces streak if only because he reads in the employment record of recent transfer the pretty Amy Renfro that she had a thing at her previous store for men who have been named Employee of the Month Zack finds that working toward being Employee of the Month is not as easy as he thought especially as Vince will not relinquish the title and all its perks without a fight dirty or not Zack has to decide how far he is willing to go to get the title and the girl|English|USA|2 nominations|5.5/10|20%|36/100|36|5.5|movie|$28,364,748|Lionsgate|Employee of the Month|6-Oct-06|Comedy, Romance|36|Employee of the Month|746811|0|255|833|110|Employee of the Month|2006|19540100|10000000|28444855|9920000|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|108
Final Destination 3|2006|R|Fri Feb 10 2006 00:00:00 GMT-0500 (EST)|93 min|Fantasy; Horror; Mystery|James Wong|Mary Elizabeth Winstead; Ryan Merriman; Kris Lemche; Alexz Johnson|When Wendy Christensen has a vision of an accident on the roller coaster resulting in her and her friends deaths she instantly begins to panic and gets off the ride causing a few of her friends to get off as well The remaining friends including Wendys boyfriend are stuck on the roller coaster and find themselves involved in the accident With death waiting around the corner Wendy and Kevin Fischer must try and work out deaths plan before they and the remaining survivors end up dead|English|Germany; USA; Canada|6 nominations|5.8/10|43%|41/100|41|5.8|movie|$54,100,000|New Line Cinema|Final Destination 3|10-Feb-06|Mystery, Thriller, Horror|41|Final Destination 3|16600|0|0|15|1|Final Destination 3|2006|9880100|25000000|54098051|58700000|R|Fantasy|Original Screenplay|Live Action|Horror|1|
Flicka|2006|PG|Fri Oct 20 2006 00:00:00 GMT-0400 (EDT)|95 min|Adventure; Drama; Family|Michael Mayer|Tim McGraw; Maria Bello; Alison Lohman; Ryan Kwanten|Coming of age story set in the mountain vistas A headstrong 16 year old Katy McLaughlin desires to work on her familys mountainside horse ranch although her father insists she finish boarding school Katy finds a mustang in the hills near her ranch Katy then sets her mind to tame a mustang and prove to her father she can run the ranch But when tragedy happens it will take all the love and strength the family can muster to restore hope|English|USA; UK|3 nominations|6.2/10|54%|57/100|57|6.2|movie|$20,949,649|20th Century Fox|Flicka|20-Oct-06|Adventure, Drama, Family|57|Flicka|763364|0|222|528|58|Flicka|2006|24440100|15000000|21000147|896220|PG|Contemporary Fiction|Based on Fiction Book/Short Story|Live Action|Drama|0|95
Dreamgirls|2006|PG-13|Mon Dec 25 2006 00:00:00 GMT-0500 (EST)|130 min|Drama; Music; Musical|Bill Condon|Jamie Foxx; Beyoncé; Eddie Murphy; Danny Glover|Detroit the early 1960s Curtis Taylor Jr a car salesman breaks into the music business with big dreams He signs a trio of young women the Dreamettes gets them a job backing an R&B performer James Thunder Early establishes his own record label and starts wheeling and dealing When Early flames out Curtis makes the Dreamettes into headliners as the Dreams but not before demoting their hefty big-voiced lead singer Effie White and putting the softer-voiced looker Deena Jones in front Soon after he fires Effie sends her into a life of proud poverty and takes Deena and the Dreams to the top How long can Curtis stay there and will Effie ever get her due?|English|USA|Won 2 Oscars Another 66 wins & 91 nominations|6.5/10|78%|76/100|76|6.5|movie|$103,300,000|Dreamworks|Dreamgirls|15-Dec-06|Drama, Musical|76|Dreamgirls|344420|0|31|1001|18|Dreamgirls|2006|3960100|75000000|103365956|52342739|PG-13|Historical Fiction|Based on Musical or Opera|Live Action|Musical|0|130
Flushed Away|2006|PG|Fri Nov 03 2006 00:00:00 GMT-0500 (EST)|85 min|Animation; Adventure; Comedy|David Bowers; Sam Fell|Hugh Jackman; Kate Winslet; Ian McKellen; Jean Reno|Roddy is a decidedly upper-crust society mouse who lives the life of a beloved pet in a posh Kensington flat When a sewer rat named Sid comes spewing out of the sink and decides hes hit the jackpot Roddy schemes to rid himself of the pest by luring him into the whirlpool Sid may be an ignorant slob but hes no fool so it is Roddy who winds up being flushed away into the bustling sewer world of Ratropolis There Roddy meets Rita an enterprising scavenger who works the sewers in her faithful boat the Jammy Dodger Roddy immediately wants out or rather up Rita wants to be paid for her trouble and speaking of trouble the villainous Toad - who royally despises all rodents equally making no distinction between mice and rats--wants them iced literally The Toad dispatches his two hapless hench-rats Spike and Whitey to get the job done When they fail the Toad has no choice but to send to France for his cousin - that dreaded mercenary Le Frog|English|UK; USA|Nominated for 1 BAFTA Film Award Another 6 wins & 13 nominations|6.6/10|73%|74/100|74|6.6|movie|$64,459,316|Paramount|Flushed Away|3-Nov-06|Adventure, Comedy, Animation, Family|74|Flushed Away|1986489|0|593|1761|263|Flushed Away|2006|7910100|149000000|64665672|114691454|PG|Kids Fiction|Original Screenplay|Digital Animation|Adventure|0|85
