Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
2010-09-24T00:00:00Z	You Again	2.0E7	2.5702053E7	3.2838945E7
2007-06-15T00:00:00Z	Nancy Drew	2.0E7	2.5584685E7	3.0703845E7
2010-09-17T00:00:00Z	Alpha and Omega 3D	2.0E7	2.5107267E7	4.8958353E7
2014-02-14T00:00:00Z	Endless Love	2.0E7	2.343825E7	3.4718173E7
2006-09-08T00:00:00Z	The Covenant	2.0E7	2.3364784E7	3.8164784E7
2011-07-01T00:00:00Z	Monte Carlo	2.0E7	2.3186769E7	3.9686769E7
2006-03-24T00:00:00Z	Stay Alive	2.0E7	2.308648E7	2.3187506E7
2005-10-07T00:00:00Z	2 For the Money	2.0E7	2.2991379E7	3.0491379E7
2017-06-16T00:00:00Z	Rough Night	2.0E7	2.2177334E7	4.6916048E7
1998-12-04T00:00:00Z	Psycho	2.0E7	2.1541218E7	3.7226218E7
1990-10-19T00:00:00Z	Quigley Down Under	2.0E7	2.1413105E7	2.1413105E7
1995-09-27T00:00:00Z	To Die For	2.0E7	2.1284514E7	2.7688744E7
2009-08-21T00:00:00Z	Shorts	2.0E7	2.0919166E7	2.9870801E7
1998-10-30T00:00:00Z	Vampires	2.0E7	2.0268825E7	2.0268825E7
2008-09-19T00:00:00Z	Appaloosa	2.0E7	2.0211394E7	2.7911453E7
2015-11-20T00:00:00Z	Secret in Their Eyes	2.0E7	2.0180155E7	3.0808558E7
2004-08-13T00:00:00Z	Yu-Gi-Oh	2.0E7	1.976269E7	2.876269E7
2007-03-23T00:00:00Z	Reign Over Me	2.0E7	1.9661987E7	2.0081987E7
2008-09-19T00:00:00Z	My Best Friend's Girl	2.0E7	1.921925E7	3.4787111E7
2007-05-11T00:00:00Z	Georgia Rule	2.0E7	1.888288E7	2.0819601E7
1981-07-31T00:00:00Z	Under the Rainbow	2.0E7	1.882649E7	1.882649E7
1985-04-12T00:00:00Z	Ladyhawke	2.0E7	1.84E7	1.84E7
2007-09-21T00:00:00Z	Into the Wild	2.0E7	1.8354356E7	5.682296E7
1998-09-11T00:00:00Z	Simon Birch	2.0E7	1.8253415E7	1.8310591E7
2005-02-11T00:00:00Z	Pooh's Heffalump Movie	2.0E7	1.8098433E7	5.5686944E7
2006-09-29T00:00:00Z	School for Scoundrels	2.0E7	1.7807569E7	1.7807569E7
2012-10-26T00:00:00Z	Silent Hill: Revelation 3D	2.0E7	1.7530219E7	5.5975672E7
1995-11-03T00:00:00Z	Home for the Holidays	2.0E7	1.7468887E7	2.2119269E7
2017-03-31T00:00:00Z	The Zookeeper’s Wife	2.0E7	1.7445186E7	2.452214E7
2009-02-20T00:00:00Z	Fired Up	2.0E7	1.7231291E7	1.860857E7
2005-04-08T00:00:00Z	Kung Fu Hustle	2.0E7	1.7104669E7	1.02034104E8
2018-03-30T00:00:00Z	Acrimony	2.0E7	1.71E7	1.71E7
2002-07-26T00:00:00Z	The Country Bears	2.0E7	1.6988996E7	1.6988996E7
2017-09-29T00:00:00Z	Flatliners	2.0E7	1.6883115E7	4.5075341E7
2007-03-16T00:00:00Z	Dead Silence	2.0E7	1.657459E7	2.0614661E7
2003-11-21T00:00:00Z	21 Grams	2.0E7	1.6248701E7	5.9667625E7
2009-12-04T00:00:00Z	Armored	2.0E7	1.5988876E7	2.3661038E7
2007-12-14T00:00:00Z	The Kite Runner	2.0E7	1.5800078E7	7.4180745E7
2004-09-03T00:00:00Z	Paparazzi	2.0E7	1.5712072E7	1.6612072E7
2003-01-17T00:00:00Z	A Guy Thing	2.0E7	1.5543862E7	1.7430594E7
1965-02-15T00:00:00Z	The Greatest Story Ever Told	2.0E7	1.5473333E7	1.5473333E7
2000-07-21T00:00:00Z	Loser	2.0E7	1.5464026E7	1.8250106E7
1998-03-06T00:00:00Z	Twilight	2.0E7	1.5055091E7	1.5055091E7
2009-09-23T00:00:00Z	Capitalism: A Love Story	2.0E7	1.4363397E7	1.9121531E7
2012-04-13T00:00:00Z	Lockout	2.0E7	1.4326865E7	3.3943049E7
2008-08-29T00:00:00Z	Disaster Movie	2.0E7	1.4190901E7	3.6720752E7
2011-09-30T00:00:00Z	What's Your Number?	2.0E7	1.4011084E7	3.0163785E7
1997-11-14T00:00:00Z	The Man Who Knew Too Little	2.0E7	1.3801755E7	1.3801755E7
2009-04-17T00:00:00Z	Crank 2: High Voltage	2.0E7	1.3684249E7	3.5472739E7
2015-10-30T00:00:00Z	Burnt	2.0E7	1.3651946E7	3.2632668E7
2004-04-30T00:00:00Z	Envy	2.0E7	1.3548322E7	1.4566246E7
2006-10-13T00:00:00Z	One Night with the King	2.0E7	1.3395961E7	1.3725032E7
1994-10-21T00:00:00Z	Bullets Over Broadway	2.0E7	1.3383747E7	1.3383747E7
2008-09-19T00:00:00Z	Ghost Town	2.0E7	1.3367624E7	2.9958228E7
2002-11-22T00:00:00Z	The Quiet American	2.0E7	1.2987647E7	2.6348203E7
2016-02-26T00:00:00Z	Triple 9	2.0E7	1.2639297E7	2.5943792E7
2016-09-02T00:00:00Z	The Light Between Oceans	2.0E7	1.2545979E7	1.945078E7
2005-10-28T00:00:00Z	The Weather Man	2.0E7	1.2482775E7	1.5466961E7
2002-08-23T00:00:00Z	Undisputed	2.0E7	1.2398628E7	1.2398628E7
2009-03-27T00:00:00Z	12 Rounds	2.0E7	1.2234694E7	1.7306648E7
2010-10-01T00:00:00Z	Let Me In	2.0E7	1.2134935E7	2.8270399E7
1994-05-06T00:00:00Z	3 Ninjas Kick Back	2.0E7	1.174496E7	1.174496E7
2008-02-22T00:00:00Z	Be Kind Rewind	2.0E7	1.1175164E7	3.0894247E7
2005-12-09T00:00:00Z	Mrs. Henderson Presents	2.0E7	1.1036366E7	2.7836366E7
1997-12-12T00:00:00Z	Deconstructing Harry	2.0E7	1.0686841E7	1.0686841E7
1999-10-22T00:00:00Z	Three to Tango	2.0E7	1.0570375E7	1.0570375E7
1989-12-15T00:00:00Z	We're No Angels	2.0E7	1.0555348E7	1.0555348E7
1996-12-06T00:00:00Z	Everyone Says I Love You	2.0E7	9725847.0	3.46E7
2007-08-31T00:00:00Z	Death Sentence	2.0E7	9534258.0	1.6907831E7
2016-06-03T00:00:00Z	Popstar: Never Stop Never Stopping	2.0E7	9496130.0	9537120.0
2017-10-27T00:00:00Z	Thank You for Your Service	2.0E7	9479390.0	9718331.0
2009-12-04T00:00:00Z	Everybody's Fine	2.0E7	9208876.0	9208876.0
2004-08-27T00:00:00Z	Superbabies: Baby Geniuses 2	2.0E7	9109322.0	9355369.0
2013-09-20T00:00:00Z	Battle of the Year	2.0E7	8888355.0	1.6723377E7
2016-04-29T00:00:00Z	Ratchet and Clank	2.0E7	8813410.0	1.181341E7
2007-08-17T00:00:00Z	Death at a Funeral	2.0E7	8580428.0	4.6790428E7
2005-09-09T00:00:00Z	The Man	2.0E7	8330720.0	1.0393696E7
2007-01-05T00:00:00Z	Code Name: The Cleaner	2.0E7	8135024.0	8135024.0
2014-12-12T00:00:00Z	Inherent Vice	2.0E7	8110975.0	1.4772346E7
2004-04-16T00:00:00Z	Connie & Carla	2.0E7	8047525.0	8047525.0
2013-10-11T00:00:00Z	Machete Kills	2.0E7	8008161.0	1.8273009E7
1969-01-01T00:00:00Z	Sweet Charity	2.0E7	8000000.0	8000000.0
2006-02-24T00:00:00Z	Doogal	2.0E7	7578946.0	2.8058652E7
2005-09-16T00:00:00Z	Proof	2.0E7	7535331.0	8284331.0
2008-10-03T00:00:00Z	An American Carol	2.0E7	7013191.0	7022183.0
2003-03-14T00:00:00Z	Willard	2.0E7	6882696.0	6882696.0
2008-02-01T00:00:00Z	Strange Wilderness	2.0E7	6575282.0	6947084.0
2015-04-24T00:00:00Z	Little Boy	2.0E7	6485961.0	1.7684355E7
1999-12-17T00:00:00Z	Topsy Turvy	2.0E7	6201757.0	6201757.0
2012-10-26T00:00:00Z	Chasing Mavericks	2.0E7	6002756.0	8300821.0
2014-12-31T00:00:00Z	A Most Violent Year	2.0E7	5749134.0	6071433.0
2011-11-23T00:00:00Z	A Dangerous Method	2.0E7	5702083.0	1.4807531E7
2006-07-07T00:00:00Z	A Scanner Darkly	2.0E7	5501616.0	7405084.0
2009-08-14T00:00:00Z	Bandslam	2.0E7	5210988.0	1.2967829E7
2005-01-28T00:00:00Z	Alone in the Dark	2.0E7	5178569.0	8178569.0
2004-10-29T00:00:00Z	Birth	2.0E7	5005899.0	1.4603001E7
2016-08-26T00:00:00Z	Hands of Stone	2.0E7	4712792.0	5032013.0
2008-10-24T00:00:00Z	Passchendaele	2.0E7	4452423.0	4453327.0
2008-10-03T00:00:00Z	Flash of Genius	2.0E7	4442377.0	4504111.0
2007-11-21T00:00:00Z	I’m Not There	2.0E7	4017609.0	1.2397613E7
2012-09-07T00:00:00Z	The Cold Light of Day	2.0E7	3763583.0	2.5361206E7
2009-05-15T00:00:00Z	The Brothers Bloom	2.0E7	3531756.0	5531756.0
2008-10-24T00:00:00Z	Synecdoche, New York	2.0E7	3083538.0	4383538.0
1999-10-29T00:00:00Z	Mononoke-hime	2.0E7	2374107.0	1.5035E8
2004-03-19T00:00:00Z	Bon Voyage	2.0E7	2353728.0	8361736.0
2015-11-13T00:00:00Z	My All-American	2.0E7	2246000.0	2246000.0
1980-06-20T00:00:00Z	Can't Stop the Music	2.0E7	2000000.0	2000000.0
2006-05-05T00:00:00Z	The Proposition	2.0E7	1903434.0	5313608.0
2003-08-22T00:00:00Z	Marci X	2.0E7	1646664.0	1646664.0
2002-12-06T00:00:00Z	Equilibrium	2.0E7	1190018.0	5345869.0
2011-04-29T00:00:00Z	Dylan Dog: Dead of Night	2.0E7	1186538.0	6093725.0
2012-08-29T00:00:00Z	The Oogieloves in the BIG Balloon Adventure	2.0E7	1065907.0	1065907.0
2008-05-23T00:00:00Z	The Children of Huang Shi	2.0E7	1031872.0	8221700.0
2000-10-20T00:00:00Z	The Yards	2.0E7	882710.0	2282710.0
2010-08-06T00:00:00Z	Middle Men	2.0E7	754301.0	754301.0
2017-04-28T00:00:00Z	Jìyì dàshī	2.0E7	587470.0	4.3326383E7
2010-12-03T00:00:00Z	All Good Things	2.0E7	582024.0	873617.0
2015-11-13T00:00:00Z	By the Sea	2.0E7	538460.0	3727746.0
2005-03-18T00:00:00Z	Steamboy	2.0E7	468867.0	1.0468867E7
2005-04-22T00:00:00Z	The Game of Their Lives	2.0E7	375474.0	375474.0
1994-09-11T00:00:00Z	Rapa Nui	2.0E7	305070.0	305070.0
2010-12-10T00:00:00Z	The Tempest	2.0E7	277943.0	277943.0
2008-03-07T00:00:00Z	長江七號 (CJ7)	2.0E7	206678.0	4.7300771E7
2009-09-18T00:00:00Z	The Burning Plain	2.0E7	200730.0	1167092.0
1998-03-27T00:00:00Z	Les Couloirs du temps: Les visiteurs 2	2.0E7	146072.0	2.6146072E7
2003-04-25T00:00:00Z	People I Know	2.0E7	121972.0	5694213.0
2015-10-30T00:00:00Z	Regression	2.0E7	55039.0	1.4883495E7
2008-12-31T00:00:00Z	Koltchak	2.0E7	0.0	3.8585047E7
2012-12-31T00:00:00Z	Zambezia	2.0E7	0.0	3.4454631E7
2010-04-13T00:00:00Z	Three Kingdoms: Resurrection of the Dragon	2.0E7	0.0	2.213959E7
2004-03-31T00:00:00Z	The Touch	2.0E7	0.0	5918742.0
2015-05-29T00:00:00Z	Survivor	2.0E7	0.0	774905.0
2016-11-18T00:00:00Z	The History of Love	2.0E7	0.0	93690.0
2007-12-25T00:00:00Z	Butterfly on a Wheel	2.0E7	0.0	0.0
2007-12-31T00:00:00Z	Ramanujan	2.0E7	0.0	0.0
2020-12-31T00:00:00Z	The Story of Bonnie and Clyde	2.0E7	0.0	0.0
2014-08-29T00:00:00Z	Dwegons and Leprechauns	2.0E7	0.0	0.0
2016-07-22T00:00:00Z	Fight Valley	2.0E7	0.0	0.0
2017-12-31T00:00:00Z	The Thousand Miles	2.0E7	0.0	0.0
2009-08-21T00:00:00Z	Der Baader Meinhof Komplex	1.97E7	476270.0	1.6498827E7
2017-12-01T00:00:00Z	The Shape of Water	1.95E7	6.3403995E7	1.85693995E8
2012-11-23T00:00:00Z	De rouille et d’os	1.95E7	2061449.0	2.9393634E7
2006-12-20T00:00:00Z	The Painted Veil	1.94E7	8060487.0	1.5118795E7
2013-08-23T00:00:00Z	The Frozen Ground	1.92E7	0.0	5617460.0
2011-07-29T00:00:00Z	The Devil's Double	1.91E7	1361512.0	2406666.0
1985-07-03T00:00:00Z	Back to the Future	1.9E7	2.12259762E8	3.85524862E8
1990-11-09T00:00:00Z	Dances with Wolves	1.9E7	1.84208842E8	4.242E8
2000-07-07T00:00:00Z	Scary Movie	1.9E7	1.57019771E8	2.772E8
2011-06-24T00:00:00Z	Bad Teacher	1.9E7	1.00292856E8	2.15448997E8
2016-08-12T00:00:00Z	Sausage Party	1.9E7	9.7670358E7	1.41354394E8
1989-09-15T00:00:00Z	Sea of Love	1.9E7	5.8571513E7	5.8571513E7
2003-01-10T00:00:00Z	Just Married	1.9E7	5.6127162E7	1.01564935E8
2009-09-11T00:00:00Z	I Can Do Bad All By Myself	1.9E7	5.1733921E7	5.1733921E7
2004-07-16T00:00:00Z	A Cinderella Story	1.9E7	5.1438175E7	7.0164105E7
1980-05-23T00:00:00Z	The Shining	1.9E7	4.4017374E7	4.4728227E7
2001-10-26T00:00:00Z	Thirteen Ghosts	1.9E7	4.186796E7	6.846796E7
1999-10-29T00:00:00Z	House on Haunted Hill	1.9E7	4.0846082E7	6.5090541E7
2010-02-26T00:00:00Z	The Crazies	1.9E7	3.9123589E7	5.6445534E7
2009-01-16T00:00:00Z	Notorious	1.9E7	3.6843682E7	4.5005151E7
2010-08-20T00:00:00Z	The Switch	1.9E7	2.7758465E7	4.9858465E7
2010-01-08T00:00:00Z	Leap Year	1.9E7	2.591892E7	3.261892E7
2013-11-08T00:00:00Z	The Book Thief	1.9E7	2.1488481E7	7.6086711E7
2007-10-19T00:00:00Z	Gone, Baby, Gone	1.9E7	2.0300218E7	3.4352162E7
2000-07-26T00:00:00Z	Thomas and the Magic Railroad	1.9E7	1.5911332E7	1.5911332E7
1962-11-08T00:00:00Z	Mutiny on The Bounty	1.9E7	1.368E7	1.368E7
2002-09-20T00:00:00Z	Sen to Chihiro no Kamikakushi	1.9E7	1.0049886E7	2.74949886E8
2008-10-17T00:00:00Z	Sex Drive	1.9E7	8402485.0	1.0412485E7
1998-01-09T00:00:00Z	Firestorm	1.9E7	8123860.0	8123860.0
2011-03-04T00:00:00Z	Take Me Home Tonight	1.9E7	6928068.0	7576604.0
2012-09-28T00:00:00Z	Won't Back Down	1.9E7	5310554.0	5745503.0
1964-01-01T00:00:00Z	The Fall of the Roman Empire	1.9E7	4750000.0	4750000.0
1993-11-24T00:00:00Z	The Nutcracker	1.9E7	2119994.0	2119994.0
1996-08-16T00:00:00Z	Kansas City	1.9E7	1353824.0	1353824.0
2013-12-31T00:00:00Z	Out of Inferno	1.9E7	0.0	0.0
2005-06-24T00:00:00Z	George A. Romero's Land of the Dead	1.8975E7	2.0700082E7	4.7751015E7
2006-12-15T00:00:00Z	Indigènes	1.89E7	320700.0	2.6063572E7
2005-04-15T00:00:00Z	The Amityville Horror	1.85E7	6.5233369E7	1.09175673E8
2002-12-06T00:00:00Z	Adaptation	1.85E7	2.249852E7	3.2531759E7
2009-10-02T00:00:00Z	The Invention of Lying	1.85E7	1.8451251E7	3.2679264E7
1998-05-22T00:00:00Z	Fear and Loathing in Las Vegas	1.85E7	1.0680275E7	1.3711903E7
2008-07-04T00:00:00Z	Ne le dis à personne	1.85E7	6198883.0	3.3954018E7
2001-02-02T00:00:00Z	Left Behind	1.85E7	4221341.0	4221341.0
2014-05-09T00:00:00Z	Neighbors	1.8E7	1.500868E8	2.70944428E8
2006-11-03T00:00:00Z	Borat	1.8E7	1.28505958E8	2.61443242E8
1994-07-29T00:00:00Z	The Mask	1.8E7	1.19920129E8	3.51620129E8
1988-06-03T00:00:00Z	Big	1.8E7	1.14968774E8	1.51668774E8
2001-07-13T00:00:00Z	Legally Blonde	1.8E7	9.6493426E7	1.41809235E8
2004-04-30T00:00:00Z	Mean Girls	1.8E7	8.6047227E7	1.30953026E8
1984-06-01T00:00:00Z	Star Trek III: The Search for Spock	1.8E7	7.6471046E7	8.7E7
2005-09-09T00:00:00Z	The Exorcism of Emily Rose	1.8E7	7.5072454E7	1.44529078E8
1999-12-10T00:00:00Z	Deuce Bigalow: Male Gigolo	1.8E7	6.5535067E7	9.2935067E7
2004-02-06T00:00:00Z	Barbershop 2: Back in Business	1.8E7	6.5070412E7	6.5842412E7
2005-12-16T00:00:00Z	The Family Stone	1.8E7	6.0062868E7	9.2357499E7
2003-11-26T00:00:00Z	Bad Santa	1.8E7	6.0060328E7	7.7147031E7
1987-06-12T00:00:00Z	Predator	1.8E7	5.9735548E7	9.8267558E7
2016-03-25T00:00:00Z	My Big Fat Greek Wedding 2	1.8E7	5.9689605E7	9.1651878E7
2015-09-11T00:00:00Z	The Perfect Guy	1.8E7	5.7027435E7	6.0274336E7
1997-05-02T00:00:00Z	Austin Powers: International Man of Mystery	1.8E7	5.3883989E7	6.7683989E7
2011-03-25T00:00:00Z	Diary of a Wimpy Kid: Rodrick Rules	1.8E7	5.2698535E7	7.3695194E7
1984-09-19T00:00:00Z	Amadeus	1.8E7	5.1973029E7	5.1973029E7
2008-04-11T00:00:00Z	Prom Night	1.8E7	4.386935E7	5.7193655E7
2011-04-08T00:00:00Z	Soul Surfer	1.8E7	4.3853424E7	4.7158652E7
2003-09-26T00:00:00Z	Under the Tuscan Sun	1.8E7	4.3601508E7	5.7490024E7
2014-10-17T00:00:00Z	Birdman or (The Unexpected Virtue of Ignorance)	1.8E7	4.2340598E7	1.03215094E8
1986-10-10T00:00:00Z	Peggy Sue Got Married	1.8E7	4.1382841E7	4.1382841E7
2001-12-26T00:00:00Z	Gosford Park	1.8E7	4.1300105E7	4.1300105E7
2002-01-11T00:00:00Z	Orange County	1.8E7	4.1059716E7	4.3308707E7
2013-07-26T00:00:00Z	Blue Jasmine	1.8E7	3.3404871E7	1.02912961E8
2006-04-28T00:00:00Z	United 93	1.8E7	3.1567134E7	7.7635035E7
