common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
Zack and Miri Make a Porno,56900,0,2,60,7
(500) Days of Summer,97194,0,8,178,3
12 Rounds,996223,0,246,833,61
17 Again,1015180,0,114,1980,102
2012,1922449,0,1816,2497,430
9,1676538,0,2095,7257,318
Adam,1611084,0,1143,3959,95
Adventureland,603627,0,66,906,37
After.Life,5488792,0,1834,4587,477
Aliens in the Attic,1237994,0,361,1414,146
All About Steve,975503,0,341,802,83
Alvin and the Chipmunks: The Squeakquel,2559895,0,149,2438,317
Amelia,1509201,0,441,1661,129
American Violet,165812,0,64,241,6
Angels & Demons,1742713,0,75,2174,660
Armored,276784,0,85,284,30
Assassination of a High School President,92620,0,2,28,7
Astro Boy,64483,0,30,92,12
Avatar,138214,0,98,231,28
Away We Go,118626,0,31,200,13
The Bad Lieutenant: Port of Call New Orleans,55535,0,2,20,6
Battle for Terra,8007,0,0,,
Beyond a Reasonable Doubt,288620,0,37,251,16
The Blind Side,270776,0,70,533,24
The Boondock Saints II: All Saints Day,422713,0,149,586,20
The Box,526693,0,230,1124,81
Bride Wars,514706,0,55,859,32
Brothers,440090,0,607,646,30
The Brothers Bloom,11155,0,0,8,0
Brüno,194833,0,86,299,41
C Me Dance,50458,0,8,66,185
Carriers,2177265,0,718,3439,155
The Chaos Experiment,3589,0,0,3,1
A Christmas Carol,3389137,0,822,5342,330
Cirque du Freak: The Vampire's Assistant,1392560,0,2170,2790,261
Cloudy with a Chance of Meatballs,196884,0,29,132,8
Cold Souls,6173,0,2,9,3
The Collector,2212438,0,840,2382,160
Confessions of a Shopaholic,777473,0,3,930,48
Coraline,3002686,0,1716,6422,882
Couples Retreat,1621978,0,48,3948,132
The Cove,3110466,0,8180,8386,877
Crank: High Voltage,10209,0,3,13,0
Crazy Heart,2456646,0,563,2597,140
The Cross,33554,0,23,208,11
Dance Flick,7478,0,0,19,0
Did You Hear About the Morgans?,257052,0,40,241,24
District 9,51155,0,0,19,3
Drag Me to Hell,138026,0,20,280,24
Dragonball Evolution,521745,0,666,,
Duplicity,5742,0,0,1,0
Echelon Conspiracy,38257,0,2,35,5
Everybody's Fine,18939,0,2,110,6
Extract,48463,0,9,27,6
Fame,134839,0,46,159,6
Fantastic Mr. Fox,5507239,0,2893,12782,738
Fast & Furious,69273028,0,23472,326800,9964
Fighting,3251520,0,265,8526,285
The Final Destination,28803,0,7,41,7
Fired Up!,675876,0,81,555,68
"Food, Inc.",145715,0,96,309,22
Friday the 13th,595891,0,227,1119,95
Funny People,120238,0,10,67,2
G-Force,349981,0,35,170,25
G.I. Joe: The Rise of Cobra,62341,0,,,
Gallowwalker,279809,0,141,233,31
Gamer,2270294,0,922,3659,213
Gentlemen Broncos,1286313,0,694,2935,206
Ghosts of Girlfriends Past,1070006,0,159,1334,62
Gigantic,286512,0,78,414,27
The Girlfriend Experience,452323,0,59,228,47
"The Goods: Live Hard, Sell Hard",16650,0,5,8,1
The Grudge 3,1408045,0,456,875,125
Halloween II,96311,0,139,233,16
The Hangover,601647,0,,425,32
Hannah Montana: The Movie,344762,0,157,712,75
Harry Potter and the Half-Blood Prince,1785444,0,,6201,167
The Haunting in Connecticut,4184038,0,3210,5858,380
He's Just Not That Into You,268231,0,16,280,16
Homecoming,447549,0,,477,70
Horsemen,363393,0,100,209,26
Hotel for Dogs,30780,0,4,73,5
Humpday,6550,0,2,7,2
I Hate Valentine's Day,21732,0,0,17,2
I Hope They Serve Beer in Hell,2156750,0,1005,1576,1026
The Hurt Locker,190422,0,,,
"I Love You, Beth Cooper",3243255,0,269,5885,299
"I Love You, Man",1912641,0,,,
Ice Age: Dawn of the Dinosaurs,1220298,0,119,908,114
Imagine That,1174280,0,163,1023,59
The Imaginarium of Doctor Parnassus,26981,0,,42,1
The Informers,294201,0,47,114,18
Inglourious Basterds,322051,0,102,767,36
The International,720311,0,124,361,53
Invictus,7061,0,0,1,2
An Invisible Sign,506348,0,152,941,57
The Invention of Lying,55092,0,3,235,10
It Might Get Loud,192435,0,101,536,8
It's Complicated,1197082,0,91,1234,62
Jennifer's Body,4850283,0,2060,5729,543
Julie & Julia,1559946,0,281,4050,112
Knowing,162098,0,,,
Laid to Rest,610001,0,238,643,83
Land of the Lost,1571510,0,487,1947,202
The Last House on the Left,5327,0,0,14,2
Law Abiding Citizen,443578,0,60,717,31
Life During Wartime,66983,0,21,107,8
Love Happens,407484,0,49,255,27
The Lovely Bones,2540604,0,2107,11380,258
Lymelife,37991,0,4,34,3
Madea Goes to Jail,522211,0,74,1918,120
The Maiden Heist,78222,0,6,41,4
Management,1920,0,0,0,0
Me and Orson Welles,64471,0,22,147,5
The Merry Gentleman,115019,0,30,103,10
Michael Jackson's This Is It,2095163,0,1293,9362,217
Miss March,91215,0,10,68,8
Monsters vs. Aliens,55480,0,0,53,11
Motherhood,84349,0,10,102,10
My Bloody Valentine 3D,274134,0,184,574,28
My Life in Ruins,1930756,0,541,2121,200
My Sister's Keeper,28943,0,4,55,6
My One and Only,186970,0,47,196,31
New in Town,410418,0,,,
New Moon,963026,0,186,693,75
"New York, I Love You",389980,0,172,377,66
Night at the Museum: Battle of the Smithsonian,268631,0,83,295,14
Nine,235869,0,33,511,41
Ninja Assassin,3589333,0,1003,5234,281
Notorious,312,0,0,0,0
Observe and Report,,0,3,82,16
Old Dogs,2002212,0,510,2392,280
Orphan,4290985,0,3169,,
Pandorum,505267,0,,,
Paper Heart,369905,0,265,751,36
Paul Blart: Mall Cop,310045,0,162,270,203
A Perfect Getaway,172625,0,36,85,9
The Pink Panther 2,507237,0,177,590,55
Planet 51,569577,0,196,868,96
Post Grad,236835,0,75,178,21
Powder Blue,730709,0,72,371,41
Precious,690966,0,438,471,56
The Princess and the Frog,7913274,0,82,6212,1865
The Private Lives of Pippa Lee,677916,0,110,336,28
The Proposal,2565270,0,26,4657,130
Public Enemies,3759559,0,1551,5756,244
Push,1562231,0,284,5260,133
Race to Witch Mountain,1100024,0,204,1641,74
The Road,147703,0,40,100,9
Saw VI,620880,0,480,811,90
A Serious Man,231923,0,68,829,35
Sherlock Holmes,268068,0,138,328,20
Shorts,304676,0,339,722,112
A Single Man,119243,0,3,249,9
Sorority Row,167816,0,43,656,19
Spread,212185,0,9,245,29
Star Trek,630650,0,,,
State of Play,91031,0,14,40,7
The Stepfather,567620,0,257,604,64
Street Fighter: The Legend of Chun-Li,915399,0,602,505,269
Surrogates,281219,0,112,298,12
The Taking of Pelham 123,67496,0,48,118,8
Taking Woodstock,767354,0,256,1676,45
Tekken,4992094,0,7140,3904,2006
Tennessee,33245,0,11,106,4
Terminator Salvation,84858,0,39,105,10
Tetro,575902,0,164,820,36
The Time Traveler's Wife,2433719,0,423,11480,197
Trick 'r Treat,1329317,0,378,3304,149
True Adolescents,7031,0,0,,
Tyson,168687,0,63,154,5
The Ugly Truth,3573957,0,383,5721,235
The Unborn,5035658,0,2699,5280,473
Underworld: Rise of the Lycans,80865,0,0,64,5
The Uninvited,101207,0,19,100,9
Up,1102837,0,55,1587,158
Up in the Air,1266418,0,142,1598,62
Watchmen,49680,0,4,52,6
We Live in Public,412839,0,143,766,56
What Goes Up,422539,0,80,311,34
Whatever Works,5592,0,1,4,1
Where the Wild Things Are,602527,0,354,1976,78
Whiteout,88270,0,8,101,11
Whip It,4439640,0,1684,12575,771
World's Greatest Dad,136957,0,47,250,23
X-Men Origins: Wolverine,123244,0,6,82,6
Year One,808815,0,305,1208,92
Zombieland,2569380,0,669,5479,296
127 Hours,1989977,0,874,2336,102
The A-Team,,0,1,24,4
A Little Help,318848,0,89,335,25
Adventures of Power,118751,0,17,158,80
Alice in Wonderland,1797119,0,615,2468,130
Alpha and Omega,5851,0,0,10,0
The American,194877,0,10,179,23
The Back-up Plan,881772,0,70,1463,60
Barry Munday,2384,0,2,3,1
BearCity,527448,0,44,471,108
Big Money Rustlas,77684,0,145,340,56
Black Swan,26824307,0,14372,45617,2250
Blue Valentine,5077496,0,1308,10283,356
The Book of Eli,46690,0,0,25,0
The Bounty Hunter,1130646,0,48,1344,68
Brooklyn's Finest,2117851,0,924,2030,94
Buried,23815,0,8,17,5
Burlesque,2697296,0,1034,7005,197
Case 39,19069,0,1,8,3
Casino Jack,106985,0,20,39,4
Casino Jack and the United States of Money,35604,0,15,80,2
Cats & Dogs: The Revenge of Kitty Galore,487238,0,92,997,102
Charlie St. Cloud,9309013,0,4357,34386,856
The Chronicles of Narnia: The Voyage of the Dawn Treader,3696430,0,5295,8514,252
City Island,172209,0,28,260,12
Clash of the Titans,122641,0,19,298,25
Client 9: The Rise and Fall of Eliot Spitzer,13888,0,2,30,2
The Company Men,617086,0,178,518,58
Conviction,2188638,0,837,3354,87
Cop Out,650093,0,87,1553,86
Country Strong,893995,0,229,1369,70
The Crazies,257357,0,84,333,21
Crazy on the Outside,379092,0,27,164,19
Cyrus,4630,0,0,4,0
Date Night,4418212,0,920,3904,177
Daybreakers,434719,0,52,371,20
Dead Awake,461418,0,135,610,61
Dear John,9961158,0,4339,23430,682
Death at a Funeral,1518745,0,709,1309,100
Despicable Me,5298492,0,986,6247,500
Devil,381569,0,361,273,39
Diary of a Wimpy Kid,981081,0,508,2456,132
Dinner for Schmucks,2722461,0,1057,4014,265
Dirty Girl,11973,0,0,5,0
Due Date,146221,0,28,145,6
Easy A,8235461,0,3033,17126,528
Eat Pray Love,4927615,0,1360,7415,467
The Twilight Saga: Eclipse,4208453,0,1985,8353,295
Edge of Darkness,409312,0,31,164,13
The Expendables,19520023,0,16740,35015,1279
The Extra Man,1122,0,0,6,1
Fair Game,1290738,0,393,981,95
Faster,6947044,0,1500,6072,335
The Fighter,382762,0,70,737,22
Flipped,14796,0,2,14,1
For Colored Girls,783600,0,1849,1615,172
Freakonomics,8717,0,1,7,0
From Paris with Love,481460,0,102,345,32
Frozen,34187001,0,7442,54065,8634
Furry Vengeance,91056,0,57,259,54
Game of Death,1300979,0,,473,118
Get Him to the Greek,313276,0,239,712,71
Get Low,59250,0,6,62,3
Going the Distance,71831,0,4,61,5
The Good Guy,1174046,0,99,1883,146
The Greatest,15991996,0,4746,85512,2388
Green Zone,1035823,0,283,973,93
Greenberg,177098,0,41,251,16
Grown Ups,37238,0,0,29,2
Gulliver's Travels,548935,0,176,838,96
Happy Tears,239754,0,25,172,34
Hachiko: A Dog's Story,2225524,0,1988,8001,157
Harry Potter and the Deathly Hallows: Part 1,3681412,0,3519,13803,300
Hereafter,1480933,0,406,1572,111
Hot Tub Time Machine,27475,0,0,23,4
How Do You Know,2062734,0,81,5603,168
How to Train Your Dragon,165033,0,42,131,12
Hubble 3D,820030,0,126,514,50
Hyenas,581134,0,188,192,188
I Love You Phillip Morris,1148563,0,736,2932,296
I'm Still Here,1263190,0,562,1302,122
Inception,1952743,0,461,1577,53
Iron Man 2,617914,0,164,2100,105
It's Kind of a Funny Story,8327359,0,3830,22759,505
Jack Goes Boating,98487,0,21,134,20
Jonah Hex,37359,0,5,26,5
The Joneses,1449284,0,267,1348,102
Just Wright,3008266,0,878,8045,235
Kaboom,13682,0,0,18,5
The Karate Kid,505204,0,322,696,40
Kick-Ass,78286,0,3,94,6
Killers,1043462,0,129,578,106
Knight and Day,2728100,0,587,5553,165
Knucklehead,22033,0,,45,12
The Last Airbender,8366132,0,9605,10279,2796
The Last Exorcism,80328,0,38,59,6
The Last Song,4408878,0,118,12188,715
Leap Year,31316,0,10,29,3
Legend of the Guardians: The Owls of Ga'Hoole,236004,0,56,262,11
Legion,1584690,0,2413,2628,391
Letters to God,849001,0,365,2009,100
Letters to Juliet,54268,0,11,50,2
Life as We Know It,40746,0,2,52,2
Like Dandelion Dust,3030,0,0,3,0
Little Fockers,508582,0,184,562,41
The Losers,207841,0,25,513,20
Lottery Ticket,2955725,0,1957,4820,372
Love Ranch,29549,0,6,59,2
MacGruber,349927,0,68,198,40
Machete,117989,0,145,329,15
Marmaduke,123276,0,83,250,112
Marwencol,160333,0,49,525,10
Megamind,1020098,0,306,1313,74
Middle Men,1808043,0,326,1273,105
Morning Glory,5801669,0,1408,6710,287
My Soul to Take,249923,0,175,374,29
Nanny McPhee Returns,97347,0,12,58,7
Never Let Me Go,14101439,0,5114,37869,985
The Next Three Days,4274049,0,1194,4954,226
A Nightmare on Elm Street,2825996,0,1827,3950,222
The Other Guys,6990091,0,2466,10007,359
Our Family Wedding,1938689,0,905,2967,168
Paranormal Activity 2,18634384,0,7234,11263,1795
Passion Play,856819,0,305,856,275
Percy Jackson & the Olympians: The Lightning Thief,5834456,0,6627,11877,837
The Perfect Game,35801,0,49,96,3
Piranha 3-D,869782,0,105,604,107
Please Give,503002,0,39,214,23
Predators,21769,0,5,24,1
Prince of Persia: The Sands of Time,4721940,0,1482,6592,377
Rabbit Hole,,0,375,1100,191
Ramona and Beezus,1323996,0,316,2866,120
The Rebound,5706291,0,838,4452,239
Red,625232,0,34,906,53
Repo Men,4067662,0,2046,3563,728
Resident Evil: Afterlife,20927708,0,20303,30308,3304
Robin Hood,2318214,0,1004,2562,169
The Romantics,595940,0,128,308,55
The Runaways,2019502,0,1350,3389,167
Salt,6736523,0,2742,6987,461
Saw VII,726092,0,231,600,72
Scott Pilgrim vs. the World,2139017,0,2020,13759,320
Secretariat,1652859,0,322,2392,100
Sex and the City 2,335811,0,26,166,21
She's Out of My League,3398406,0,864,3492,191
Shrek Forever After,214314,0,25,225,26
Shutter Island,119520,0,8,232,5
Skyline,4174201,0,3009,5025,1056
Small Town Saturday Night,34044,0,0,41,3
The Social Network,10499260,0,8695,24466,1253
Solitary Man,190362,0,39,118,20
Somewhere,716585,0,280,1212,45
The Sorcerer's Apprentice,2476716,0,268,3435,226
Splice,91859,0,10,179,18
The Spy Next Door,416749,0,50,354,32
Step Up 3D,8028060,0,1578,17580,512
Stone,192341,0,70,284,20
The Switch,6770711,0,1022,6849,318
Takers,81011,0,8,72,5
Tangled,1294015,0,132,1898,84
Tooth Fairy,2614868,0,818,3267,525
The Town,3266366,0,504,7739,339
The Tourist,5131271,0,1912,6748,481
Toy Story 3,10246456,0,2912,8134,1080
Tron: Legacy,11879271,0,4762,22345,988
True Grit,35013,0,2,11,0
Twelve,8844,0,0,7,2
Unstoppable,6224419,0,2854,7996,478
Valentine's Day,11557,0,1,7,0
Vampires Suck,825535,0,451,2056,215
Waiting for Superman,716334,0,739,1147,67
Wall Street: Money Never Sleeps,17590,0,8,15,0
Welcome to the Rileys,1617713,0,805,5335,133
What If...,184254,0,139,1396,37
What's Wrong with Virginia,182300,0,14,229,25
When in Rome,4791429,0,162,9048,636
Why Did I Get Married Too?,142687,0,68,303,43
Winter's Bone,2122677,0,551,2068,98
The Wolfman,46972,0,3,32,4
Yogi Bear,419165,0,993,550,1111
You Again,10486649,0,225,19389,603
Youth in Revolt,180966,0,17,265,14
11-11-11,50876,0,43,36,5
30 Minutes or Less,464575,0,429,1201,51
35 and Ticking,374992,0,72,345,39
50/50,318353,0,31,588,18
Abduction,6215404,0,1785,8791,774
The Adjustment Bureau,1030021,0,260,2066,75
The Adventures of Tintin: The Secret of the Unicorn,2489535,0,1076,3358,248
Alvin and the Chipmunks: Chipwrecked,1458177,0,195,1349,413
Another Earth,3179154,0,1395,5759,407
Apollo 18,2305240,0,1995,3137,396
The Art of Getting By,6052524,0,3446,24050,354
Arthur,4241078,0,2063,6490,603
Arthur Christmas,3202169,0,620,3448,221
Atlas Shrugged: Part I,3339587,0,,,
Bad Teacher,536803,0,,1317,111
Battle: Los Angeles,1338364,0,785,2530,139
Beastly,11219122,0,11014,39261,1612
The Beaver,1577395,0,1727,2104,680
Beginners,2456298,0,616,6084,225
"Big Mommas: Like Father, Like Son",2775803,0,816,3267,348
The Big Year,2132556,0,648,1836,192
The Twilight Saga: Breaking Dawn - Part 1,8722771,0,3991,21960,1305
Bridesmaids,3402588,0,551,3829,324
Bucky Larson: Born to Be a Star,807561,0,1227,1245,1976
Captain America: The First Avenger,2073140,0,1330,4431,136
Carnage,633961,0,247,675,107
Cars 2,9783471,0,400,4723,1714
Cedar Rapids,1249726,0,386,923,88
The Change-Up,358008,0,40,941,36
The Chaperone,100635,0,30,99,17
Colombiana,135298,0,97,231,47
Conan the Barbarian,673297,0,1183,1033,1775
The Conspirator,12728,0,9,23,2
Contagion,8337784,0,5559,10924,1041
Courageous,2876472,0,1961,7075,417
Cowboys & Aliens,582668,0,137,502,15
"Crazy, Stupid, Love.",194866,0,28,151,14
The Darkest Hour,555275,0,226,1193,140
The Debt,13175,0,0,2,4
The Descendants,4596764,0,1110,4838,334
The Devil's Double,1487098,0,639,2292,121
Diary of a Wimpy Kid: Rodrick Rules,5207064,0,2310,9328,569
The Dilemma,102653,0,2,53,5
Dirty Girl,11973,0,0,5,0
Dolphin Tale,439650,0,197,1001,56
Don't Be Afraid of the Dark,112783,0,44,89,14
The Double,2780410,0,1083,9718,298
Dream House,704437,0,151,764,67
Drive,4319324,0,1596,10052,504
Drive Angry,317171,0,153,356,103
Dylan Dog: Dead of Night,125613,0,89,307,57
The Eagle,5070808,0,2603,4700,553
Everything Must Go,291068,0,59,335,34
Extremely Loud and Incredibly Close,367632,0,103,985,42
Fast Five,3816031,0,2246,5762,165
Father of Invention,293928,0,181,715,44
Final Destination 5,890849,0,873,1505,258
Footloose,83971,0,,,
Friends with Benefits,1683058,0,46,,
Fright Night,4028677,0,3802,6273,602
From Prada to Nada,19467,0,3,17,1
The Future,1043621,0,298,2578,83
The Girl with the Dragon Tattoo,454923,0,310,1016,70
Glee: The 3D Concert Movie,3606940,0,1710,6891,685
Gnomeo and Juliet,267864,0,58,266,45
A Good Old Fashioned Orgy,132438,0,18,53,36
The Green Hornet,2351898,0,1486,2848,266
Green Lantern,31059,0,0,17,4
Hall Pass,1706753,0,228,1728,133
The Hangover: Part II,4561170,0,2244,6161,323
Hanna,29329,0,4,17,1
Happy Feet Two,8247515,0,1616,7207,930
Happythankyoumoreplease,286904,0,171,742,53
Harry Potter and the Deathly Hallows: Part 2,12142262,0,27576,65012,1310
The Heart Specialist,217718,0,54,171,20
The Help,819630,0,405,2330,74
Higher Ground,12790,0,0,5,8
Hoodwinked Too! Hood vs. Evil,261853,0,285,509,132
Hop,291198,0,31,227,21
Horrible Bosses,1268139,0,236,2252,85
Hugo,164313,0,57,330,23
I Am Number Four,52833,0,3,30,5
I Don't Know How She Does It,504742,0,49,467,46
The Ides of March,2283543,0,367,2397,146
Immortals,108618,0,44,280,32
In Time,5570193,0,8323,46936,6771
Inside Out,7099877,0,1108,16565,1436
Insidious,17844867,0,14087,23233,1566
J. Edgar,1065613,0,716,1397,73
Jack and Jill,837416,0,1993,1956,5750
Judy Moody and the Not Bummer Summer,852686,0,643,1974,378
Jumping the Broom,4360404,0,894,4594,491
Just Go with It,8945949,0,2480,10253,544
Justin Bieber: Never Say Never,15839866,0,15596,42697,31377
Kill the Irishman,1769645,0,1086,2246,111
Killer Elite,3889401,0,1404,3968,193
Kung Fu Panda 2,994218,0,345,1329,86
Larry Crowne,168744,0,23,163,14
Life in a Day,1711990,0,866,8837,125
Limitless,4211769,0,2246,8572,172
The Lincoln Lawyer,2789114,0,588,2230,127
Lucky,533715,0,137,1556,79
Machine Gun Preacher,58491,0,8,63,1
Madea's Big Happy Family,533748,0,253,1191,65
Margaret,288622,0,121,401,49
Margin Call,1957556,0,678,2288,107
Mars Needs Moms,158315,0,92,206,72
Martha Marcy May Marlene,1229303,0,346,2136,89
The Mechanic,8780330,0,1962,8100,396
Midnight in Paris,756384,0,185,1695,65
Mission: Impossible – Ghost Protocol,405403,0,27,419,38
Moneyball,4834384,0,1931,5095,298
Monte Carlo,12707201,0,5877,35504,1906
Mr. Popper's Penguins,3562168,0,1335,3881,446
The Muppets,2324613,0,759,5257,453
New Year's Eve,20971,0,0,11,1
No Strings Attached,694570,0,,,
One Day,6665138,0,1089,24552,509
Paranormal Activity 3,14025,0,1,8,2
Paul,1197976,0,329,1614,62
Pearl Jam Twenty,463916,0,324,2209,21
The Perfect Host,589508,0,380,1106,114
Pirates of the Caribbean: On Stranger Tides,6513316,0,4756,18044,486
Priest,1180566,0,545,1401,124
Prom,1329709,0,1648,3330,260
Puncture,27881,0,1,7,1
Puss in Boots,6074150,0,623,7613,664
Rango,10594320,0,2318,12652,904
Real Steel,44047,0,3,31,2
Red Riding Hood,10921268,0,9133,16837,3524
Red State,2018490,0,2000,3278,375
Restless,382823,0,78,891,30
The Reunion,908914,0,168,504,226
Rio,3326756,0,332,3034,563
Rise of the Planet of the Apes,10506424,0,4555,8151,762
The Rite,2997532,0,1461,3002,243
The Roommate,953853,0,406,1827,160
The Rum Diary,1131741,0,194,2038,105
Sanctum,24671,0,0,9,2
Scream 4,285416,0,124,345,29
Seance: The Summoning,414206,0,136,286,166
Season of the Witch,75186,0,26,128,7
Seven Days in Utopia,135210,0,38,184,15
Shark Night 3D,1207510,0,1508,1253,683
Sherlock Holmes: A Game of Shadows,2374225,0,990,6275,142
The Sitter,863971,0,357,1213,94
Skateland,371523,0,147,575,74
The Smurfs,3021476,0,987,3473,1186
Snow Flower and the Secret Fan,491800,0,200,981,43
Something Borrowed,1457280,0,230,3911,101
The Son of No One,250774,0,29,302,24
Soul Surfer,6390691,0,2186,7808,296
Source Code,7929535,0,4914,13702,374
Spy Kids: All the Time in the World,806154,0,734,1452,357
Straw Dogs,507838,0,,225,43
Sucker Punch,2391907,0,1678,4637,340
Super,154374,0,78,447,27
Super 8,376679,0,92,795,34
Take Me Home Tonight,4336714,0,1633,7238,283
Take Shelter,2026084,0,1065,3663,140
Texas Killing Fields,901830,0,284,838,47
The Thing,585469,0,,1581,40
Thor,5589407,0,3116,9084,391
The Three Musketeers,525648,0,138,732,68
Tower Heist,5304309,0,1569,6597,317
Transformers: Dark of the Moon,1962337,0,925,3234,172
The Tree of Life,873621,0,425,2939,81
Trespass,71096,0,37,141,5
Unknown,2139649,0,651,2496,164
A Very Harold & Kumar 3D Christmas,591481,0,826,2895,118
Waiting for Forever,2401310,0,1150,4940,259
Warrior,4679617,0,981,10617,370
Water for Elephants,194395,0,71,252,18
The Way,1904590,0,1068,4633,151
We Bought a Zoo,240957,0,68,331,23
What's Your Number?,5353398,0,1454,7403,383
Win Win,137328,0,21,108,6
Winnie the Pooh,3742266,0,4979,14073,566
X-Men: First Class,13078811,0,6759,19652,808
Young Adult,5748093,0,858,3952,739
Your Highness,5389725,0,2544,8145,447
Zookeeper,2868640,0,1171,2603,1277
"3, 2, 1... Frankie Go Boom",331135,0,99,633,60
2 Days in New York,35854,0,,,
A Burning Hot Summer,33664,0,2,63,3
A Late Quartet,2179,0,0,7,1
A Liar's Autobiography,656,0,0,2,0
Ai Weiwei: Never Sorry,36293,0,11,199,2
Albatross,10118,0,,,
Amador,55509,0,16,60,2
Anna Karenina,8688776,0,4164,21836,882
Arbitrage,1047169,0,219,854,94
Attenberg,156636,0,44,146,24
Bad Kids Go to Hell,1173153,0,785,1361,1374
Barfi!,284699,0,34,506,37
Being Flynn,5211,0,0,3,1
Beneath the Darkness,3931,0,1,3,0
Brave,17645657,0,12676,40927,3242
Casa de Mi Padre,7559,0,0,4,4
Chasing Ice,2078093,0,614,6361,127
Cheerful Weather for the Wedding,12693,0,0,24,0
Chronicle,15661501,0,14594,44893,1382
Cloud Atlas,224938,0,22,167,96
Comic-Con Episode IV: A Fan's Hope,59159,0,18,230,4
Compliance,194743,0,71,312,23
Coriolanus,1582242,0,1063,2854,120
Cosmopolis,14445434,0,2733,6831,3793
Crooked Arrows,16888,0,50,104,69
Damsels in Distress,301420,0,72,289,74
Darling Companion,37508,0,33,99,78
Deadfall,5839092,0,1188,5890,511
Declaration of War,31218,0,7,39,2
Detropia,25265,0,31,50,3
Don't Go in the Woods,67234,0,43,92,13
Ek Tha Tiger,9930136,0,9873,29389,3938
End of Watch,5129273,0,3258,9632,425
Entrance,60458,0,71,75,138
Fightville,64830,0,22,97,5
Finding Nemo 3D,7876237,0,1184,5578,1887
First Position,158768,0,53,428,10
Footnote,56330,0,13,86,6
Friends with Kids,6889,0,0,2,0
Fullmetal Alchemist: The Sacred Star of Milos,162856,0,750,1305,12
Fun Size,51301,0,62,323,16
Fury,7433958,0,1615,10396,1039
Gone,2767997,0,169,3004,114
Good Deeds,317974,0,138,586,644
Goon,8071,0,0,6,0
Headhunters,172297,0,55,149,6
Here Comes the Boom,4705345,0,2189,8882,459
House at the End of the Street,4765632,0,3075,8035,619
Hyde Park on Hudson,222533,0,13,112,26
Hysteria,1382418,0,404,2390,112
Jack Reacher,537209,0,178,311,100
Jeff,819269,0,352,1447,111
Jesus Henry Christ,2037947,0,725,13716,865
Jiro Dreams of Sushi,101446,0,31,302,14
John Carter,8676001,0,3071,8869,1017
Journey 2: The Mysterious Island,49429,0,2,26,1
Joyful Noise,6529,0,0,1,0
Keyhole,36035,0,8,31,23
Killer Joe,111406,0,12,76,5
Lay the Favorite,203541,0,31,94,20
Les Misérables,3307753,0,4702,14265,285
Lincoln,9063612,0,10421,19930,3052
Lockout,2822590,0,870,2730,250
Lola Versus,1145636,0,108,991,88
Looper,1384610,0,1449,3983,103
Magic Mike,2378283,0,743,2428,270
Man on a Ledge,3771193,0,1038,2910,210
Mansome,692666,0,195,2014,51
Marley,309990,0,157,947,30
Men in Black 3,17398737,0,12769,68053,1270
Monsieur Lazhar,244786,0,34,373,15
Monsters,,0,,,
Moonrise Kingdom,1974780,0,630,8316,139
Nativity 2: Danger in the Manger,101717,0,23,146,11
Nobody Walks,1515566,0,241,2707,157
North Sea Texas,260037,0,45,353,15
Norwegian Wood,721135,0,307,1591,32
Not Fade Away,40731,0,,,
One for the Money,286966,0,17,39,8
Oslo,251714,0,80,493,16
Paranormal Activity 4,1405283,0,1022,1385,893
ParaNorman,292757,0,127,773,41
Parental Guidance,1717750,0,531,1962,274
People Like Us,2107802,0,514,2330,232
Piranha 3DD,7054477,0,2840,4195,2231
Pitch Perfect,402364,0,245,1111,33
Polisse,310041,0,100,329,18
Premium Rush,4188888,0,2506,10313,692
Project X,21749930,0,16818,39230,5177
Prometheus,6824097,0,9525,27904,705
Pusher,89404,0,13,,
Rampart,57188,0,18,93,69
Red Dawn,5698215,0,10841,14769,2538
Red Tails,40022,0,6,38,7
Rise of the Guardians,5867885,0,2672,16686,615
Robot & Frank,33545,0,4,50,3
Ruby Sparks,194017,0,38,879,15
Safe,28533,0,0,12,4
Safe House,9610685,0,1630,5863,570
Safety Not Guaranteed,2484659,0,864,8124,325
Salmon Fishing in the Yemen,6709,0,0,5,0
Searching for Sugar Man,1098137,0,240,1998,59
Seeking a Friend for the End of the World,1122586,0,114,557,20
Seven Psychopaths,1586296,0,428,6295,145
Silent Hill: Revelation,3562752,0,711,1339,116
Silent House,2449644,0,1773,3281,446
Silver Linings Playbook,342033,0,45,403,18
Sing Your Song,33323,0,4,77,5
Sinister,2397088,0,701,5703,303
Skyfall,25863717,0,,53389,2298
Smashed,121171,0,113,496,23
Sound of My Voice,78037,0,11,145,9
Sparkle,587858,0,319,1178,56
Stolen,3658612,0,1970,2595,1219
Surviving Progress,44062,0,16,206,4
Tabu,375241,0,32,525,20
Take This Waltz,573874,0,216,798,44
Taken 2,16292020,0,14679,38189,1701
Ted,21270185,0,7236,41975,2508
That's My Boy,291175,0,107,497,96
The Ambassador,6110,0,1,12,18
The Best Exotic Marigold Hotel,9727,0,0,9,0
The Campaign,1013279,0,404,1377,76
The Collection,4174672,0,1534,6162,477
The Details,60929,0,13,63,20
The Devil Inside,55819,0,14,72,5
The Divide,343749,0,350,1224,87
The Fitzgerald Family Christmas,143781,0,36,114,68
The Flowers of War,963236,0,1185,1842,93
The Impossible,12431823,0,7443,43899,1430
The Imposter,430300,0,73,519,23
