common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
The Skeleton Key,883039,0,329,1266,78
Sky High,1457067,0,451,1566,121
Smile,25867,0,28,69,4
Son of the Mask,327112,0,97,440,180
The Squid and the Whale,396403,0,71,445,30
Star Wars: Episode III – Revenge of the Sith,2789572,0,4325,19775,572
Stay,628342,0,211,682,23
Stealth,26755,0,5,70,10
Syriana,36825,0,3,45,3
The Three Burials of Melquiades Estrada,132493,0,29,125,15
Transamerica,16999,0,3,24,1
Transporter 2,539423,0,9,411,55
Two for the Money,263857,0,20,390,25
Underclassman,296977,0,46,230,10
Undiscovered,59451,0,18,180,5
An Unfinished Life,485692,0,1,340,21
The Upside of Anger,227440,0,26,251,22
Venom,16244518,0,34984,218068,25612
Waiting...,1460519,0,420,1733,113
Walk the Line,51190,0,7,72,4
War of the Worlds,682783,0,366,2101,88
The Weather Man,414909,0,213,398,23
Wedding Crashers,1250958,0,90,1268,80
The Wedding Date,1446140,0,69,2928,99
White Noise,783968,0,255,529,49
Why We Fight,83395,0,37,203,9
The World's Fastest Indian,478058,0,100,1157,30
xXx: State of the Union,1081130,0,,,
"Yours, Mine and Ours",169801,0,18,168,10
Zathura,128686,0,22,,
A Prairie Home Companion,42791,0,6,81,3
Alien Autopsy,1561,0,2,13,5
Apocalypto,4101625,0,930,7114,533
Aquamarine,5553597,0,1021,8955,454
Art School Confidential,58828,0,15,219,8
Babel,15357,0,1,15,0
Basic Instinct 2,151978,0,6,54,11
Big Momma's House 2,277142,0,18,240,26
Blood Diamond,32296,0,3,39,2
BloodRayne,831394,0,359,457,226
Casino Royale,1370093,0,233,2703,108
Children of Men,2566183,0,1410,6452,261
Crossover,11416,0,2,60,3
Dave Chappelle's Block Party,14878,0,,,
Déjà Vu,275723,0,52,314,22
Dirty Sanchez: the Movie,354278,0,143,270,49
Dreamgirls,344420,0,31,1001,18
Eight Below,1055306,0,470,1873,46
Employee of the Month,746811,0,255,833,110
Eragon,381630,0,307,518,56
Fearless,236701,0,91,344,20
Final Destination 3,16600,0,0,15,1
Firewall,405785,0,54,221,25
Flicka,763364,0,222,528,58
Flushed Away,1986489,0,593,1761,263
Flyboys,141082,0,33,163,14
For Your Consideration,4755,0,1,20,1
Freedomland,80906,0,13,65,10
Friends with Money,991990,0,3,,
Garfield: A Tail of Two Kitties,163731,0,24,276,27
Grandma's Boy,165955,0,32,162,18
Gridiron Gang,2030865,0,41,4755,1265
Happy Feet,448949,0,37,625,93
Harsh Times,531570,0,333,611,69
Hoodwinked!,63289,0,19,81,12
Hoot,809704,0,435,1240,76
Hostel,2204677,0,846,2162,312
Ice Age: The Meltdown,529847,0,31,180,49
Idiocracy,679386,0,176,899,32
Invincible,1490231,0,244,1320,62
Jackass Number Two,148488,0,26,257,9
John Tucker Must Die,939373,0,,,
Just My Luck,2120335,0,363,2224,96
Kenny,169333,0,,733,17
Lady in the Water,353791,0,295,328,65
Last Holiday,363266,0,,,
Let's Go to Prison,620454,0,,,
Lucky Number Slevin,24178,0,0,9,1
Man of the Year,216970,0,67,221,22
Marie Antoinette,2103473,0,1051,2942,165
Miami Vice,21349,0,0,31,1
Mission: Impossible III,829540,0,99,842,41
Monster House,884659,0,327,1301,165
My Super Ex-Girlfriend,824842,0,,,
Nacho Libre,80455,0,6,52,6
Nanny McPhee,16490,0,0,7,1
Night at the Museum,54182,0,9,150,11
Notes on a Scandal,12727,0,0,7,1
One Night with the King,357726,0,3,349,20
Open Season,5132,0,0,7,1
Over the Hedge,1498699,0,436,1578,146
Pan's Labyrinth,88070,0,1,24,8
Poseidon,800304,0,284,1506,105
Rocky Balboa,1108043,0,260,3266,96
Running Scared,30687,0,68,411,12
RV,222666,0,0,,
Saw III,11819,0,1,25,2
School for Scoundrels,509227,0,87,469,39
Scoop,406935,0,38,258,20
See No Evil,19584,0,4,49,0
Silent Hill,1356869,0,563,4335,173
Slither,155772,0,17,159,17
Snakes on a Plane,390305,0,165,219,42
Stay Alive,959,0,0,0,0
Step Up,521138,0,30,354,30
Stick It,44978,0,1,67,6
Stranger Than Fiction,399936,0,66,638,32
Take the Lead,6232026,0,846,14929,245
Talladega Nights: The Ballad of Ricky Bobby,123946,0,5,,
Tenacious D in The Pick of Destiny,987644,0,239,1865,69
Thank You for Smoking,54084,0,6,145,6
The Descent,30520,0,2,17,3
The Fountain,127576,0,31,234,3
The Guardian,366359,0,31,376,31
The Hills Have Eyes,383761,0,72,477,48
The Holiday,2781603,0,472,3808,139
The Illusionist,147665,0,8,116,21
The Lake House,1256375,0,248,2422,73
The Last Kiss,3126758,0,446,2307,134
The Marine,228823,0,4,86,7
The Night Listener,207558,0,57,150,12
The Pink Panther,223809,0,45,436,28
The Prestige,702393,0,,,
The Pursuit of Happyness,373802,0,23,470,4
The Return,122672,0,129,862,12
The Santa Clause 3: The Escape Clause,48069,0,,119,11
The Secret,16398486,0,3114,46539,1691
The Sentinel,396961,0,26,308,29
The Shaggy Dog,184861,0,88,467,62
The Texas Chainsaw Massacre: The Beginning,585118,0,343,1469,93
The Wicker Man,199145,0,0,,
The Wild,1878732,0,,,
Tom-Yum-Goong,1281726,0,219,1005,47
Trailer Park Boys: The Movie,158911,0,78,170,11
Tristan and Isolde,655054,0,194,1273,43
Turistas,312392,0,60,343,30
Ultraviolet,571666,0,234,923,58
Underworld: Evolution,331268,0,32,212,13
United 93,237371,0,189,,
V for Vendetta,168130,0,60,211,56
Van Wilder: The Rise of Taj,64183,0,1,62,7
Volver,1518720,0,220,1141,68
We Are Marshall,428248,0,61,471,11
When a Stranger Calls,393460,0,197,686,37
You  Me and Dupree,1390,0,0,0,0
Zoom,301006,0,,,
The 11th Hour,1643326,0,911,2607,147
1408,1370884,0,467,2681,108
3:10 to Yuma,308151,0,61,480,25
30 Days of Night,652397,0,228,1414,67
300,3252411,0,,9913,512
Across the Universe,208399,0,34,,
Alice Upside Down,386369,0,117,497,41
Aliens vs. Predator: Requiem,602267,0,432,857,114
Alvin and the Chipmunks,5146456,0,3057,17466,4021
An American Crime,278927,0,140,230,15
American Gangster,1653622,0,231,3093,108
Anamorph,1681189,0,146,755,105
Aqua Teen Hunger Force Colon Movie Film for Theaters,22851,0,16,133,5
Arctic Tale,32453,0,,,
Are We Done Yet?,571541,0,85,,
The Assassination of Jesse James by the Coward Robert Ford,25182,0,15,59,0
August Rush,130449,0,19,395,7
Awake,46000,0,1,56,3
Balls of Fury,65859,0,4,54,3
Because I Said So,793971,0,0,666,42
Bee Movie,79458,0,7,41,16
Before the Devil Knows You're Dead,1428353,0,255,751,67
Beowulf,906092,0,165,897,124
Big Stan,768351,0,70,751,69
Blades of Glory,1294935,0,364,1723,91
The Bourne Ultimatum,981211,0,81,1061,47
The Brave One,105307,0,26,217,9
Breach,199533,0,26,109,12
Bridge to Terabithia,529337,0,,,
Broken English,24774,0,3,25,3
Brotherhood of Blood,31355,0,4,21,8
The Brothers Solomon,66216,0,0,,
The Bucket List,3589,0,1,3,0
