Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 54 min.,$19 million,"$75,072,454 ",The Exorcism of Emily Rose ,Horror,Sony / Screen Gems,PG-13,9-Sep-05
1 hrs. 42 min.,$18 million,"$60,062,868 ",The Family Stone ,Romantic Comedy,Fox,PG-13,16-Dec-05
1 hrs. 40 min.,$120 million,"$56,117,548 ",Fantastic Four ,Action / Adventure,Fox,PG-13,7-Aug-15
1 hrs. 22 min.,N/A,"$19,781 ",Favela Rising ,Documentary,Mochary Films,Unrated,2-Jun-06
1 hrs. 38 min.,$30 million,"$42,071,069 ",Fever Pitch ,Romantic Comedy,Fox,PG-13,8-Apr-05
1 hrs. 51 min.,N/A,"$750,805 ",First Descent ,Documentary,Universal,PG-13,2-Dec-05
1 hrs. 33 min.,N/A,"$89,707,299 ",Flightplan ,Thriller,Buena Vista,PG-13,23-Sep-05
1 hrs. 30 min.,N/A,"$21,378,361 ",The Fog ,Horror,AVCO Embassy,R,1-Feb-80
1 hrs. 48 min.,$1.5 million,"$75,828 ",Forty Shades of Blue ,Drama,Vitagraph,R,30-Sep-05
1 hrs. 48 min.,$45 million,"$74,494,381 ",Four Brothers ,Action / Crime,Paramount,R,12-Aug-05
1 hrs. 30 min.,$100 million,"$110,332,737 ",Fun with Dick and Jane ,Crime Comedy,Sony / Columbia,PG-13,21-Dec-05
1 hrs. 41 min.,$20 million,"$375,750 ",The Game of Their Lives ,Sports Drama,IFC,PG,22-Apr-05
2 hrs. 14 min.,$40 million,"$30,985,352 ",Get Rich or Die Tryin' ,Music Drama,Paramount,R,9-Nov-05
1 hrs. 33 min.,$4 million,"$15,778,152 ",The Gospel ,Music Drama,Sony / Screen Gems,PG,7-Oct-05
2 hrs. 12 min.,$80 million,"$10,167,373 ",The Great Raid ,War,Miramax,R,12-Aug-05
1 hrs. 55 min.,N/A,"$15,337,393 ",The Greatest Game Ever Played ,Sports Drama,Buena Vista,PG,30-Sep-05
1 hrs. 43 min.,N/A,"$3,178,403 ",Grizzly Man ,Documentary,Lions Gate,R,12-Aug-05
1 hrs. 44 min.,N/A,"$68,915,888 ",Guess Who ,Comedy,Sony / Columbia,PG-13,25-Mar-05
2 hrs. 8 min.,N/A,"$1,315,701 ",Happy Endings ,Comedy,Lions Gate,R,15-Jul-05
2 hrs. 33 min.,$150 million,"$290,013,036 ",Harry Potter and the Goblet of Fire ,Fantasy,Warner Bros.,PG-13,18-Nov-05
1 hrs. 32 min.,$50 million,"$66,023,816 ",Herbie: Fully Loaded ,Family Comedy,Buena Vista,G,22-Jun-05
1 hrs. 45 min.,N/A,"$51,100,486 ",Hide and Seek ,Thriller,Fox,R,28-Jan-05
1 hrs. 36 min.,$32 million,"$31,504,633 ",A History of Violence ,Crime Drama,New Line,R,23-Sep-05
1 hrs. 55 min.,$70 million,"$179,495,555 ",Hitch ,Romantic Comedy,Sony / Columbia,PG-13,11-Feb-05
1 hrs. 43 min.,$50 million,"$51,085,416 ",The Hitchhiker's Guide to the Galaxy ,Sci-Fi Comedy,Buena Vista,PG,29-Apr-05
1 hrs. 25 min.,$25 million,"$12,843,849 ",The Honeymooners ,Comedy,Paramount,PG-13,10-Jun-05
1 hrs. 53 min.,N/A,"$34,639,939 ",Hostage ,Action Thriller,Miramax,R,11-Mar-05
1 hrs. 35 min.,$4.8 million,"$47,326,473 ",Hostel ,Horror,Lions Gate,R,6-Jan-06
1 hrs. 37 min.,N/A,"$388,532 ",House of D ,Comedy / Drama,Lions Gate,PG-13,15-Apr-05
1 hrs. 30 min.,"$1,000,000 ","$23,750,000 ",House of Wax ,Horror,Warner Bros.,GP,10-Apr-53
1 hrs. 28 min.,N/A,"$9,016,782 ",The Ice Harvest ,Crime Comedy,Focus Features,R,23-Nov-05
1 hrs. 32 min.,N/A,"$24,402,491 ",Ice Princess ,Family,Buena Vista,G,18-Mar-05
2 hrs. 10 min.,N/A,"$32,880,591 ",In Her Shoes ,Comedy / Drama,Fox,PG-13,7-Oct-05
1 hrs. 37 min.,N/A,"$10,223,896 ",In the Mix ,Crime Comedy,Lions Gate,PG-13,23-Nov-05
1 hrs. 32 min.,$2 million,"$691,880 ",Inside Deep Throat ,Documentary,Universal,NC-17,11-Feb-05
