Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
2 hrs. 4 min.,N/A,"$244,397 ",Youth Without Youth ,Drama,Sony Classics,R,14-Dec-07
2 hrs. 36 min.,$65 million,"$33,080,084 ",Zodiac ,Thriller,Paramount,R,2-Mar-07
2 hrs. 3 min.,$35 million,"$81,159,365 ",21 ,Drama,Sony / Columbia,PG-13,28-Mar-08
1 hrs. 47 min.,$30 million,"$76,808,654 ",27 Dresses ,Romantic Comedy,Fox,PG-13,18-Jan-08
1 hrs. 48 min.,N/A,"$17,213,467 ",88 Minutes ,Thriller,Sony / Columbia,R,18-Apr-08
1 hrs. 23 min.,$20 million,"$7,013,191 ",An American Carol ,Comedy,Vivendi Entertainment,PG-13,3-Oct-08
1 hrs. 35 min.,N/A,"$942,441 ",American Teen ,Documentary,Paramount Vantage,PG-13,25-Jul-08
1 hrs. 48 min.,$20 million,"$20,211,394 ",Appaloosa ,Western,Warner Bros. (New Line),R,19-Sep-08
1 hrs. 28 min.,N/A,"$12,636 ",August ,Drama,First Look,R,11-Jul-08
1 hrs. 36 min.,$30 million,"$60,494,212 ",Baby Mama ,Comedy,Universal,PG-13,25-Apr-08
1 hrs. 30 min.,$70 million,"$22,532,572 ",Babylon A.D. ,Sci-Fi Thriller,Fox,PG-13,29-Aug-08
1 hrs. 36 min.,N/A,"$77,556 ",Ballast ,Drama,Alluvial Film Company,Unrated,1-Oct-08
1 hrs. 40 min.,$45 million,"$15,298,133 ",Bangkok Dangerous ,Action / Crime,Lionsgate,R,5-Sep-08
1 hrs. 35 min.,$80 million,"$110,101,975 ",Bedtime Stories ,Family Adventure,Buena Vista,PG,25-Dec-08
1 hrs. 33 min.,N/A,"$666,045 ",Beer for My Horses ,Comedy,Roadside Attractions,PG-13,8-Aug-08
1 hrs. 25 min.,N/A,"$94,514,402 ",Beverly Hills Chihuahua ,Family Comedy,Buena Vista,PG,3-Oct-08
2 hrs. 8 min.,$70 million,"$39,394,666 ",Body of Lies ,Drama / Thriller,Warner Bros.,R,10-Oct-08
1 hrs. 36 min.,$150 million,"$114,053,579 ",Bolt ,Animation,Buena Vista,PG,21-Nov-08
1 hrs. 37 min.,$37 million,"$60,355,347 ",Burn After Reading ,Comedy,Focus Features,R,12-Sep-08
1 hrs. 48 min.,$12 million,"$8,195,551 ",Cadillac Records ,Music Drama,Sony / Columbia,R,5-Dec-08
2 hrs. 20 min.,$55 million,"$35,739,802 ",Changeling ,Thriller,Universal,R,24-Oct-08
4 hrs. 23 min.,N/A,"$1,497,109 ",Che ,Historical Drama,IFC,Unrated,12-Dec-08
1 hrs. 29 min.,N/A,"$2,926,565 ",Choke ,Comedy / Drama,Fox Searchlight,R,26-Sep-08
2 hrs. 20 min.,$225 million,"$141,621,490 ",The Chronicles of Narnia: Prince Caspian ,Fantasy,Buena Vista,PG,16-May-08
1 hrs. 35 min.,$55 million,"$7,873,007 ",City of Ember ,Family Adventure,Fox,PG,10-Oct-08
1 hrs. 24 min.,$25 million,"$80,048,433 ",Cloverfield ,Action Horror,Paramount,PG-13,18-Jan-08
1 hrs. 34 min.,$7 million,"$4,694,636 ",College ,Comedy,MGM,R,29-Aug-08
1 hrs. 23 min.,N/A,"$45,610,425 ",College Road Trip ,Comedy,Buena Vista,G,7-Mar-08
2 hrs. 48 min.,$150 million,"$127,509,326 ",The Curious Case of Benjamin Button ,Fantasy Drama,Paramount,PG-13,25-Dec-08
2 hrs. 30 min.,$185 million,"$533,345,358 ",The Dark Knight ,Action / Adventure,Warner Bros.,PG-13,18-Jul-08
1 hrs. 26 min.,N/A,"$61,626 ",Deal ,Drama,MGM,PG-13,25-Apr-08
1 hrs. 29 min.,$45 million,"$36,316,032 ",Death Race ,Action Thriller,Universal,R,22-Aug-08
2 hrs. 17 min.,$32 million,"$28,644,813 ",Defiance ,War,Paramount Vantage,R,31-Dec-08
1 hrs. 45 min.,N/A,"$32,241,649 ","Definitely, Maybe ",Romantic Comedy,Universal,PG-13,14-Feb-08
1 hrs. 30 min.,$40 million,"$694,782 ",Delgo ,Animation,Freestyle Releasing,PG,12-Dec-08
1 hrs. 30 min.,$20 million,"$14,190,901 ",Disaster Movie ,Comedy,Lionsgate,PG-13,29-Aug-08
1 hrs. 45 min.,N/A,"$11,008,770 ",Doomsday ,Sci-Fi Horror,Rogue Pictures,R,14-Mar-08
1 hrs. 44 min.,$20 million,"$33,446,470 ",Doubt ,Drama,Miramax,PG-13,12-Dec-08
1 hrs. 42 min.,N/A,"$32,862,104 ",Drillbit Taylor ,Comedy,Paramount,PG-13,21-Mar-08
1 hrs. 58 min.,$80 million,"$101,440,743 ",Eagle Eye ,Thriller,Paramount (DreamWorks),PG-13,26-Sep-08
1 hrs. 48 min.,N/A,"$3,581,642 ",Elegy ,Drama,Samuel Goldwyn,R,8-Aug-08
1 hrs. 30 min.,N/A,"$7,720,487 ",Expelled: No Intelligence Allowed ,Documentary,Rocky Mountain Pictures,PG,18-Apr-08
2 hrs. 9 min.,$40 million,"$9,793,406 ",The Express ,Sports Drama,Universal,PG,10-Oct-08
1 hrs. 37 min.,N/A,"$31,418,697 ",The Eye ,Horror,Lionsgate,PG-13,1-Feb-08
N/A,$8 million,"$70,600 ",Fireflies in the Garden ,Drama,Unknown,R,14-Oct-11
2 hrs. 2 min.,"$500,000 ","$33,456,317 ",Fireproof ,Drama,Samuel Goldwyn,PG,26-Sep-08
1 hrs. 36 min.,N/A,"$37,931,869 ",First Sunday ,Crime Comedy,Sony / Screen Gems,PG-13,11-Jan-08
1 hrs. 59 min.,N/A,"$4,442,377 ",Flash of Genius ,Drama,Universal,PG-13,3-Oct-08
1 hrs. 50 min.,$70 million,"$70,231,041 ",Fool's Gold ,Romantic Adventure,Warner Bros.,PG-13,8-Feb-08
1 hrs. 53 min.,N/A,"$52,075,270 ",The Forbidden Kingdom ,Action,Lionsgate,PG-13,18-Apr-08
1 hrs. 52 min.,N/A,"$719,556 ",Forever Strong ,Sports Drama,Crane Movie Company,PG-13,19-Sep-08
1 hrs. 51 min.,$30 million,"$63,172,463 ",Forgetting Sarah Marshall ,Comedy,Universal,R,18-Apr-08
1 hrs. 22 min.,$80 million,"$120,146,040 ",Four Christmases ,Comedy,Warner Bros. (New Line),PG-13,26-Nov-08
2 hrs. 2 min.,$25 million,"$18,622,031 ",Frost/Nixon ,Historical Drama,Universal,R,5-Dec-08
1 hrs. 37 min.,N/A,"$2,511,476 ",Frozen River ,Drama,Sony Classics,R,1-Aug-08
1 hrs. 48 min.,N/A,"$1,294,919 ",Funny Games ,Horror Thriller,Warner Independent,R,14-Mar-08
1 hrs. 20 min.,N/A,"$26,931 ",The Garden ,Documentary,Oscilloscope Pictures,Unrated,24-Apr-09
1 hrs. 29 min.,N/A,"$21,886 ",Garden Party ,Unknown,Roadside Attractions,Unrated,11-Jul-08
1 hrs. 50 min.,$80 million,"$130,319,208 ",Get Smart ,Action Comedy,Warner Bros.,PG-13,20-Jun-08
1 hrs. 42 min.,$20 million,"$13,367,624 ",Ghost Town ,Fantasy Comedy,Paramount (DreamWorks),PG-13,19-Sep-08
1 hrs. 56 min.,$33 million,"$148,095,302 ",Gran Torino ,Action Drama,Warner Bros.,R,12-Dec-08
1 hrs. 32 min.,$9 million,"$4,886,216 ",Hamlet 2 ,Comedy,Focus Features,R,22-Aug-08
1 hrs. 32 min.,$150 million,"$227,946,274 ",Hancock ,Fantasy Drama,Sony / Columbia,PG-13,2-Jul-08
1 hrs. 31 min.,$48 million,"$64,506,874 ",The Happening ,Thriller,Fox,R,13-Jun-08
1 hrs. 30 min.,N/A,"$13,229 ",Harold ,Comedy,City Lights Pictures Releasing,PG-13,11-Jul-08
1 hrs. 27 min.,N/A,"$13,559,812 ",The Haunting of Molly Hartley ,Horror,Freestyle Releasing,PG-13,31-Oct-08
1 hrs. 50 min.,$85 million,"$75,986,503 ",Hellboy II: The Golden Army ,Action Horror,Universal,PG-13,11-Jul-08
1 hrs. 40 min.,N/A,"$1,836,515 ",Henry Poole Is Here ,Comedy,Overture Films,PG,15-Aug-08
1 hrs. 40 min.,$11 million,"$90,559,416 ",High School Musical 3: Senior Year ,Musical,Buena Vista,G,24-Oct-08
1 hrs. 34 min.,$25 million,"$48,237,389 ",The House Bunny ,Comedy,Sony / Columbia,PG-13,22-Aug-08
1 hrs. 26 min.,$25 million,"$19,528,602 ",Igor ,Animation,MGM,PG,19-Sep-08
1 hrs. 47 min.,N/A,"$7,800,824 ",In Bruges ,Crime Comedy,Focus Features,R,8-Feb-08
1 hrs. 54 min.,$150 million,"$134,806,913 ",The Incredible Hulk ,Action / Adventure,Universal,PG-13,13-Jun-08
2 hrs. 0 min.,$185 million,"$317,101,119 ",Indiana Jones and the Kingdom of the Crystal Skull ,Period Adventure,Paramount,PG-13,22-May-08
1 hrs. 46 min.,$60 million,"$17,303,424 ",Inkheart ,Fantasy,Warner Bros. (New Line),PG,23-Jan-09
2 hrs. 6 min.,$140 million,"$318,412,101 ",Iron Man ,Action / Adventure,Paramount,PG-13,2-May-08
1 hrs. 32 min.,$60 million,"$101,704,370 ",Journey to the Center of the Earth ,Adventure,Warner Bros. (New Line),PG,11-Jul-08
1 hrs. 30 min.,$85 million,"$80,172,128 ",Jumper ,Fantasy,Fox,PG-13,14-Feb-08
1 hrs. 41 min.,$10 million,"$17,657,973 ",Kit Kittredge: An American Girl ,Family,Picturehouse,G,20-Jun-08
1 hrs. 31 min.,$130 million,"$215,434,591 ",Kung Fu Panda ,Animation,Paramount (DreamWorks),PG,6-Jun-08
1 hrs. 50 min.,$20 million,"$39,263,506 ",Lakeview Terrace ,Drama / Thriller,Sony / Screen Gems,PG-13,19-Sep-08
1 hrs. 39 min.,N/A,"$14,889,042 ",Last Chance Harvey ,Romance,Overture Films,PG-13,25-Dec-08
1 hrs. 54 min.,$58 million,"$31,373,938 ",Leatherheads ,Sports Comedy,Universal,PG-13,4-Apr-08
1 hrs. 28 min.,$62 million,"$32,235,793 ",The Love Guru ,Comedy,Paramount,PG-13,20-Jun-08
1 hrs. 34 min.,N/A,"$11,537,046 ",The Longshots ,Family Comedy,MGM (Weinstein),PG,22-Aug-08
1 hrs. 55 min.,N/A,"$266,967 ",The Lucky Ones ,Comedy / Drama,Lionsgate,R,26-Sep-08
1 hrs. 44 min.,N/A,"$20,668,843 ",Mad Money ,Crime Comedy,Overture Films,PG-13,18-Jan-08
1 hrs. 29 min.,$150 million,"$180,010,950 ",Madagascar: Escape 2 Africa ,Animation,Paramount (DreamWorks),PG,7-Nov-08
1 hrs. 41 min.,$40 million,"$46,012,734 ",Made of Honor ,Comedy,Sony / Columbia,PG-13,2-May-08
1 hrs. 48 min.,$52 million,"$144,130,063 ",Mamma Mia! ,Musical,Universal,PG-13,18-Jul-08
1 hrs. 30 min.,N/A,"$2,962,242 ",Man on Wire ,Documentary,Magnolia,PG-13,25-Jul-08
1 hrs. 40 min.,$35 million,"$40,689,393 ",Max Payne ,Action / Crime,Fox,PG-13,17-Oct-08
1 hrs. 30 min.,$60 million,"$11,803,254 ",Meet Dave ,Sci-Fi Comedy,Fox,PG,11-Jul-08
1 hrs. 24 min.,N/A,"$38,233,676 ",Meet the Spartans ,Comedy,Fox,PG-13,25-Jan-08
2 hrs. 8 min.,$20 million,"$31,841,299 ",Milk ,Drama,Focus Features,R,26-Nov-08
2 hrs. 46 min.,$45 million,"$7,919,117 ",Miracle at St. Anna ,War Drama,Buena Vista,R,26-Sep-08
1 hrs. 50 min.,N/A,"$30,691,439 ",Mirrors ,Horror,Fox,R,15-Aug-08
1 hrs. 54 min.,$145 million,"$102,491,776 ",The Mummy: Tomb of the Dragon Emperor ,Period Adventure,Universal,PG-13,1-Aug-08
1 hrs. 41 min.,$20 million,"$19,219,250 ",My Best Friend's Girl ,Romantic Comedy,Lionsgate,R,19-Sep-08
1 hrs. 50 min.,$20 million,"$24,850,922 ",Never Back Down ,Action Drama,Summit Entertainment,PG-13,14-Mar-08
1 hrs. 30 min.,$10 million,"$31,487,293 ",Nick and Norah's Infinite Playlist ,Drama,Sony / Columbia,PG-13,3-Oct-08
1 hrs. 37 min.,N/A,"$41,850,659 ",Nights in Rodanthe ,Romance,Warner Bros.,PG-13,26-Sep-08
1 hrs. 35 min.,$37 million,"$48,006,762 ",Nim's Island ,Family Adventure,Fox,PG,4-Apr-08
1 hrs. 39 min.,N/A,"$7,503,736 ",Nothing Like the Holidays ,Comedy,Overture Films,PG-13,12-Dec-08
1 hrs. 27 min.,$20 million,"$26,890,041 ",One Missed Call ,Horror,Warner Bros.,PG-13,4-Jan-08
1 hrs. 54 min.,$35 million,"$26,814,957 ",The Other Boleyn Girl ,Period Drama,Sony / Columbia,PG-13,29-Feb-08
1 hrs. 35 min.,N/A,"$7,563,670 ",Over Her Dead Body ,Fantasy Comedy,New Line,PG-13,1-Feb-08
1 hrs. 34 min.,N/A,"$292,437 ",Passengers ,Drama,Sony / Columbia,PG-13,24-Oct-08
1 hrs. 33 min.,N/A,"$109,846 ",Pathology ,Horror Thriller,MGM,R,18-Apr-08
1 hrs. 49 min.,N/A,"$30,918 ",Patti Smith: Dream of Life ,Documentary,Palm,Unrated,6-Aug-08
1 hrs. 45 min.,$27 million,"$87,341,380 ",Pineapple Express ,Action Comedy,Sony / Columbia,R,6-Aug-08
1 hrs. 12 min.,N/A,"$90,066 ",Pray the Devil Back to Hell ,Documentary,Balcony Releasing,Unrated,7-Nov-08
1 hrs. 34 min.,N/A,"$14,796,236 ",Prom Night ,Horror,Embassy,R,15-Aug-80
1 hrs. 25 min.,N/A,"$408,709 ",The Promotion ,Comedy,Third Rail Releasing,R,6-Jun-08
1 hrs. 45 min.,N/A,"$131,357 ",Proud American ,Drama,Slowhand Cinema,PG,12-Sep-08
1 hrs. 47 min.,$35 million,"$8,050,977 ",Punisher: War Zone ,Action,Lionsgate,R,5-Dec-08
1 hrs. 46 min.,$200 million,"$168,368,427 ",Quantum of Solace ,Action,Sony / Columbia,PG-13,14-Nov-08
1 hrs. 29 min.,$12 million,"$31,691,811 ",Quarantine ,Horror Thriller,Sony / Screen Gems,R,10-Oct-08
1 hrs. 54 min.,N/A,"$12,796,841 ",Rachel Getting Married ,Drama,Sony Classics,R,3-Oct-08
1 hrs. 33 min.,$50 million,"$42,754,105 ",Rambo ,Action,Lionsgate,R,25-Jan-08
2 hrs. 2 min.,$32 million,"$34,194,407 ",The Reader ,Period Drama,Weinstein Company,R,10-Dec-08
1 hrs. 39 min.,$7 million,"$2,345,941 ",Redbelt ,Action Drama,Sony Classics,R,2-May-08
1 hrs. 41 min.,$2.5 million,"$13,011,160 ",Religulous ,Documentary,Lionsgate,R,1-Oct-08
1 hrs. 59 min.,$35 million,"$22,911,480 ",Revolutionary Road ,Drama,Paramount Vantage,R,26-Dec-08
1 hrs. 41 min.,$60 million,"$40,081,410 ",Righteous Kill ,Crime Thriller,Overture Films,R,12-Sep-08
1 hrs. 42 min.,$15 million,"$6,409,528 ",The Rocker ,Comedy,Fox,PG-13,20-Aug-08
1 hrs. 35 min.,$28 million,"$67,294,270 ",Role Models ,Comedy,Universal,R,7-Nov-08
1 hrs. 37 min.,N/A,"$17,432,844 ",The Ruins ,Horror Thriller,Paramount (DreamWorks),R,4-Apr-08
1 hrs. 28 min.,$10.8 million,"$56,746,769 ",Saw V ,Horror,Lionsgate,R,24-Oct-08
1 hrs. 50 min.,$11 million,"$37,770,162 ",The Secret Life of Bees ,Drama,Fox Searchlight,PG-13,17-Oct-08
1 hrs. 30 min.,N/A,"$33,479,698 ",Semi-Pro ,Sports Comedy,New Line,R,29-Feb-08
1 hrs. 58 min.,$55 million,"$69,951,824 ",Seven Pounds ,Drama,Sony / Columbia,PG-13,19-Dec-08
2 hrs. 15 min.,$65 million,"$152,647,258 ",Sex and the City ,Romantic Comedy,Warner Bros. (New Line),R,30-May-08
1 hrs. 49 min.,$19 million,"$8,402,485 ",Sex Drive ,Comedy,Summit Entertainment,R,17-Oct-08
1 hrs. 25 min.,N/A,"$25,928,550 ",Shutter ,Horror,Fox,PG-13,21-Mar-08
1 hrs. 57 min.,$27 million,"$44,089,964 ",The Sisterhood of the Traveling Pants 2 ,Comedy / Drama,Warner Bros.,PG-13,6-Aug-08
1 hrs. 41 min.,N/A,"$166,057 ",Sleepwalking ,Drama,Overture Films,R,14-Mar-08
1 hrs. 33 min.,N/A,"$9,511,289 ",Smart People ,Comedy,Miramax,R,11-Apr-08
1 hrs. 43 min.,N/A,"$12,082,391 ",Soul Men ,Comedy,MGM (Weinstein),R,7-Nov-08
1 hrs. 21 min.,$37 million,"$30,105,968 ",Space Chimps ,Animation,Fox,G,18-Jul-08
2 hrs. 15 min.,$120 million,"$43,945,766 ",Speed Racer ,Action,Warner Bros.,PG,9-May-08
1 hrs. 37 min.,$90 million,"$71,195,053 ",The Spiderwick Chronicles ,Fantasy,Paramount,PG,14-Feb-08
1 hrs. 48 min.,N/A,"$19,806,188 ",The Spirit ,Action Fantasy,Lionsgate,PG-13,25-Dec-08
1 hrs. 38 min.,N/A,"$35,161,554 ",Star Wars: The Clone Wars ,Animation,Warner Bros.,PG,15-Aug-08
1 hrs. 35 min.,$65 million,"$100,468,793 ",Step Brothers ,Comedy,Sony / Columbia,R,25-Jul-08
1 hrs. 53 min.,$25 million,"$10,915,744 ",Stop-Loss ,War Drama,Paramount,R,28-Mar-08
1 hrs. 27 min.,N/A,"$6,575,282 ",Strange Wilderness ,Comedy,Paramount Classics,R,1-Feb-08
1 hrs. 47 min.,$9 million,"$52,597,610 ",The Strangers ,Thriller,Rogue Pictures,R,30-May-08
1 hrs. 47 min.,$20 million,"$26,418,667 ",Street Kings ,Crime Drama,Fox Searchlight,R,11-Apr-08
1 hrs. 25 min.,N/A,"$25,881,068 ",Superhero Movie ,Comedy,MGM (Weinstein),PG-13,28-Mar-08
1 hrs. 40 min.,$21 million,"$16,289,867 ",Swing Vote ,Comedy / Drama,Buena Vista,PG-13,1-Aug-08
1 hrs. 33 min.,$25 million,"$145,000,989 ",Taken ,Action,Fox,PG-13,30-Jan-09
1 hrs. 27 min.,$60 million,"$50,877,145 ",The Tale of Despereaux ,Animation,Universal,G,19-Dec-08
1 hrs. 50 min.,$22 million,"$23,530,831 ",Traitor ,Drama / Thriller,Overture Films,PG-13,27-Aug-08
1 hrs. 47 min.,$92 million,"$110,515,313 ",Tropic Thunder ,Action Comedy,Paramount (DreamWorks),R,13-Aug-08
1 hrs. 33 min.,N/A,"$520,151 ",Trouble the Water ,Documentary,Zeitgeist,Unrated,22-Aug-08
2 hrs. 0 min.,$37 million,"$192,769,854 ",Twilight ,Romance,Summit Entertainment,PG-13,21-Nov-08
1 hrs. 20 min.,N/A,"$10,363,341 ",U2 3D ,IMAX,National Geographic Entertainment,G,23-Jan-08
1 hrs. 41 min.,$35 million,"$28,687,835 ",Untraceable ,Thriller,Sony / Screen Gems,R,25-Jan-08
2 hrs. 0 min.,$75 million,"$83,077,833 ",Valkyrie ,Thriller,United Artists,PG-13,25-Dec-08
1 hrs. 30 min.,$40 million,"$72,266,306 ",Vantage Point ,Thriller,Sony / Columbia,PG-13,22-Feb-08
1 hrs. 36 min.,N/A,"$23,216,709 ",Vicky Cristina Barcelona ,Comedy,MGM (Weinstein),PG-13,15-Aug-08
2 hrs. 9 min.,$25.1 million,"$25,534,493 ",W. ,Historical Drama,Lionsgate,PG-13,17-Oct-08
1 hrs. 35 min.,N/A,"$2,077,116 ",The Wackness ,Comedy,Sony Classics,R,3-Jul-08
1 hrs. 37 min.,$180 million,"$223,808,164 ",WALL-E ,Animation,Buena Vista,G,27-Jun-08
1 hrs. 30 min.,N/A,"$2,283,849 ",Waltz with Bashir ,Foreign,Sony Classics,R,25-Dec-08
1 hrs. 48 min.,$75 million,"$134,508,551 ",Wanted ,Action / Adventure,Universal,R,27-Jun-08
1 hrs. 46 min.,N/A,"$580,862 ","War, Inc. ",Comedy,First Look,R,23-May-08
1 hrs. 54 min.,$35 million,"$42,436,517 ",Welcome Home Roscoe Jenkins ,Comedy,Universal,PG-13,8-Feb-08
1 hrs. 39 min.,$35 million,"$80,277,646 ",What Happens in Vegas ,Comedy,Fox,PG-13,9-May-08
1 hrs. 37 min.,N/A,"$4,161,625 ",Witless Protection ,Action Comedy,Lionsgate,PG-13,22-Feb-08
1 hrs. 45 min.,$6 million,"$26,238,243 ",The Wrestler ,Sports Drama,Fox Searchlight,R,17-Dec-08
1 hrs. 44 min.,$30 million,"$20,982,478 ",The X-Files: I Want to Believe ,Sci-Fi Thriller,Fox,PG-13,25-Jul-08
1 hrs. 44 min.,$70 million,"$97,690,976 ",Yes Man ,Comedy,Warner Bros.,PG-13,19-Dec-08
1 hrs. 53 min.,$90 million,"$100,018,837 ",You Don't Mess with the Zohan ,Comedy,Sony / Columbia,PG-13,6-Jun-08
1 hrs. 41 min.,$24 million,"$31,457,946 ",Zack and Miri Make a Porno ,Comedy,Weinstein Company,R,31-Oct-08
1 hrs. 35 min.,$7.5 million,"$32,391,374 ",,Romance,Fox Searchlight,PG-13,17-Jul-09
1 hrs. 48 min.,N/A,"$12,234,694 ",12 Rounds ,Action / Adventure,Fox,PG-13,27-Mar-09
1 hrs. 42 min.,N/A,"$64,167,069 ",17 Again ,Fantasy Comedy,Warner Bros. (New Line),PG-13,17-Apr-09
2 hrs. 38 min.,$200 million,"$166,112,167 ",2012 ,Action Drama,Sony / Columbia,PG-13,13-Nov-09
1 hrs. 19 min.,$30 million,"$31,749,894 ",9 ,Animation,Focus Features,PG-13,9-Sep-09
1 hrs. 35 min.,N/A,"$2,277,396 ",Adam ,Comedy / Drama,Fox Searchlight,PG-13,29-Jul-09
1 hrs. 46 min.,N/A,"$16,044,025 ",Adventureland ,Comedy,Miramax,R,3-Apr-09
1 hrs. 37 min.,N/A,"$108,595 ",After.Life ,Horror Thriller,Anchor Bay Films,R,9-Apr-10
1 hrs. 28 min.,N/A,"$104,526 ",Alien Trespass ,Sci-Fi Comedy,Roadside Attractions,PG,3-Apr-09
1 hrs. 26 min.,$45 million,"$25,200,412 ",Aliens in the Attic ,Family Adventure,Fox,PG,31-Jul-09
1 hrs. 39 min.,N/A,"$33,862,903 ",All About Steve ,Comedy,Fox,PG-13,4-Sep-09
1 hrs. 28 min.,$75 million,"$219,614,612 ",Alvin and the Chipmunks: The Squeakquel ,Family Comedy,Fox,PG,23-Dec-09
2 hrs. 0 min.,$40 million,"$14,245,415 ",Amelia ,Historical Drama,Fox Searchlight,PG,23-Oct-09
1 hrs. 43 min.,N/A,"$554,434 ",American Violet ,Drama,Samuel Goldwyn,PG-13,17-Apr-09
1 hrs. 35 min.,N/A,"$26,676 ",The Answer Man ,Comedy,Magnolia,R,24-Jul-09
1 hrs. 28 min.,$20 million,"$15,988,876 ",Armored ,Thriller,Sony / Screen Gems,PG-13,4-Dec-09
1 hrs. 34 min.,$65 million,"$19,551,067 ",Astro Boy ,Animation,Summit Entertainment,PG,23-Oct-09
2 hrs. 40 min.,$237 million,"$749,766,139 ",Avatar ,Sci-Fi Adventure,Fox,PG-13,18-Dec-09
1 hrs. 38 min.,$17 million,"$9,451,946 ",Away We Go ,Comedy,Focus Features,R,5-Jun-09
1 hrs. 51 min.,N/A,"$5,210,988 ",Bandslam ,Comedy,Summit Entertainment,PG,14-Aug-09
1 hrs. 25 min.,N/A,"$1,647,083 ",Battle for Terra ,Animation,Lionsgate,PG,1-May-09
1 hrs. 45 min.,N/A,"$32,917 ",Beyond a Reasonable Doubt ,Thriller,Anchor Bay Films,PG-13,11-Sep-09
1 hrs. 26 min.,N/A,"$234,540 ",Big Fan ,Comedy / Drama,First Independent Pictures,R,28-Aug-09
2 hrs. 6 min.,$29 million,"$255,959,475 ",The Blind Side ,Sports Drama,Warner Bros.,PG-13,20-Nov-09
1 hrs. 58 min.,$8 million,"$10,273,188 ",The Boondock Saints II: All Saints Day ,Action / Crime,Apparition,R,30-Oct-09
1 hrs. 56 min.,$30 million,"$15,051,977 ",The Box ,Horror Thriller,Warner Bros.,PG-13,6-Nov-09
1 hrs. 30 min.,$30 million,"$58,715,510 ",Bride Wars ,Comedy,Fox,PG,9-Jan-09
1 hrs. 50 min.,$26 million,"$28,544,157 ",Brothers ,Drama,Lionsgate,R,4-Dec-09
1 hrs. 49 min.,N/A,"$3,531,756 ",The Brothers Bloom ,Crime Comedy,Summit Entertainment,PG-13,15-May-09
1 hrs. 52 min.,N/A,"$153,148 ",Brothers at War ,Documentary,Samuel Goldwyn,R,13-Mar-09
2 hrs. 7 min.,$20 million,"$14,363,397 ",Capitalism: A Love Story ,Documentary,Overture Films,R,23-Sep-09
1 hrs. 24 min.,N/A,"$104,352 ",Carriers ,Horror,Paramount Vantage,PG-13,4-Sep-09
1 hrs. 48 min.,$40 million,"$13,869,515 ",Cirque du Freak: The Vampire's Assistant ,Fantasy,Universal,PG-13,23-Oct-09
1 hrs. 21 min.,$100 million,"$124,870,275 ",Cloudy with a Chance of Meatballs ,Animation,Sony / Columbia,PG,18-Sep-09
1 hrs. 41 min.,N/A,"$905,209 ",Cold Souls ,Comedy / Drama,Samuel Goldwyn,PG-13,7-Aug-09
1 hrs. 25 min.,N/A,"$7,712,114 ",The Collector ,Horror,Freestyle Releasing,R,31-Jul-09
1 hrs. 52 min.,N/A,"$44,277,350 ",Confessions of a Shopaholic ,Romantic Comedy,Buena Vista,PG,13-Feb-09
1 hrs. 40 min.,$60 million,"$75,286,229 ",Coraline ,Animation,Focus Features,PG,6-Feb-09
1 hrs. 47 min.,$70 million,"$109,204,945 ",Couples Retreat ,Comedy,Universal,PG-13,9-Oct-09
1 hrs. 36 min.,N/A,"$857,005 ",The Cove ,Documentary,Roadside Attractions,PG-13,31-Jul-09
1 hrs. 25 min.,N/A,"$13,684,249 ",Crank: High Voltage ,Action / Crime,Lionsgate,R,17-Apr-09
1 hrs. 51 min.,$7 million,"$39,464,306 ",Crazy Heart ,Drama,Fox Searchlight,R,16-Dec-09
1 hrs. 53 min.,N/A,"$455,654 ",Crossing Over ,Drama,Weinstein Company,R,27-Feb-09
1 hrs. 23 min.,$25 million,"$25,662,155 ",Dance Flick ,Comedy,Paramount,PG-13,22-May-09
1 hrs. 43 min.,$58 million,"$29,580,087 ",Did You Hear About the Morgans? ,Romantic Comedy,Sony / Columbia,PG-13,18-Dec-09
1 hrs. 53 min.,$30 million,"$115,646,235 ",District 9 ,Sci-Fi,TriStar,R,14-Aug-09
1 hrs. 39 min.,$30 million,"$42,100,625 ",Drag Me to Hell ,Horror,Universal,PG-13,29-May-09
1 hrs. 40 min.,N/A,"$9,362,785 ",Dragonball Evolution ,Sci-Fi Adventure,Fox,PG,10-Apr-09
2 hrs. 5 min.,$60 million,"$40,572,825 ",Duplicity ,Thriller,Universal,PG-13,20-Mar-09
1 hrs. 46 min.,N/A,"$666,009 ",Echelon Conspiracy ,Thriller,After Dark Films,PG-13,27-Feb-09
1 hrs. 36 min.,N/A,"$1,725,141 ",Every Little Step ,Documentary,Sony Classics,PG-13,17-Apr-09
1 hrs. 35 min.,$21 million,"$9,208,876 ",Everybody's Fine ,Comedy,Miramax,PG-13,4-Dec-09
1 hrs. 30 min.,$8 million,"$10,823,158 ",Extract ,Comedy,Miramax,R,4-Sep-09
1 hrs. 27 min.,$40 million,"$21,002,919 ",Fantastic Mr. Fox ,Animation,Fox,PG,13-Nov-09
1 hrs. 45 min.,N/A,"$23,091,010 ",Fighting ,Action Drama,Universal,PG-13,24-Apr-09
1 hrs. 22 min.,$40 million,"$66,477,700 ",The Final Destination ,Horror,Warner Bros. (New Line),R,28-Aug-09
1 hrs. 34 min.,N/A,"$4,417,674 ","Food, Inc. ",Documentary,Magnolia,PG,12-Jun-09
