Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Paranoid Girls (2015),1 hrs. 29 min.,N/A,$78 ,Comedy,Unknown,Unrated,13-Nov-15,
"Pretty Village, Pretty Flame (1998)",2 hrs. 5 min.,N/A,$211 ,Unknown,Wellspring,Unrated,16-Jan-98,
Playback (2012),1 hrs. 35 min.,N/A,$264 ,Horror Thriller,Magnolia,R,16-Mar-12,
Hannah: Buddhism's Untold Journey (2016),1 hrs. 30 min.,N/A,$396 ,Documentary,Kino Lorber,Unrated,14-Oct-16,
2:22 (2017),1 hrs. 39 min.,N/A,$422 ,Thriller,Magnolia,PG-13,30-Jun-17,
Falling (2007),1 hrs. 28 min.,N/A,$509 ,Foreign,Kino,Unrated,29-Jun-07,
A Bloody Aria (2008),1 hrs. 55 min.,N/A,$518 ,Foreign / Horror,ImaginAsian Pictures,Unrated,4-Jan-08,
Notes on Marie Menken (2007),1 hrs. 37 min.,N/A,$577 ,Documentary,Icarus Films,Unrated,9-Feb-07,
Shake Hands with the Devil (2010),1 hrs. 52 min.,N/A,$594 ,Historical Drama,Regent Releasing,R,29-Oct-10,
"Jesus, You Know (2004)",1 hrs. 27 min.,N/A,$604 ,Documentary,Leisure Time,Unrated,3-Dec-04,
Citizen Gangster (2012),1 hrs. 45 min.,N/A,$625 ,Crime Drama,IFC,Unrated,27-Apr-12,
Down By Love (2016),1 hrs. 40 min.,N/A,$675 ,Drama,Distrib Films,Not Yet Rated,19-Aug-16,
Christmas in Wonderland (2008),1 hrs. 40 min.,N/A,$689 ,Family Comedy,Yari Film Group,PG,25-Jan-08,
Into the White (2013),1 hrs. 40 min.,N/A,$704 ,War Drama,Magnolia,R,12-Apr-13,
Amityville: The Awakening (2017),1 hrs. 25 min.,N/A,$742 ,Horror,Weinstein / Dimension,PG-13,28-Oct-17,
Flakes (2007),1 hrs. 24 min.,N/A,$778 ,Comedy,IFC,Unrated,19-Dec-07,
Port Djema (1999),1 hrs. 35 min.,N/A,$783 ,Unknown,Shadow Dist.,Unrated,1-Jan-99,
Jackpot (2014),1 hrs. 30 min.,N/A,$806 ,Foreign,Doppelganger Releasing,Unrated,27-Jun-14,
Disfigured (2008),1 hrs. 36 min.,N/A,$829 ,Drama,Cinema Libre Studio,Unrated,18-Jul-08,
'R Xmas (2002),1 hrs. 23 min.,N/A,$850 ,Unknown,Pathfinder,R,8-Nov-02,
Officer Downe (2016),1 hrs. 28 min.,N/A,$850 ,Action,Magnolia,R,18-Nov-16,
45365 (2010),1 hrs. 30 min.,N/A,$853 ,Documentary,Seven Arts Distribution,Unrated,26-Feb-10,
A People Uncounted (2014),1 hrs. 39 min.,N/A,$930 ,Documentary,First Run,Unrated,16-May-14,
The Penguin Counters (2017),1 hrs. 10 min.,N/A,$976 ,Documentary,First Run,Unrated,21-Apr-17,
How to Rob a Bank (2008),1 hrs. 21 min.,N/A,"$1,006 ",Crime Comedy,IFC,Unrated,8-Feb-08,
Paris Countdown (2013),1 hrs. 29 min.,N/A,"$1,055 ",Foreign,Screen Media,Unrated,8-Nov-13,
Kiss Me Deadly (2008),1 hrs. 21 min.,N/A,"$1,085 ",Action,Regent Releasing,R,2-May-08,
We Are the Giant (2014),1 hrs. 30 min.,N/A,"$1,088 ",Documentary,Music Box Films,Unrated,12-Dec-14,
Freeze Frame (2004),1 hrs. 40 min.,N/A,"$1,100 ",Unknown,First Look,R,10-Dec-04,
An Invisible Sign (2011),1 hrs. 36 min.,N/A,"$1,279 ",Drama,IFC,PG-13,6-May-11,
Exorcism: The Movie (2003),1 hrs. 38 min.,N/A,"$1,303 ",Horror,"Exorcism The Movie, LLC",PG-13,3-Oct-03,
Adam's Apples (2007),1 hrs. 34 min.,N/A,"$1,305 ",Foreign,Outsider Pictures,R,16-Mar-07,
The Dog Problem (2007),1 hrs. 29 min.,N/A,"$1,344 ",Comedy,ThinkFilm,R,27-Apr-07,
Headshot (2012),1 hrs. 45 min.,N/A,"$1,373 ",Foreign,Kino Lorber,Unrated,28-Sep-12,
Forest for the Trees (2017 re-release) (2017),1 hrs. 21 min.,N/A,"$1,410 ",Drama,Film Movement,Unrated,18-Jan-17,
Kalyug (2005),N/A,N/A,"$1,435 ",Foreign,"Kria, Inc.",Unrated,9-Dec-05,
Free Radicals (2004),2 hrs. 0 min.,N/A,"$1,443 ",Foreign,Kino,Unrated,23-Jul-04,
The Outcasts (2017),1 hrs. 35 min.,N/A,"$1,455 ",Comedy,Swen,PG-13,14-Apr-17,
Level Up (2016),1 hrs. 24 min.,N/A,"$1,469 ",Thriller,FilmBuff,Unrated,26-Aug-16,
Stations of the Cross (2015),1 hrs. 50 min.,N/A,"$1,505 ",Drama,Film Movement,Unrated,10-Jul-15,
The Tunnel (2011) (2011),1 hrs. 30 min.,"$135,000 ","$1,532 ",Horror Thriller,Blackrock Films,Unrated,5-Aug-11,
Independent Spirits (2003),N/A,N/A,"$1,551 ",Unknown,Cinema Four,Unrated,28-Nov-03,
Manuela and Manuel (2010),1 hrs. 34 min.,N/A,"$1,582 ",Comedy,Regent Releasing,PG-13,26-Mar-10,
Miss India America (2016),1 hrs. 35 min.,N/A,"$1,598 ",Comedy / Drama,MarVista Entertainment,Unrated,24-Mar-16,
Ben X (2008),1 hrs. 33 min.,N/A,"$1,601 ",Foreign,Film Movement,Unrated,24-Oct-08,
In Her Name (Au nom de ma fille) (2016),1 hrs. 27 min.,N/A,"$1,623 ",Drama,Distrib Films,Unrated,2-Dec-16,
I Want You (1999),1 hrs. 27 min.,N/A,"$1,672 ",Drama,Gramercy,R,4-Jun-99,
More Than the Rainbow (2014),1 hrs. 22 min.,N/A,"$1,677 ",Documentary,First Run,Unrated,2-May-14,
Dystopia 2013 (2012),2 hrs. 2 min.,N/A,"$1,708 ",Action / Adventure,Found-Charger Cinema,Unrated,13-Jan-12,
Open Windows (2014),1 hrs. 40 min.,N/A,"$1,750 ",Thriller,Cinedigm Entertainment,Unrated,7-Nov-14,
The Canyon (2009),1 hrs. 42 min.,N/A,"$1,785 ",Thriller,Truly Indie,R,23-Oct-09,
I Kissed a Vampire (2012),1 hrs. 31 min.,N/A,"$1,794 ",Musical,"Monterey Media, Inc.",PG,30-Mar-12,
The Opera Lover (2002),1 hrs. 49 min.,N/A,"$1,798 ",Unknown,Outrider,Unrated,27-Sep-02,
Now & Later (2011),1 hrs. 39 min.,N/A,"$1,808 ",Drama,Cinema Libre Studio,Unrated,18-Feb-11,
American Strays (1996),1 hrs. 37 min.,N/A,"$1,910 ",Unknown,Unapix Ent.,R,13-Sep-96,
Sikandar (2009),1 hrs. 50 min.,N/A,"$1,954 ",Foreign,AdLabs,Unrated,21-Aug-09,
Falling Awake (2010),1 hrs. 50 min.,N/A,"$1,978 ",Drama,IFC,R,29-Jan-10,
Me You and Five Bucks (2015),1 hrs. 33 min.,N/A,"$2,105 ",Comedy,Indican,Unrated,25-Sep-15,
Running with Arnold (2008),1 hrs. 12 min.,N/A,"$2,119 ",Documentary,Lantern Lane,Unrated,11-Jan-08,
Hell's Highway (2003),N/A,N/A,"$2,171 ",Unknown,Kino,R,27-Jun-03,
Scorn (2012),1 hrs. 28 min.,N/A,"$2,206 ",Drama,Cortelyou Films,Unrated,1-Mar-12,
7 From Etheria (2017),1 hrs. 35 min.,N/A,"$2,208 ",Horror,Parade Deck Films,Unrated,7-Jul-17,
Mirage (2006),1 hrs. 43 min.,N/A,"$2,241 ",Foreign,Picture This!,Unrated,17-Mar-06,
Memoria (2016),1 hrs. 10 min.,N/A,"$2,242 ",Drama,"Monterey Media, Inc.",R,8-Apr-16,
The Big Question (2006),1 hrs. 33 min.,N/A,"$2,248 ",Documentary,ThinkFilm,PG-13,17-Mar-06,
Infliction (2014),1 hrs. 40 min.,N/A,"$2,256 ",Horror,Fox Trail Productions,Unrated,16-Mar-14,
Split: A Deeper Divide (2012),1 hrs. 15 min.,"$150,000 ","$2,338 ",Documentary,Feature Presentations Releasing,Unrated,12-Oct-12,
From the East (2016),1 hrs. 50 min.,N/A,"$2,436 ",Documentary,Icarus Films,Unrated,17-Apr-16,
Breaking Glass (1980),1 hrs. 44 min.,N/A,"$2,471 ",Music Drama,Paramount,PG,17-Oct-80,
Homeland (2016),5 hrs. 24 min.,N/A,"$2,491 ",Documentary,Kino Lorber,Unrated,6-Oct-16,
Herbie Hancock: Possibilities (2006),1 hrs. 30 min.,N/A,"$2,493 ",Documentary,Magnolia,Unrated,14-Apr-06,
Swing (2004),1 hrs. 44 min.,N/A,"$2,509 ",Fantasy Comedy,RMH Media,PG-13,18-Jun-04,
Almost in Love (2013),1 hrs. 23 min.,N/A,"$2,510 ",Romantic Comedy,Argot Pictures,Unrated,15-Feb-13,
Dead or Alive: Final (2002),1 hrs. 45 min.,N/A,"$2,591 ",Unknown,Kino,Unrated,29-Nov-02,
Eight Miles High (2008),1 hrs. 54 min.,N/A,"$2,616 ",Foreign,MPI Media Group,Unrated,11-Jul-08,
Boogie Woogie (2010),1 hrs. 30 min.,N/A,"$2,618 ",Comedy / Drama,IFC,R,23-Apr-10,
Indigo Children (2014),1 hrs. 15 min.,N/A,"$2,621 ",Drama,Striped Entertainment,Unrated,17-Jan-14,
Body (2015),1 hrs. 15 min.,N/A,"$2,634 ",Drama / Thriller,Oscilloscope Pictures,Unrated,11-Dec-15,
Daughter of the Nile (re-issue) (2017),1 hrs. 31 min.,N/A,"$2,640 ",Drama,Cohen Media Group,Unrated,27-Oct-17,
I Shot a Man in Vegas (1996),1 hrs. 26 min.,N/A,"$2,684 ",Unknown,Arrow Releasing,R,18-Oct-96,
Winter Flight (1986),1 hrs. 29 min.,N/A,"$2,729 ",Drama,Cinecom,Unrated,12-Feb-86,
White Lies (2016),1 hrs. 39 min.,N/A,"$2,760 ",Drama,Artmattan Prods.,Unrated,4-Mar-16,
Lower Learning (2008),1 hrs. 37 min.,N/A,"$2,804 ",Comedy,Anchor Bay Films,R,10-Oct-08,
Beautopia (1999),1 hrs. 50 min.,N/A,"$2,870 ",Documentary,Wellspring,Unrated,5-Mar-99,
Everything Put Together (2001),1 hrs. 27 min.,N/A,"$2,963 ",Drama,Vitagraph,R,2-Nov-01,
Wetlands Preserved (2008),1 hrs. 33 min.,N/A,"$2,970 ",Documentary,First Run,Unrated,14-Mar-08,
Moana With Sound (2015 re-issue) (2015),1 hrs. 25 min.,N/A,"$2,993 ",Documentary,Kino Lorber,Unrated,13-Nov-15,
Fatal Assistance (2014),1 hrs. 39 min.,N/A,"$3,000 ",Documentary,Velvet Films,Unrated,28-Feb-14,
About Cherry (2012),1 hrs. 42 min.,N/A,"$3,003 ",Drama,IFC,R,21-Sep-12,
ATM (2012),1 hrs. 30 min.,N/A,"$3,010 ",Thriller,IFC,R,6-Apr-12,
Best and Most Beautiful Things (2016),1 hrs. 31 min.,N/A,"$3,016 ",Documentary,First Run,Unrated,2-Dec-16,
A Girl and a Gun (2013),1 hrs. 15 min.,N/A,"$3,018 ",Drama,First Run,Unrated,3-Jul-13,
Unveiled (2005),1 hrs. 37 min.,N/A,"$3,025 ",Foreign,Wolfe Releasing,Unrated,18-Nov-05,
The Weird World of Blowfly (2011),1 hrs. 29 min.,N/A,"$3,062 ",Documentary,Variance Films,Unrated,16-Sep-11,
The Feud (1990),1 hrs. 37 min.,N/A,"$3,102 ",Unknown,Castle Hill,R,4-May-90,
My Year Without Sex (2010),1 hrs. 36 min.,N/A,"$3,119 ",Comedy,Strand,Unrated,12-Mar-10,
The Girl on the Train (2014) (2014),1 hrs. 20 min.,N/A,"$3,124 ",Drama,"Monterey Media, Inc.",R,4-Jul-14,
In Harmony (2016),1 hrs. 27 min.,N/A,"$3,144 ",Drama,Distrib Films,Unrated,15-Apr-16,
The Boys (1999),1 hrs. 26 min.,N/A,"$3,146 ",Drama,Stratosphere,R,15-Oct-99,
Apart (2012) (2012),1 hrs. 26 min.,N/A,"$3,161 ",Drama,Truly Indie,Unrated,9-Mar-12,
Heal the Living (2017),1 hrs. 43 min.,N/A,"$3,176 ",Drama,Cohen Media Group,NC-17,14-Apr-17,
The Backyard (2003),1 hrs. 20 min.,N/A,"$3,200 ",Documentary,Hiqi Media,Unrated,29-Aug-03,
Do You Wanna Dance? (1999),N/A,N/A,"$3,210 ",Unknown,Ellinas Prods.,Unrated,16-Apr-99,
As Cool As I Am (2013),1 hrs. 32 min.,N/A,"$3,234 ",Comedy / Drama,IFC,R,7-Jun-13,
The Sons of Tennessee Williams (2011),1 hrs. 22 min.,N/A,"$3,242 ",Documentary,First Run,Unrated,7-Oct-11,
Devil Girl (2009),1 hrs. 25 min.,N/A,"$3,244 ",Horror,Nocturnal Features,Unrated,18-Sep-09,
Burning Bodhi (2016),1 hrs. 33 min.,N/A,"$3,289 ",Drama,"Monterey Media, Inc.",R,18-Mar-16,
Daratt (2007),1 hrs. 36 min.,N/A,"$3,303 ",Foreign,Artmattan Prods.,Unrated,6-Apr-07,
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only) (2014),2 hrs. 2 min.,N/A,"$3,313 ",Foreign,Music Box Films,Unrated,30-May-14,
Know How (2015),1 hrs. 46 min.,N/A,"$3,323 ",Drama,First Run,Unrated,15-May-15,
Mi America (2015),2 hrs. 0 min.,N/A,"$3,330 ",Crime Drama,Industrial House,R,16-Oct-15,
Amanda & Jack Go Glamping (2017),1 hrs. 34 min.,N/A,"$3,352 ",Romantic Comedy,Orion Pictures,Unrated,10-Nov-17,
Humble Pie (2009),1 hrs. 24 min.,N/A,"$3,359 ",Comedy,"Monterey Media, Inc.",PG-13,6-Nov-09,
The Happy Poet (2013),1 hrs. 25 min.,N/A,"$3,400 ",Comedy / Drama,Cinema Libre Studio,Unrated,22-Mar-13,
Dalida (2017),2 hrs. 4 min.,N/A,"$3,465 ",Drama,Under the Milky Way,Unrated,26-Aug-17,
Loosies (2012),1 hrs. 28 min.,N/A,"$3,519 ",Comedy / Drama,IFC,PG-13,11-Jan-12,
I'm Reed Fish (2007),1 hrs. 33 min.,N/A,"$3,567 ",Comedy / Drama,Red Envelope Entertainment,PG,1-Jun-07,
Happy Here and Now (2005),1 hrs. 29 min.,N/A,"$3,574 ",Drama,IFC,R,14-Dec-05,
Pickin & Grinnin (2012),N/A,N/A,"$3,613 ",Comedy,House Lights Media,R,7-Sep-12,
Smash His Camera (2010),1 hrs. 27 min.,N/A,"$3,644 ",Documentary,Magnolia,PG-13,30-Jul-10,
Bird of Prey (1996),1 hrs. 45 min.,N/A,"$3,652 ",Crime Thriller,Northern Arts,R,4-Oct-96,
Passion Play (2011),1 hrs. 31 min.,N/A,"$3,669 ",Drama / Thriller,Image Entertainment,R,6-May-11,
Catch Me If You Can (1989) (1989),1 hrs. 46 min.,N/A,"$3,686 ",Unknown,MCEG,PG,28-Jul-89,
The Condemned (2013) (2013),N/A,N/A,"$3,718 ",Foreign,Strand,Unrated,1-Mar-13,
Bad Blood the Hunger (2012),1 hrs. 47 min.,N/A,"$3,731 ",Horror,Gravity Arch,R,26-Oct-12,
Bugs (2017),1 hrs. 14 min.,N/A,"$3,742 ",Documentary,Kino Lorber,Unrated,5-Jun-17,
Childhood's End (1997),1 hrs. 55 min.,N/A,"$3,804 ",Comedy / Drama,Plainview Pictures,Unrated,4-Apr-97,
Swim Little Fish Swim (2014),1 hrs. 35 min.,N/A,"$3,877 ",Comedy,Under the Milky Way,Unrated,19-Sep-14,
Beyond Outrage (2014),1 hrs. 50 min.,N/A,"$3,878 ",Foreign,Magnolia,R,3-Jan-14,
Genghis Kahn: To the Ends of the Earth and Sea (2008),2 hrs. 12 min.,N/A,"$3,892 ",Animation,The Bigger Picture,Unrated,21-Feb-08,
Maidan (2014),2 hrs. 10 min.,N/A,"$3,909 ",Documentary,Cinema Guild,Unrated,12-Dec-14,
Going Under (2006),1 hrs. 38 min.,"$50,000 ","$3,917 ",Drama,Argot Pictures,Unrated,15-Jun-06,
After School (1988),1 hrs. 29 min.,N/A,"$3,967 ",Unknown,Moviestore Ent.,R,23-Sep-88,
Death of a Ghost Hunter (2009),1 hrs. 27 min.,N/A,"$3,984 ",Horror,Nocturnal Features,Unrated,12-Jun-09,
Psychopathia Sexualis (2006),1 hrs. 42 min.,N/A,"$4,012 ",Drama,Kino,R,8-Jun-06,
Approved for Adoption (2013),1 hrs. 10 min.,N/A,"$4,015 ",Animation,GKIDS,Unrated,8-Nov-13,
Silver Circle (2013),1 hrs. 30 min.,N/A,"$4,080 ",Animation,Area23a,PG-13,22-Mar-13,
The Painting (2005),1 hrs. 35 min.,N/A,"$4,115 ",Romance,Castle Hill,PG-13,28-Jan-05,
Pawn (2013),1 hrs. 28 min.,N/A,"$4,141 ",Crime Thriller,Anchor Bay Films,R,19-Apr-13,
The Hillside Strangler (2004),1 hrs. 36 min.,N/A,"$4,143 ",Unknown,Tartan,R,24-Sep-04,
Badsville (2017),1 hrs. 37 min.,N/A,"$4,153 ",Action Drama,Epic Pictures,Unrated,1-Dec-17,
Soap (2006),1 hrs. 44 min.,N/A,"$4,164 ",Foreign,Strand,Unrated,3-Nov-06,
Daylight (2011) (2011),1 hrs. 14 min.,N/A,"$4,171 ",Horror Thriller,Cinema Purgatorio,Unrated,15-Jul-11,
Eden (1998) (1998),1 hrs. 49 min.,N/A,"$4,210 ",Unknown,Legacy,R,27-Mar-98,
Twisted: A Balloonamentary (2008),1 hrs. 19 min.,N/A,"$4,218 ",Documentary,Unknown,Unrated,23-May-08,
Corked! (2009),1 hrs. 30 min.,N/A,"$4,254 ",Comedy,28 Entertainment,Unrated,5-Jun-09,
Auto Shop of Horrors (2016),1 hrs. 27 min.,N/A,"$4,300 ",Horror Comedy,Driving With Our Eyes Shut,Unrated,23-Sep-16,
Days of Grace (2015),2 hrs. 13 min.,N/A,"$4,308 ",Foreign,Cinema Purgatorio,Unrated,1-May-15,
"A Cool, Dry Place (1999)",1 hrs. 37 min.,N/A,"$4,390 ",Unknown,Fox,PG-13,29-Jan-99,
Jeanne and the Perfect Guy (1999),1 hrs. 38 min.,N/A,"$4,417 ",Unknown,Strand,Unrated,16-Apr-99,
"Farewell, Herr Schwarz (2015)",1 hrs. 36 min.,N/A,"$4,445 ",Documentary,Kino Lorber,Unrated,9-Jan-15,
The Ministers (2009),1 hrs. 30 min.,N/A,"$4,447 ",Action Drama,Maya Entertainment,R,16-Oct-09,
The Summer of Sangaile (2015),1 hrs. 28 min.,N/A,"$4,480 ",Drama,Strand,Unrated,20-Nov-15,
Synchronicity (2016),1 hrs. 41 min.,N/A,"$4,505 ",Sci-Fi Thriller,Magnolia,R,22-Jan-16,
A Boy Called Po (2017),1 hrs. 34 min.,N/A,"$4,550 ",Drama,Freestyle Releasing,Not Yet Rated,1-Sep-17,
Laura Smiles (2007),1 hrs. 38 min.,N/A,"$4,558 ",Drama,Emerging Pictures,R,27-Jul-07,
Hit List (1989),1 hrs. 27 min.,N/A,"$4,564 ",Unknown,New Line,R,3-Mar-89,
Automatic Hate (2016),1 hrs. 37 min.,N/A,"$4,603 ",Comedy / Drama,Film Movement,Unrated,11-Mar-16,
Mad Detective (2008),1 hrs. 29 min.,N/A,"$4,629 ",Foreign / Action,IFC,Unrated,18-Jul-08,
Ashby (2015),1 hrs. 40 min.,N/A,"$4,631 ",Comedy / Drama,The Film Arcade,R,25-Sep-15,
Hotel Normandy (2013),1 hrs. 24 min.,N/A,"$4,640 ",Foreign,Rialto,Unrated,27-Sep-13,
Red (2008) (2008),1 hrs. 38 min.,N/A,"$4,643 ",Drama / Thriller,Magnolia,R,8-Aug-08,
Night School (2017) (2017),1 hrs. 28 min.,N/A,"$4,663 ",Documentary,Oscilloscope Pictures,Unrated,9-Jun-17,
Miss Hill: Making Dance Matter (2015),1 hrs. 20 min.,N/A,"$4,706 ",Documentary,First Run,Unrated,23-Jan-15,
Secret Society (2002),1 hrs. 32 min.,N/A,"$4,725 ",Unknown,First Run,Unrated,7-Jun-02,
Tre (2008),1 hrs. 27 min.,N/A,"$4,759 ",Drama,Cinema Libre Studio,Unrated,1-Feb-08,
Starless Dreams (2017),1 hrs. 16 min.,N/A,"$4,776 ",Documentary,Cinema Guild,Unrated,20-Jan-17,
High Stakes (1989),1 hrs. 38 min.,N/A,"$4,780 ",Unknown,Trimark,R,17-Nov-89,
50 Ways of Saying Fabulous (2006),1 hrs. 30 min.,N/A,"$4,800 ",Drama,Olive Films,Unrated,2-Jun-06,
What the Snow Brings (2007),1 hrs. 52 min.,N/A,"$4,816 ",Foreign,Eleven Arts,Unrated,1-Jun-07,
Everything's Cool (2007),1 hrs. 29 min.,N/A,"$4,890 ",Documentary,City Lights Pictures Releasing,Unrated,23-Nov-07,
Company Town (2017),1 hrs. 30 min.,N/A,"$4,934 ",Documentary,First Run,Unrated,8-Sep-17,
Herman's House (2013),1 hrs. 21 min.,N/A,"$4,956 ",Documentary,First Run,Unrated,19-Apr-13,
Welcome to Happiness (2016),1 hrs. 48 min.,N/A,"$5,083 ",Fantasy Comedy,Orion Pictures,PG-13,19-May-16,
Bad Lucky Goat (2017),1 hrs. 16 min.,N/A,"$5,088 ",Comedy,Film Movement,Unrated,13-Oct-17,
Crimewave (1986),1 hrs. 23 min.,N/A,"$5,101 ",Crime Comedy,Columbia,PG-13,25-Apr-86,
Liar's Autobiography (2012),1 hrs. 25 min.,N/A,"$5,102 ",Animation,Brainstorm Media,Unrated,2-Nov-12,
Dhoondte Reh Jaoge (2009),2 hrs. 10 min.,N/A,"$5,127 ",Foreign,UTV Communications,Unrated,6-Mar-09,
Turn the River (2008),1 hrs. 32 min.,N/A,"$5,149 ",Drama,Screen Media,R,9-May-08,
Flash Point (2008),1 hrs. 28 min.,N/A,"$5,151 ",Foreign / Action,Third Rail Releasing,R,14-Mar-08,
Pandaemonium (2001),2 hrs. 0 min.,N/A,"$5,151 ",Unknown,USA Films,PG-13,29-Jun-01,
Lakeboat (2001),1 hrs. 38 min.,N/A,"$5,159 ",Drama,Panorama,R,13-Apr-01,
Bright Future (2004),1 hrs. 32 min.,N/A,"$5,166 ",Foreign,Palm,Unrated,12-Nov-04,
Souvenir (2018),1 hrs. 30 min.,N/A,"$5,177 ",Drama,Strand,Unrated,2-Mar-18,
Home Room (2003),1 hrs. 53 min.,N/A,"$5,216 ",Unknown,Innovation Film Group,R,5-Sep-03,
The Dead Lands (2015),1 hrs. 47 min.,N/A,"$5,240 ",Action,Magnolia,R,17-Apr-15,
The Guillotines (2013),1 hrs. 53 min.,N/A,"$5,290 ",Foreign,Well Go USA,R,14-Jun-13,
Hair High (2006),1 hrs. 18 min.,N/A,"$5,342 ",Animation,Bill Plympton,Unrated,4-Aug-06,
Dog Days of Summer (2008),1 hrs. 29 min.,N/A,"$5,383 ",Drama / Thriller,Mountain Top Releasing,Unrated,18-Apr-08,
Choking Man (2007),1 hrs. 22 min.,N/A,"$5,474 ",Drama,International Film Circuit,Unrated,9-Nov-07,
No culpes al karma (2017),1 hrs. 38 min.,N/A,"$5,614 ",Comedy,Sony / Columbia,R,24-Mar-17,
The Ardennes (2017),1 hrs. 33 min.,N/A,"$5,638 ",Drama,Film Movement,Unrated,6-Jan-17,
Knife Fight (2013),1 hrs. 38 min.,N/A,"$5,661 ",Drama,IFC,R,25-Jan-13,
People of a Feather (2013),1 hrs. 30 min.,N/A,"$5,677 ",Documentary,First Run,Unrated,8-Nov-13,
Fraulein (2008),1 hrs. 21 min.,N/A,"$5,715 ",Foreign,Film Movement,Unrated,19-Sep-08,
Save the Date (2012),1 hrs. 37 min.,N/A,"$5,719 ",Romantic Comedy,IFC,R,14-Dec-12,
Black November (2015),1 hrs. 36 min.,N/A,"$5,782 ",Drama,Phase 4,Unrated,9-Jan-15,
Five Dances (2013),1 hrs. 23 min.,N/A,"$5,788 ",Drama,Paladin,Unrated,4-Oct-13,
Bourek (2016),1 hrs. 30 min.,N/A,"$5,844 ",Comedy,Argot Pictures,Unrated,29-Apr-16,
Medeas (2015),1 hrs. 37 min.,N/A,"$5,895 ",Drama,The Vladar Company,Unrated,16-Jan-15,
American Animal (2012),1 hrs. 35 min.,N/A,"$5,928 ",Comedy / Drama,Screen Media,R,18-May-12,
On Wings of Eagles (2017),1 hrs. 36 min.,N/A,"$5,975 ",War Drama,Archstone,PG-13,3-Nov-17,
BearCity (2010),N/A,N/A,"$5,980 ",Comedy,TLA Releasing,Unrated,22-Oct-10,
The Bride & The Grooms (2009),1 hrs. 39 min.,N/A,"$5,995 ",Comedy,Sumbadhat Productions,Unrated,24-Apr-09,
Love Object (2004),1 hrs. 30 min.,N/A,"$6,028 ",Unknown,Vitagraph,R,13-Feb-04,
Barely Lethal (2015),1 hrs. 36 min.,N/A,"$6,075 ",Action / Adventure,A24,PG-13,30-Apr-15,
"El Sicario, Room 164 (2011)",1 hrs. 20 min.,N/A,"$6,123 ",Foreign,Icarus Films,Unrated,28-Dec-11,
Scottsboro: An American Tragedy (2001),1 hrs. 24 min.,N/A,"$6,123 ",Documentary,Social Media Productions,Unrated,19-Jan-01,
Sweetwater (2013),1 hrs. 35 min.,N/A,"$6,147 ",Western,Unknown,R,11-Oct-13,
In the Steps of Trisha Brown (2017),1 hrs. 19 min.,N/A,"$6,230 ",Documentary,Icarus Films,Unrated,7-Feb-17,
Manuscripts Don't Burn (2014),2 hrs. 5 min.,N/A,"$6,295 ",Foreign,Kino Lorber,Unrated,25-Jul-14,
The Charnel House (2016),1 hrs. 32 min.,N/A,"$6,332 ",Thriller,Freestyle Releasing,R,4-Nov-16,
Dreamland (2006),1 hrs. 28 min.,N/A,"$6,383 ",Drama,Truly Indie,PG-13,1-Dec-06,
Ten 'til Noon (2007),1 hrs. 28 min.,N/A,"$6,404 ",Crime Thriller,Radio London Films,R,30-Mar-07,
Blonde Ambition (2007),1 hrs. 35 min.,N/A,"$6,422 ",Romantic Comedy,First Look,PG-13,21-Dec-07,
Beyond Honor (2006),1 hrs. 41 min.,N/A,"$6,437 ",Drama,International Film Circuit,Unrated,17-Mar-06,
"Congo: White King, Red Rubber, Black Death (2005)",1 hrs. 24 min.,N/A,"$6,458 ",Documentary,Artmattan Prods.,Unrated,21-Oct-05,
Apocalypsis (2018),1 hrs. 30 min.,N/A,"$6,502 ",Sci-Fi,Indican,Unrated,2-Mar-18,
Paradise: Faith (2013),1 hrs. 55 min.,N/A,"$6,508 ",Foreign,Strand,Unrated,23-Aug-13,
One Piece Movie: The Desert Princess and the Pirates Adventures in Alabasta (2008),1 hrs. 30 min.,N/A,"$6,587 ",Animation,The Bigger Picture,PG-13,7-Feb-08,
Skid Row (2007),1 hrs. 20 min.,N/A,"$6,627 ",Documentary,Screen Media,R,24-Aug-07,
The Dying of the Light (2016),1 hrs. 25 min.,N/A,"$6,627 ",Documentary,First Run,Unrated,7-Apr-16,
The Persian Connection (2017),1 hrs. 43 min.,N/A,"$6,634 ",Thriller,Samuel Goldwyn,Unrated,14-Jul-17,
Ghost Team (2016),1 hrs. 23 min.,N/A,"$6,639 ",Comedy,The Orchard,PG-13,12-Aug-16,
Before You Know It (2014),1 hrs. 50 min.,N/A,"$6,717 ",Documentary,The Film Collaborative,Unrated,30-May-14,
Mercy (2010) (2010),1 hrs. 27 min.,N/A,"$6,780 ",Drama,IFC,R,30-Apr-10,
Blood of His Own (1998),N/A,N/A,"$6,792 ",Unknown,Tozart,Unrated,31-Jul-98,
The Mutant Chronicles (2009),1 hrs. 51 min.,N/A,"$6,820 ",Sci-Fi Action,Magnolia,R,24-Apr-09,
Steve McQueen: The Man & Le Mans (2015),1 hrs. 42 min.,N/A,"$6,843 ",Documentary,FilmRise,Unrated,13-Nov-15,
My Piece of the Pie (2011),1 hrs. 49 min.,N/A,"$6,850 ",Foreign,IFC,Unrated,9-Dec-11,
