Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
The Final Option (1983),2 hrs. 5 min.,N/A,"$2,666,873 ",Unknown,MGM,R,16-Sep-83,
He Named Me Malala (2015),1 hrs. 27 min.,N/A,"$2,668,936 ",Documentary,Fox Searchlight,PG-13,2-Oct-15,
Magic in the Water (1995),1 hrs. 38 min.,N/A,"$2,680,717 ",Family Adventure,Sony / Columbia,PG,1-Sep-95,
Bad Medicine (1985),1 hrs. 38 min.,N/A,"$2,685,453 ",Unknown,Fox,PG-13,22-Nov-85,
Bobby Jones: Stroke of Genius (2004),2 hrs. 0 min.,$20 million,"$2,694,071 ",Sports Drama,Film Foundry,PG,30-Apr-04,
Straight Out of Brooklyn (1991),1 hrs. 23 min.,N/A,"$2,712,293 ",Crime Drama,Samuel Goldwyn,R,22-May-91,
Cheri (2009),1 hrs. 40 min.,$23 million,"$2,715,657 ",Romance,Miramax,R,26-Jun-09,
Shadows and Fog (1992),1 hrs. 25 min.,$14 million,"$2,735,731 ",Comedy Thriller,Orion Pictures,PG-13,20-Mar-92,
Desperate Hours (1990) (1990),1 hrs. 45 min.,N/A,"$2,742,912 ",Thriller,MGM,R,5-Oct-90,
Dr. Jekyll and Ms. Hyde (1995),1 hrs. 30 min.,N/A,"$2,763,020 ",Horror Comedy,Savoy,PG-13,25-Aug-95,
Heat (1987) (1987),2 hrs. 51 min.,N/A,"$2,793,214 ",Unknown,New Century,R,13-Mar-87,
Newsies (1992),3 hrs. 30 min.,$15 million,"$2,819,485 ",Musical,Buena Vista,PG,10-Apr-92,
The Perez Family (1995),1 hrs. 53 min.,$11 million,"$2,832,826 ",Romantic Comedy,Samuel Goldwyn,R,12-May-95,
The Oscar Nominated Short Films 2017 (2017),N/A,N/A,"$2,835,355 ",Drama,Shorts International,Unrated,10-Feb-17,
Letters to God (2010),1 hrs. 50 min.,$3 million,"$2,848,578 ",Drama,Vivendi Entertainment,PG,9-Apr-10,
The Judas Project (1993),1 hrs. 37 min.,N/A,"$2,850,135 ",Fantasy Drama,RS,PG-13,19-Feb-93,
Home Run (2013),1 hrs. 53 min.,N/A,"$2,861,020 ",Sports Drama,Samuel Goldwyn,PG-13,19-Apr-13,
Phar Lap (1984),1 hrs. 47 min.,N/A,"$2,878,404 ",Sports Drama,Fox,PG,13-Apr-84,
The Trip to Italy (2014),N/A,N/A,"$2,880,537 ",Comedy,IFC,Unrated,15-Aug-14,
This Is My Life (1992),1 hrs. 45 min.,N/A,"$2,922,094 ",Comedy / Drama,Fox,PG-13,21-Feb-92,
Up at the Villa (2000),1 hrs. 55 min.,N/A,"$2,933,161 ",Period Drama,USA Films,PG-13,5-May-00,
"Careful, He Might Hear You (1984)",1 hrs. 50 min.,N/A,"$2,938,179 ",Unknown,Fox,PG,15-Jun-84,
The Challenge (1982),1 hrs. 52 min.,N/A,"$2,977,706 ",Action,Embassy,R,23-Jul-82,
Love! Valour! Compassion! (1997),2 hrs. 0 min.,N/A,"$2,977,807 ",Comedy / Drama,Fine Line,R,16-May-97,
Running Brave (1983),1 hrs. 46 min.,$8 million,"$3,000,000 ",Sports Drama,Buena Vista,PG,4-Nov-83,
The Other Side of the Door (2016),1 hrs. 36 min.,N/A,"$3,000,342 ",Horror,Fox,R,4-Mar-16,
The Last Metro (1981),2 hrs. 11 min.,N/A,"$3,007,436 ",Foreign,MGM,PG,13-Feb-81,
Basquiat (1996),1 hrs. 48 min.,N/A,"$3,011,195 ",Drama,Miramax,R,9-Aug-96,
The Last Days of Disco (1998),1 hrs. 54 min.,N/A,"$3,020,601 ",Comedy / Drama,Gramercy,R,29-May-98,
Ingrid Goes West (2017),1 hrs. 37 min.,N/A,"$3,024,308 ",Comedy,Neon,R,11-Aug-17,
The Hurricane Heist (2018),1 hrs. 43 min.,$35 million,"$3,024,399 ",Action Thriller,Entertainment Studios,PG-13,9-Mar-18,
Jab Tak Hai Jaan (2012),2 hrs. 10 min.,N/A,"$3,047,539 ",Foreign,Yash Raj,Unrated,13-Nov-12,
The Golden Bowl (2001),2 hrs. 14 min.,N/A,"$3,050,532 ",Period Drama,Lions Gate,R,27-Apr-01,
Songcatcher (2001),1 hrs. 49 min.,N/A,"$3,059,834 ",Music Drama,Lions Gate,PG-13,15-Jun-01,
Chloe (2010),1 hrs. 36 min.,$14 million,"$3,075,255 ",Drama,Sony Classics,R,26-Mar-10,
"Synecdoche, New York (2008)",2 hrs. 4 min.,$20 million,"$3,083,538 ",Comedy,Sony Classics,R,24-Oct-08,
Celeste and Jesse Forever (2012),1 hrs. 31 min.,N/A,"$3,094,813 ",Comedy / Drama,Sony Classics,R,3-Aug-12,
The Guru (2003),1 hrs. 34 min.,N/A,"$3,095,506 ",Romantic Comedy,Universal,R,31-Jan-03,
Blame It On the Bellboy (1992),1 hrs. 18 min.,N/A,"$3,104,545 ",Comedy,Buena Vista,PG-13,6-Mar-92,
Illegal Tender (2007),1 hrs. 48 min.,N/A,"$3,106,835 ",Action / Crime,Universal,R,24-Aug-07,
Compadres (2016),1 hrs. 41 min.,N/A,"$3,127,773 ",Action,Pantelion,R,22-Apr-16,
Beautiful (2000),1 hrs. 52 min.,$14 million,"$3,157,348 ",Comedy / Drama,Destination,PG-13,29-Sep-00,
The Big Kahuna (2000),1 hrs. 30 min.,$7 million,"$3,165,544 ",Drama,Lions Gate,R,28-Apr-00,
Another Year (2010),2 hrs. 9 min.,$8 million,"$3,205,706 ",Drama,Sony Classics,PG-13,29-Dec-10,
Splitting Heirs (1993),1 hrs. 28 min.,N/A,"$3,246,063 ",Comedy,Universal,PG-13,30-Apr-93,
